_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.372128,3.197873,0.331,0.244,0.1000,kl_2_3v,"0.000, 0.000, 2.267",0.9,30.0,0,3
2,2.160170,2.606451,0.430,0.268,0.1000,kl_2_3v,"0.000, 0.000, 2.104",0.9,30.0,0,7
3,2.049019,2.410310,0.486,0.277,0.1000,kl_2_3v,"0.000, 0.000, 2.017",0.9,30.0,0,11
4,1.969632,2.432165,0.521,0.289,0.1000,kl_2_3v,"0.000, 0.000, 1.950",0.9,30.0,0,15
5,1.922282,2.354740,0.544,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.916",0.9,30.0,0,19
6,1.880446,2.400854,0.565,0.354,0.1000,kl_2_3v,"0.000, 0.000, 1.872",0.9,30.0,0,23
7,1.850892,2.217997,0.576,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.839",0.9,30.0,1,27
8,1.825025,2.138275,0.586,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.815",0.9,30.0,0,30
9,1.801594,2.200348,0.595,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,1,34
10,1.784624,2.079892,0.606,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.777",0.9,30.0,0,38
11,1.768341,2.082253,0.612,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.761",0.9,30.0,0,42
12,1.754775,2.121921,0.617,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.758",0.9,30.0,1,46
13,1.741823,1.966468,0.622,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.745",0.9,30.0,0,50
14,1.730476,2.077924,0.629,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.731",0.9,30.0,1,53
15,1.720930,1.944285,0.631,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.715",0.9,30.0,0,57
16,1.710358,1.964642,0.635,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.701",0.9,30.0,1,61
17,1.702906,2.013748,0.639,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.713",0.9,30.0,2,65
18,1.695559,2.031054,0.640,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.704",0.9,30.0,3,69
19,1.686618,1.967066,0.643,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.693",0.9,30.0,0,73
20,1.680848,2.073133,0.650,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.678",0.9,30.0,1,77
21,1.674007,2.040259,0.651,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.673",0.9,30.0,2,81
22,1.674237,1.950029,0.650,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.679",0.9,30.0,0,84
23,1.667925,2.280589,0.653,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,1,88
24,1.667324,2.033263,0.654,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.676",0.9,30.0,2,92
25,1.661212,2.049121,0.654,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.675",0.9,30.0,3,97
26,1.651182,1.903091,0.661,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.670",0.9,30.0,4,101
27,1.651801,1.922678,0.659,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.665",0.9,30.0,5,105
28,1.645587,2.064540,0.664,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.644",0.9,30.0,6,109
29,1.645286,2.135606,0.660,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,7,113
30,1.645828,1.988882,0.666,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.653",0.9,30.0,8,117
31,1.637284,2.019449,0.667,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.643",0.9,30.0,9,121
32,1.635598,1.952997,0.664,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,10,125
33,1.629661,2.003725,0.668,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.642",0.9,30.0,11,129
34,1.631753,2.140658,0.665,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,12,133
35,1.629432,1.916017,0.668,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.640",0.9,30.0,0,137
36,1.625740,1.879033,0.671,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,1,141
37,1.625877,1.880606,0.670,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.639",0.9,30.0,2,145
38,1.622825,2.089682,0.674,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.618",0.9,30.0,3,149
39,1.609189,1.986548,0.677,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.621",0.9,30.0,4,153
40,1.620355,2.078288,0.673,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.632",0.9,30.0,5,157
41,1.610285,1.805743,0.676,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.620",0.9,30.0,6,161
42,1.605931,1.978654,0.676,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,7,165
43,1.608692,2.038362,0.677,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,8,168
44,1.609106,1.903495,0.678,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,9,172
45,1.604932,1.927294,0.680,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.612",0.9,30.0,0,176
46,1.603991,1.881376,0.681,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.611",0.9,30.0,1,180
47,1.597623,1.943353,0.684,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,2,184
48,1.601909,2.114769,0.680,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,3,188
49,1.598392,1.969272,0.682,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,4,192
50,1.595760,1.819072,0.681,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,0,196
51,1.597079,1.921237,0.680,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.617",0.9,30.0,1,200
52,1.595475,1.901105,0.684,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,2,204
53,1.593774,1.895215,0.683,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,0,208
54,1.589648,1.895575,0.682,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,1,212
55,1.587518,1.887544,0.683,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,2,216
56,1.590894,1.911661,0.685,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,3,220
57,1.584803,1.887835,0.685,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,4,224
58,1.587861,2.153076,0.683,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,5,228
59,1.588437,1.962417,0.683,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,6,232
60,1.576994,1.982516,0.688,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.571",0.9,30.0,7,236
61,1.587509,2.004896,0.686,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,8,240
62,1.585404,1.968715,0.687,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,9,244
63,1.588514,1.765040,0.684,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,10,248
64,1.587523,1.948290,0.686,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,11,251
65,1.577388,2.053112,0.690,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.589",0.9,30.0,12,255
66,1.580776,1.891820,0.688,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,13,259
67,1.582916,1.887219,0.691,0.490,0.1000,kl_2_3v,"0.000, 0.000, 1.598",0.9,30.0,0,263
68,1.577617,1.948763,0.686,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,1,267
69,1.572167,1.827796,0.692,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.572",0.9,30.0,2,271
70,1.573989,1.833019,0.690,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,3,274
71,1.578103,1.942177,0.689,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.574",0.9,30.0,4,278
72,1.573410,2.080851,0.689,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.576",0.9,30.0,5,282
73,1.571656,1.974061,0.690,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.576",0.9,30.0,6,286
74,1.572316,1.874083,0.694,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.584",0.9,30.0,7,290
75,1.568715,1.914278,0.692,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,8,294
76,1.455517,1.701710,0.725,0.535,0.0100,kl_2_3v,"0.000, 0.000, 1.438",0.9,30.0,0,298
77,1.415191,1.722860,0.739,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.417",0.9,30.0,1,301
78,1.404076,1.761076,0.741,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.409",0.9,30.0,2,305
79,1.393839,1.718453,0.748,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.392",0.9,30.0,3,309
80,1.384468,1.800320,0.747,0.514,0.0100,kl_2_3v,"0.000, 0.000, 1.377",0.9,30.0,4,313
81,1.378877,1.766804,0.752,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.388",0.9,30.0,5,317
82,1.376014,1.747788,0.753,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.391",0.9,30.0,6,321
83,1.364915,1.721715,0.753,0.518,0.0100,kl_2_3v,"0.000, 0.000, 1.375",0.9,30.0,7,325
84,1.360654,1.746541,0.755,0.527,0.0100,kl_2_3v,"0.000, 0.000, 1.368",0.9,30.0,8,328
85,1.353625,1.776995,0.758,0.518,0.0100,kl_2_3v,"0.000, 0.000, 1.363",0.9,30.0,9,332
86,1.347822,1.741657,0.761,0.535,0.0100,kl_2_3v,"0.000, 0.000, 1.352",0.9,30.0,0,336
87,1.348670,1.780620,0.760,0.539,0.0100,kl_2_3v,"0.000, 0.000, 1.351",0.9,30.0,0,340
