_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.444095,2.522033,0.312,0.227,0.1000,kl_2_3v,"0.000, 0.000, 2.364",0.9,30.0,0,3
2,2.290257,2.335103,0.398,0.279,0.1000,kl_2_3v,"0.000, 0.000, 2.254",0.9,30.0,0,7
3,2.194439,2.457738,0.454,0.273,0.1000,kl_2_3v,"0.000, 0.000, 2.162",0.9,30.0,1,11
4,2.130536,2.243352,0.487,0.307,0.1000,kl_2_3v,"0.000, 0.000, 2.111",0.9,30.0,0,15
5,2.081024,2.040235,0.512,0.318,0.1000,kl_2_3v,"0.000, 0.000, 2.070",0.9,30.0,0,18
6,2.040724,2.092829,0.537,0.316,0.1000,kl_2_3v,"0.000, 0.000, 2.025",0.9,30.0,1,22
7,2.013816,2.078424,0.550,0.361,0.1000,kl_2_3v,"0.000, 0.000, 2.018",0.9,30.0,0,26
8,1.990527,2.041876,0.561,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.969",0.9,30.0,0,30
9,1.972207,2.037950,0.572,0.355,0.1000,kl_2_3v,"0.000, 0.000, 1.967",0.9,30.0,1,33
10,1.947040,1.847465,0.580,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.931",0.9,30.0,2,37
11,1.939197,1.922033,0.588,0.361,0.1000,kl_2_3v,"0.000, 0.000, 1.935",0.9,30.0,3,41
12,1.917998,1.907600,0.597,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.912",0.9,30.0,0,45
13,1.915668,1.973462,0.598,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.921",0.9,30.0,1,48
14,1.906571,1.788712,0.606,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.918",0.9,30.0,0,52
15,1.895581,1.850432,0.611,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,1,56
16,1.886821,1.921485,0.614,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.910",0.9,30.0,0,60
17,1.881086,1.803252,0.615,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.877",0.9,30.0,0,64
18,1.867486,1.823159,0.622,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.867",0.9,30.0,0,67
19,1.866340,1.903054,0.625,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.867",0.9,30.0,1,71
20,1.861965,1.911421,0.626,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.871",0.9,30.0,2,75
21,1.855079,1.797589,0.629,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.848",0.9,30.0,0,79
22,1.850958,1.956911,0.630,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.853",0.9,30.0,1,82
