_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.362956,2.519690,0.335,0.209,0.1000,kl_2_3v,"0.000, 0.000, 2.275",0.9,30.0,0,3
2,2.166764,2.880004,0.429,0.213,0.1000,kl_2_3v,"0.000, 0.000, 2.123",0.9,30.0,0,7
3,2.054405,2.549170,0.484,0.238,0.1000,kl_2_3v,"0.000, 0.000, 2.018",0.9,30.0,0,11
4,1.980300,2.490453,0.516,0.307,0.1000,kl_2_3v,"0.000, 0.000, 1.956",0.9,30.0,0,15
5,1.927843,2.452602,0.544,0.312,0.1000,kl_2_3v,"0.000, 0.000, 1.905",0.9,30.0,0,18
6,1.888334,2.323738,0.557,0.348,0.1000,kl_2_3v,"0.000, 0.000, 1.858",0.9,30.0,0,22
7,1.849851,2.114078,0.573,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.830",0.9,30.0,0,26
8,1.819365,2.219458,0.589,0.348,0.1000,kl_2_3v,"0.000, 0.000, 1.805",0.9,30.0,1,30
9,1.801786,2.332166,0.596,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.801",0.9,30.0,2,34
10,1.776775,2.110138,0.607,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,0,37
11,1.765549,2.114592,0.612,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.773",0.9,30.0,1,41
12,1.753940,2.127605,0.620,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.749",0.9,30.0,2,45
13,1.737181,2.030818,0.623,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.730",0.9,30.0,3,49
14,1.729484,2.081287,0.629,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.728",0.9,30.0,4,52
15,1.716876,2.146976,0.632,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.733",0.9,30.0,0,56
16,1.708862,1.970519,0.638,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.708",0.9,30.0,1,60
17,1.700805,2.046378,0.637,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.697",0.9,30.0,2,64
18,1.696254,1.951330,0.644,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.702",0.9,30.0,0,67
19,1.691400,2.055013,0.642,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.699",0.9,30.0,1,71
20,1.684973,1.986321,0.647,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.692",0.9,30.0,2,75
21,1.680853,2.004655,0.648,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.678",0.9,30.0,0,79
22,1.671884,2.109590,0.652,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.679",0.9,30.0,1,83
23,1.665129,2.125775,0.654,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.663",0.9,30.0,2,86
24,1.659662,2.038940,0.656,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.663",0.9,30.0,0,90
25,1.659243,1.980158,0.654,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,0,94
26,1.658895,2.178031,0.656,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.682",0.9,30.0,1,98
27,1.651975,2.117555,0.661,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,2,101
28,1.647273,1.909768,0.662,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.656",0.9,30.0,3,105
29,1.644258,1.954993,0.664,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.636",0.9,30.0,4,109
30,1.641449,1.985816,0.664,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,0,113
31,1.636399,1.845351,0.664,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,1,116
32,1.631923,1.958072,0.668,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,2,120
33,1.633924,1.958811,0.669,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.639",0.9,30.0,3,124
34,1.632089,1.973917,0.669,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.644",0.9,30.0,4,128
35,1.618845,2.174636,0.674,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.633",0.9,30.0,5,132
36,1.616835,1.806629,0.674,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,0,135
37,1.613492,1.871882,0.676,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.615",0.9,30.0,1,139
38,1.618516,1.913731,0.669,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,2,143
39,1.611210,2.031035,0.675,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,3,147
40,1.608392,2.016154,0.679,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,4,150
41,1.610190,1.978450,0.676,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,5,154
42,1.607659,2.057817,0.678,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.603",0.9,30.0,6,158
43,1.606641,2.118216,0.676,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.623",0.9,30.0,7,162
44,1.604674,1.951316,0.678,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,8,165
45,1.603685,1.965073,0.678,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.609",0.9,30.0,9,169
46,1.605236,1.893763,0.680,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.626",0.9,30.0,10,173
47,1.605014,1.916194,0.678,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,11,177
48,1.601558,1.928213,0.680,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,12,181
49,1.598288,1.894892,0.682,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,13,184
50,1.593210,1.913674,0.680,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,14,188
51,1.591280,1.836651,0.685,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.594",0.9,30.0,0,192
52,1.590618,1.791232,0.686,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,1,196
