_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,17.191003,3.748985,0.238,0.160,0.1000,kl_2_3v,"0.000, 0.000, 16.149",0.9,30.0,0,3
2,15.417301,4.155132,0.321,0.127,0.1000,kl_2_3v,"0.000, 0.000, 15.058",0.9,30.0,1,7
3,14.513002,4.619432,0.356,0.135,0.1000,kl_2_3v,"0.000, 0.000, 14.240",0.9,30.0,2,10
4,13.904383,4.540831,0.386,0.152,0.1000,kl_2_3v,"0.000, 0.000, 13.604",0.9,30.0,3,14
5,13.164454,4.327936,0.420,0.148,0.1000,kl_2_3v,"0.000, 0.000, 12.882",0.9,30.0,4,18
1,4.109666,2.397230,0.309,0.174,0.1000,kl_2_3v,"0.000, 0.000, 3.887",0.9,1.0,0,3
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,100.0,0,3
1,2.365128,2.860754,0.334,0.211,0.1000,kl_2_3v,"0.000, 0.000, 2.261",0.9,100.0,0,3
2,2.162075,2.699140,0.430,0.244,0.1000,kl_2_3v,"0.000, 0.000, 2.103",0.9,100.0,0,7
3,2.041788,2.744152,0.487,0.238,0.1000,kl_2_3v,"0.000, 0.000, 2.011",0.9,100.0,1,11
4,1.965117,2.520490,0.518,0.305,0.1000,kl_2_3v,"0.000, 0.000, 1.944",0.9,100.0,0,15
5,1.906946,2.261141,0.546,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.895",0.9,100.0,0,18
6,1.861516,2.304413,0.568,0.348,0.1000,kl_2_3v,"0.000, 0.000, 1.857",0.9,100.0,0,22
7,1.836296,2.266246,0.577,0.344,0.1000,kl_2_3v,"0.000, 0.000, 1.834",0.9,100.0,1,26
8,1.802978,2.130011,0.591,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.803",0.9,100.0,0,30
9,1.775900,2.368483,0.599,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.771",0.9,100.0,1,34
10,1.764629,2.004772,0.607,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.761",0.9,100.0,0,37
11,1.744781,2.108896,0.614,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.743",0.9,100.0,0,41
12,1.728747,2.281851,0.619,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.724",0.9,100.0,0,45
13,1.718032,2.338245,0.627,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.707",0.9,100.0,0,49
14,1.705370,2.227321,0.629,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.718",0.9,100.0,1,52
15,1.691987,2.110695,0.635,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.686",0.9,100.0,2,56
16,1.688817,1.997155,0.639,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.694",0.9,100.0,0,60
17,1.682962,1.986294,0.640,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,100.0,1,64
18,1.675364,1.974998,0.644,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.674",0.9,100.0,0,68
