_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.568694,2.799080,0.303,0.199,0.1000,kl_2_3v,"0.000, 0.000, 1.434",0.9,30.0,0,3
2,1.304289,2.497521,0.403,0.256,0.1000,kl_2_3v,"0.000, 0.000, 1.244",0.9,30.0,0,7
3,1.161297,2.367910,0.453,0.275,0.1000,kl_2_3v,"0.000, 0.000, 1.119",0.9,30.0,0,11
4,1.060821,2.315501,0.490,0.256,0.1000,kl_2_3v,"0.000, 0.000, 1.032",0.9,30.0,1,15
5,1.006556,2.053888,0.514,0.305,0.1000,kl_2_3v,"0.000, 0.000, 0.986",0.9,30.0,0,18
6,0.956512,2.010932,0.535,0.344,0.1000,kl_2_3v,"0.000, 0.000, 0.947",0.9,30.0,0,22
7,0.917225,2.067278,0.552,0.340,0.1000,kl_2_3v,"0.000, 0.000, 0.912",0.9,30.0,1,26
8,0.891554,1.914978,0.559,0.357,0.1000,kl_2_3v,"0.000, 0.000, 0.889",0.9,30.0,0,30
9,0.873889,1.899552,0.569,0.383,0.1000,kl_2_3v,"0.000, 0.000, 0.876",0.9,30.0,0,34
10,0.854456,1.890736,0.577,0.375,0.1000,kl_2_3v,"0.000, 0.000, 0.856",0.9,30.0,1,37
11,0.837628,1.802461,0.583,0.383,0.1000,kl_2_3v,"0.000, 0.000, 0.837",0.9,30.0,0,41
12,0.821527,1.802047,0.589,0.371,0.1000,kl_2_3v,"0.000, 0.000, 0.821",0.9,30.0,1,45
13,0.814910,1.894446,0.590,0.377,0.1000,kl_2_3v,"0.000, 0.000, 0.815",0.9,30.0,2,49
14,0.800371,1.758803,0.596,0.375,0.1000,kl_2_3v,"0.000, 0.000, 0.807",0.9,30.0,3,52
15,0.793107,1.874374,0.602,0.383,0.1000,kl_2_3v,"0.000, 0.000, 0.791",0.9,30.0,0,56
16,0.783786,1.806547,0.602,0.371,0.1000,kl_2_3v,"0.000, 0.000, 0.784",0.9,30.0,1,60
17,0.776579,1.810087,0.606,0.381,0.1000,kl_2_3v,"0.000, 0.000, 0.782",0.9,30.0,2,64
18,0.770157,1.812258,0.609,0.377,0.1000,kl_2_3v,"0.000, 0.000, 0.774",0.9,30.0,3,68
19,0.767702,1.734851,0.610,0.402,0.1000,kl_2_3v,"0.000, 0.000, 0.771",0.9,30.0,0,71
20,0.764331,1.874007,0.613,0.385,0.1000,kl_2_3v,"0.000, 0.000, 0.756",0.9,30.0,1,75
21,0.754944,1.807783,0.616,0.398,0.1000,kl_2_3v,"0.000, 0.000, 0.752",0.9,30.0,2,79
