_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.457664,2.746668,0.237,0.225,0.1000,kl_2_3v,"0.000, 0.000, 2.378",0.9,30.0,0,3
2,2.302954,2.686488,0.295,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.266",0.9,30.0,0,7
3,2.206005,2.439632,0.329,0.285,0.1000,kl_2_3v,"0.000, 0.000, 2.181",0.9,30.0,0,11
4,2.145859,2.240090,0.358,0.346,0.1000,kl_2_3v,"0.000, 0.000, 2.126",0.9,30.0,0,15
5,2.090429,2.363495,0.383,0.340,0.1000,kl_2_3v,"0.000, 0.000, 2.085",0.9,30.0,1,18
6,2.051153,2.432702,0.399,0.340,0.1000,kl_2_3v,"0.000, 0.000, 2.036",0.9,30.0,2,22
7,2.015276,2.373654,0.414,0.357,0.1000,kl_2_3v,"0.000, 0.000, 2.012",0.9,30.0,0,26
8,1.987255,2.418260,0.427,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.980",0.9,30.0,0,30
9,1.962200,2.240249,0.439,0.377,0.1000,kl_2_3v,"0.000, 0.000, 1.961",0.9,30.0,0,33
10,1.940869,2.101912,0.451,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.934",0.9,30.0,1,37
11,1.920203,2.151152,0.456,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.917",0.9,30.0,0,41
12,1.904618,2.162922,0.465,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,0,45
13,1.894659,2.393121,0.471,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.884",0.9,30.0,1,49
14,1.879056,2.037302,0.476,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.870",0.9,30.0,0,52
15,1.868301,2.275617,0.479,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.873",0.9,30.0,1,56
16,1.856542,2.300321,0.487,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.839",0.9,30.0,0,60
17,1.848900,1.961104,0.489,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.866",0.9,30.0,0,64
18,1.840977,2.132662,0.495,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.846",0.9,30.0,1,67
19,1.832554,1.982074,0.497,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.822",0.9,30.0,2,71
20,1.820700,2.081182,0.501,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.830",0.9,30.0,3,75
21,1.825204,2.070729,0.501,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.816",0.9,30.0,0,79
22,1.812330,1.970596,0.507,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.813",0.9,30.0,0,82
23,1.803160,1.980896,0.510,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.791",0.9,30.0,1,86
24,1.800381,1.999043,0.512,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.804",0.9,30.0,2,90
25,1.793537,2.021126,0.513,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.785",0.9,30.0,3,94
26,1.783459,2.092806,0.517,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.795",0.9,30.0,4,97
27,1.783027,1.967452,0.518,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.783",0.9,30.0,0,101
28,1.773469,2.288058,0.520,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.782",0.9,30.0,1,105
29,1.768498,2.132210,0.521,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.772",0.9,30.0,2,109
30,1.770358,2.043093,0.523,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.775",0.9,30.0,0,113
