_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.357234,2.985623,0.329,0.221,0.1000,kl_2_3v,"0.000, 0.000, 2.261",0.9,30.0,0,6
2,2.147483,2.535614,0.429,0.271,0.1000,kl_2_3v,"0.000, 0.000, 2.102",0.9,30.0,0,12
3,2.027605,2.594311,0.485,0.293,0.1000,kl_2_3v,"0.000, 0.000, 2.002",0.9,30.0,0,18
4,1.948347,2.512506,0.520,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.914",0.9,30.0,0,24
5,1.883444,2.260601,0.546,0.326,0.1000,kl_2_3v,"0.000, 0.000, 1.868",0.9,30.0,0,30
6,1.839393,2.380583,0.564,0.334,0.1000,kl_2_3v,"0.000, 0.000, 1.822",0.9,30.0,0,36
7,1.807769,2.197227,0.578,0.361,0.1000,kl_2_3v,"0.000, 0.000, 1.810",0.9,30.0,0,42
8,1.775404,2.419558,0.591,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.770",0.9,30.0,1,48
9,1.756962,2.092455,0.600,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.759",0.9,30.0,0,55
10,1.732689,2.243710,0.608,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.715",0.9,30.0,0,61
11,1.714612,2.044922,0.620,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.724",0.9,30.0,0,67
12,1.701017,2.167355,0.625,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.690",0.9,30.0,1,73
13,1.690155,2.085795,0.630,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.692",0.9,30.0,0,79
14,1.676720,2.104226,0.634,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.679",0.9,30.0,0,85
15,1.666440,2.176412,0.636,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,0,91
16,1.653502,2.031148,0.642,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.658",0.9,30.0,0,97
17,1.645885,2.052778,0.644,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.655",0.9,30.0,0,103
18,1.641530,2.076140,0.647,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.640",0.9,30.0,0,110
19,1.631215,2.117857,0.651,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,0,116
20,1.628231,2.295953,0.652,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.628",0.9,30.0,1,122
21,1.623055,2.044382,0.655,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.626",0.9,30.0,0,128
22,1.618744,2.085219,0.658,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.623",0.9,30.0,1,134
23,1.604909,1.970295,0.664,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,2,140
24,1.610114,1.916095,0.659,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.623",0.9,30.0,3,146
25,1.596212,2.063165,0.666,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.615",0.9,30.0,4,152
26,1.598139,1.866913,0.663,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,5,158
27,1.595373,2.044283,0.665,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,6,165
28,1.584795,2.113754,0.668,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,7,171
29,1.582208,1.967691,0.672,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,8,177
30,1.579850,1.945227,0.668,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.586",0.9,30.0,9,183
31,1.575033,1.932027,0.669,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,0,189
32,1.572751,2.040762,0.675,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.584",0.9,30.0,1,195
33,1.571966,2.046279,0.674,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.565",0.9,30.0,2,201
34,1.571660,1.987476,0.673,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,3,207
35,1.560552,1.927471,0.678,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.567",0.9,30.0,4,213
36,1.559670,2.110974,0.677,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.568",0.9,30.0,0,220
37,1.562646,2.068392,0.677,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.564",0.9,30.0,1,226
38,1.558776,1.973765,0.679,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.556",0.9,30.0,2,232
39,1.557215,1.923604,0.679,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.559",0.9,30.0,3,238
40,1.551151,2.170184,0.682,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.563",0.9,30.0,4,244
41,1.549151,1.999087,0.681,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.550",0.9,30.0,0,250
42,1.550508,1.959000,0.682,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.549",0.9,30.0,0,256
43,1.540328,2.093857,0.685,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.534",0.9,30.0,1,262
44,1.543311,1.928392,0.685,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.547",0.9,30.0,2,268
45,1.541095,2.151735,0.684,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.558",0.9,30.0,3,275
46,1.539275,2.029184,0.685,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.548",0.9,30.0,4,281
47,1.535351,1.935467,0.686,0.486,0.1000,kl_2_3v,"0.000, 0.000, 1.546",0.9,30.0,0,287
48,1.538991,2.076376,0.686,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.547",0.9,30.0,1,293
49,1.529857,1.940947,0.692,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.549",0.9,30.0,2,299
50,1.536668,2.221376,0.687,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.550",0.9,30.0,3,305
51,1.527937,1.895099,0.692,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.548",0.9,30.0,4,311
52,1.528441,1.801023,0.690,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.534",0.9,30.0,5,317
53,1.526068,2.044258,0.691,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.539",0.9,30.0,6,323
54,1.526334,1.900970,0.691,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.537",0.9,30.0,7,330
55,1.525956,1.870941,0.691,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.534",0.9,30.0,8,336
56,1.523240,2.018091,0.692,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.529",0.9,30.0,9,342
57,1.523915,2.179895,0.691,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.521",0.9,30.0,10,348
58,1.518604,2.044806,0.692,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.521",0.9,30.0,11,354
59,1.518361,1.944063,0.697,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.524",0.9,30.0,12,360
60,1.523522,2.060120,0.693,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.529",0.9,30.0,13,366
61,1.512903,1.941692,0.695,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.536",0.9,30.0,14,372
62,1.515451,2.142607,0.693,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.521",0.9,30.0,15,378
63,1.522030,1.945032,0.695,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.535",0.9,30.0,16,385
64,1.515672,2.100420,0.696,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.518",0.9,30.0,17,391
65,1.512451,1.875664,0.696,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.532",0.9,30.0,18,397
66,1.512285,1.944353,0.696,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.528",0.9,30.0,19,403
67,1.511245,1.907332,0.696,0.490,0.1000,kl_2_3v,"0.000, 0.000, 1.529",0.9,30.0,0,409
68,1.508258,1.971704,0.699,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.512",0.9,30.0,1,415
69,1.502769,2.109746,0.695,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.519",0.9,30.0,2,421
70,1.514416,1.831306,0.694,0.488,0.1000,kl_2_3v,"0.000, 0.000, 1.529",0.9,30.0,3,427
71,1.507366,1.862253,0.695,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.514",0.9,30.0,4,433
72,1.505923,1.980687,0.699,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.521",0.9,30.0,5,439
73,1.504626,1.962688,0.698,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.510",0.9,30.0,6,446
74,1.501591,2.200499,0.699,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.502",0.9,30.0,7,452
75,1.502833,1.957730,0.700,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.513",0.9,30.0,8,458
76,1.384917,1.812599,0.734,0.514,0.0100,kl_2_3v,"0.000, 0.000, 1.370",0.9,30.0,0,464
77,1.342314,1.825484,0.747,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.333",0.9,30.0,0,470
78,1.326312,1.813736,0.752,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.325",0.9,30.0,0,476
79,1.316841,1.746924,0.752,0.527,0.0100,kl_2_3v,"0.000, 0.000, 1.336",0.9,30.0,1,482
80,1.310826,1.827489,0.758,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.316",0.9,30.0,2,488
81,1.300058,1.832900,0.761,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.311",0.9,30.0,3,494
82,1.290813,1.791824,0.764,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.309",0.9,30.0,4,501
83,1.289414,1.804965,0.763,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.282",0.9,30.0,5,507
84,1.283288,1.793754,0.766,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.286",0.9,30.0,6,513
85,1.283266,1.783730,0.767,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.289",0.9,30.0,7,519
86,1.272743,1.833027,0.771,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,8,525
87,1.271310,1.838935,0.770,0.514,0.0100,kl_2_3v,"0.000, 0.000, 1.270",0.9,30.0,9,531
88,1.266347,1.790670,0.773,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,10,537
89,1.260958,1.842283,0.773,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.260",0.9,30.0,11,543
90,1.257617,1.889732,0.775,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.260",0.9,30.0,12,549
91,1.230801,1.824801,0.783,0.512,0.0010,kl_2_3v,"0.000, 0.000, 1.229",0.9,30.0,13,555
92,1.221527,1.874415,0.783,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.214",0.9,30.0,14,561
93,1.216416,1.824707,0.786,0.549,0.0010,kl_2_3v,"0.000, 0.000, 1.213",0.9,30.0,0,568
94,1.217413,1.822168,0.785,0.543,0.0010,kl_2_3v,"0.000, 0.000, 1.221",0.9,30.0,1,574
95,1.212083,1.877481,0.788,0.539,0.0010,kl_2_3v,"0.000, 0.000, 1.214",0.9,30.0,2,580
96,1.209352,1.824705,0.791,0.537,0.0010,kl_2_3v,"0.000, 0.000, 1.210",0.9,30.0,3,586
97,1.211928,1.856298,0.785,0.537,0.0010,kl_2_3v,"0.000, 0.000, 1.212",0.9,30.0,4,592
98,1.210004,1.884670,0.788,0.520,0.0010,kl_2_3v,"0.000, 0.000, 1.214",0.9,30.0,5,598
99,1.208408,1.853499,0.788,0.529,0.0010,kl_2_3v,"0.000, 0.000, 1.220",0.9,30.0,6,604
100,1.205087,1.846080,0.788,0.551,0.0010,kl_2_3v,"0.000, 0.000, 1.207",0.9,30.0,0,610
101,1.201277,1.854001,0.790,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.211",0.9,30.0,1,616
102,1.202776,1.908735,0.789,0.541,0.0001,kl_2_3v,"0.000, 0.000, 1.202",0.9,30.0,2,622
103,1.200648,1.870043,0.790,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.200",0.9,30.0,3,628
104,1.202290,1.891287,0.792,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.197",0.9,30.0,4,634
105,1.198512,1.852339,0.793,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.205",0.9,30.0,5,641
106,1.199655,1.835778,0.794,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.206",0.9,30.0,6,647
107,1.199044,1.843573,0.793,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.208",0.9,30.0,7,653
108,1.199569,1.839292,0.788,0.551,0.0001,kl_2_3v,"0.000, 0.000, 1.208",0.9,30.0,0,659
109,1.198832,1.872575,0.792,0.518,0.0001,kl_2_3v,"0.000, 0.000, 1.201",0.9,30.0,1,665
110,1.199771,1.885962,0.790,0.529,0.0001,kl_2_3v,"0.000, 0.000, 1.187",0.9,30.0,2,671
111,1.197592,1.851121,0.791,0.541,0.0001,kl_2_3v,"0.000, 0.000, 1.203",0.9,30.0,3,677
112,1.199675,1.842293,0.790,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.195",0.9,30.0,4,683
113,1.198081,1.904787,0.791,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.196",0.9,30.0,5,689
114,1.203041,1.893158,0.791,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.198",0.9,30.0,6,695
115,1.200151,1.874920,0.792,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.197",0.9,30.0,7,701
116,1.198756,1.870649,0.790,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.185",0.9,30.0,8,708
117,1.202365,1.929310,0.792,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.201",0.9,30.0,9,714
118,1.199403,1.880524,0.792,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.195",0.9,30.0,10,720
119,1.198015,1.894870,0.792,0.545,0.0001,kl_2_3v,"0.000, 0.000, 1.198",0.9,30.0,11,726
120,1.197411,1.892369,0.794,0.523,0.0001,kl_2_3v,"0.000, 0.000, 1.190",0.9,30.0,12,732
