_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.456048,2.964329,0.239,0.219,0.1000,kl_2_3v,"0.000, 0.000, 2.407",0.9,30.0,0,6
2,2.301470,2.436189,0.296,0.275,0.1000,kl_2_3v,"0.000, 0.000, 2.265",0.9,30.0,0,12
3,2.204324,2.720470,0.330,0.285,0.1000,kl_2_3v,"0.000, 0.000, 2.188",0.9,30.0,0,18
4,2.134358,2.537895,0.360,0.320,0.1000,kl_2_3v,"0.000, 0.000, 2.119",0.9,30.0,0,24
5,2.087958,2.466090,0.378,0.326,0.1000,kl_2_3v,"0.000, 0.000, 2.073",0.9,30.0,0,30
6,2.047977,2.324159,0.398,0.340,0.1000,kl_2_3v,"0.000, 0.000, 2.041",0.9,30.0,0,36
7,2.010108,2.161908,0.413,0.377,0.1000,kl_2_3v,"0.000, 0.000, 2.015",0.9,30.0,0,42
8,1.988754,2.290748,0.425,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.988",0.9,30.0,1,49
9,1.956752,2.119748,0.436,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.969",0.9,30.0,0,55
10,1.939768,2.162720,0.446,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.935",0.9,30.0,0,61
11,1.920646,2.049504,0.455,0.385,0.1000,kl_2_3v,"0.000, 0.000, 1.920",0.9,30.0,1,67
12,1.909320,2.068603,0.461,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.914",0.9,30.0,0,73
13,1.892074,2.222348,0.469,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.893",0.9,30.0,0,79
14,1.879542,2.127872,0.473,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.862",0.9,30.0,0,85
15,1.867202,2.100336,0.479,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.857",0.9,30.0,0,91
16,1.860473,1.961950,0.483,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.864",0.9,30.0,0,97
17,1.848161,2.004675,0.488,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.842",0.9,30.0,1,104
18,1.838137,2.102152,0.492,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.848",0.9,30.0,2,110
19,1.833295,2.071897,0.493,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.846",0.9,30.0,3,116
20,1.824784,2.130774,0.498,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.838",0.9,30.0,4,122
21,1.816322,2.053668,0.501,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.819",0.9,30.0,5,128
22,1.810816,2.080344,0.502,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.809",0.9,30.0,0,134
23,1.803710,2.085070,0.506,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.815",0.9,30.0,1,140
24,1.795426,1.893551,0.508,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.807",0.9,30.0,2,146
25,1.796831,2.022498,0.511,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.807",0.9,30.0,3,152
26,1.784509,2.135045,0.513,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.794",0.9,30.0,4,158
27,1.783023,1.918541,0.513,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.786",0.9,30.0,5,165
