_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.220267,2.491434,0.316,0.229,0.1000,kl_2_3v,"0.000, 0.000, 1.182",0.95,30.0,0,3
2,1.149619,2.511042,0.402,0.254,0.1000,kl_2_3v,"0.000, 0.000, 1.132",0.95,30.0,0,7
3,1.109338,2.249795,0.443,0.273,0.1000,kl_2_3v,"0.000, 0.000, 1.093",0.95,30.0,0,11
4,1.083338,2.272513,0.477,0.303,0.1000,kl_2_3v,"0.000, 0.000, 1.077",0.95,30.0,0,15
5,1.063736,2.098400,0.503,0.314,0.1000,kl_2_3v,"0.000, 0.000, 1.063",0.95,30.0,0,18
6,1.048379,2.249852,0.516,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.046",0.95,30.0,0,22
7,1.031712,2.026684,0.538,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.035",0.95,30.0,0,26
8,1.022423,2.019173,0.547,0.340,0.1000,kl_2_3v,"0.000, 0.000, 1.016",0.95,30.0,0,30
9,1.013602,2.033542,0.556,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.010",0.95,30.0,0,34
10,1.003837,1.871296,0.567,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.002",0.95,30.0,0,37
11,0.995987,1.880208,0.573,0.371,0.1000,kl_2_3v,"0.000, 0.000, 0.996",0.95,30.0,1,41
12,0.992824,1.930822,0.580,0.365,0.1000,kl_2_3v,"0.000, 0.000, 0.997",0.95,30.0,2,45
13,0.983691,2.028345,0.590,0.379,0.1000,kl_2_3v,"0.000, 0.000, 0.982",0.95,30.0,0,49
14,0.976678,1.903734,0.596,0.361,0.1000,kl_2_3v,"0.000, 0.000, 0.971",0.95,30.0,1,52
15,0.974752,1.772071,0.597,0.426,0.1000,kl_2_3v,"0.000, 0.000, 0.978",0.95,30.0,0,56
16,0.970975,1.962691,0.602,0.379,0.1000,kl_2_3v,"0.000, 0.000, 0.969",0.95,30.0,1,60
17,0.964192,1.874011,0.610,0.420,0.1000,kl_2_3v,"0.000, 0.000, 0.964",0.95,30.0,2,64
18,0.960327,1.801884,0.616,0.422,0.1000,kl_2_3v,"0.000, 0.000, 0.961",0.95,30.0,3,68
