_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.081309,2.433508,0.355,0.201,0.1000,kl_2_3a,"0.000, 0.000, 1.937",0.9,30.0,0,5
2,1.920484,2.549156,0.438,0.232,0.1000,kl_2_3a,"0.000, 0.000, 1.759",0.9,30.0,0,10
3,1.834015,2.311487,0.486,0.270,0.1000,kl_2_3a,"0.000, 0.000, 1.643",0.9,30.0,0,15
4,1.753754,2.238416,0.519,0.287,0.1000,kl_2_3a,"0.000, 0.000, 1.649",0.9,30.0,0,21
5,1.730310,2.250540,0.537,0.289,0.1000,kl_2_3a,"0.000, 0.000, 1.632",0.9,30.0,0,26
6,1.701821,2.317880,0.554,0.316,0.1000,kl_2_3a,"0.000, 0.000, 1.643",0.9,30.0,0,31
7,1.690592,2.183153,0.570,0.338,0.1000,kl_2_3a,"0.000, 0.000, 1.645",0.9,30.0,0,36
8,1.645395,2.141818,0.579,0.357,0.1000,kl_2_3a,"0.000, 0.000, 1.621",0.9,30.0,0,42
9,1.626903,2.087868,0.580,0.346,0.1000,kl_2_3a,"0.000, 0.000, 1.547",0.9,30.0,1,47
10,1.636448,2.115087,0.597,0.355,0.1000,kl_2_3a,"0.000, 0.000, 1.554",0.9,30.0,2,52
11,1.611967,1.926545,0.599,0.363,0.1000,kl_2_3a,"0.000, 0.000, 1.422",0.9,30.0,0,57
12,1.573415,1.992257,0.604,0.387,0.1000,kl_2_3a,"0.000, 0.000, 1.502",0.9,30.0,0,63
13,1.586520,1.862025,0.606,0.398,0.1000,kl_2_3a,"0.000, 0.000, 1.529",0.9,30.0,0,68
14,1.565153,1.986867,0.611,0.365,0.1000,kl_2_3a,"0.000, 0.000, 1.533",0.9,30.0,1,73
15,1.572843,1.931144,0.619,0.398,0.1000,kl_2_3a,"0.000, 0.000, 1.534",0.9,30.0,0,79
16,1.557042,1.937795,0.619,0.393,0.1000,kl_2_3a,"0.000, 0.000, 1.495",0.9,30.0,1,84
17,1.550656,1.891861,0.618,0.396,0.1000,kl_2_3a,"0.000, 0.000, 1.452",0.9,30.0,2,89
18,1.552763,1.849991,0.622,0.395,0.1000,kl_2_3a,"0.000, 0.000, 1.469",0.9,30.0,3,95
19,1.564649,1.817843,0.630,0.428,0.1000,kl_2_3a,"0.000, 0.000, 1.470",0.9,30.0,0,100
20,1.552741,1.921471,0.630,0.408,0.1000,kl_2_3a,"0.000, 0.000, 1.491",0.9,30.0,1,105
21,1.547015,1.699610,0.631,0.426,0.1000,kl_2_3a,"0.000, 0.000, 1.439",0.9,30.0,2,110
22,1.549541,1.822000,0.630,0.436,0.1000,kl_2_3a,"0.000, 0.000, 1.513",0.9,30.0,0,116
23,1.540230,1.992053,0.632,0.408,0.1000,kl_2_3a,"0.000, 0.000, 1.460",0.9,30.0,1,121
24,1.527543,1.910127,0.634,0.412,0.1000,kl_2_3a,"0.000, 0.000, 1.491",0.9,30.0,2,126
25,1.529826,1.843038,0.637,0.400,0.1000,kl_2_3a,"0.000, 0.000, 1.525",0.9,30.0,3,132
