_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.358707,2.718630,0.334,0.225,0.1000,kl_2_3v,"0.000, 0.000, 2.272",0.9,30.0,0,3
2,2.164321,2.612620,0.433,0.240,0.1000,kl_2_3v,"0.000, 0.000, 2.109",0.9,30.0,0,7
3,2.050170,2.459576,0.485,0.279,0.1000,kl_2_3v,"0.000, 0.000, 2.034",0.9,30.0,0,11
4,1.972572,2.398114,0.521,0.287,0.1000,kl_2_3v,"0.000, 0.000, 1.943",0.9,30.0,0,15
5,1.928304,2.369117,0.542,0.328,0.1000,kl_2_3v,"0.000, 0.000, 1.921",0.9,30.0,0,18
6,1.886934,2.335162,0.562,0.346,0.1000,kl_2_3v,"0.000, 0.000, 1.876",0.9,30.0,0,22
7,1.855419,2.251409,0.576,0.344,0.1000,kl_2_3v,"0.000, 0.000, 1.849",0.9,30.0,1,26
8,1.825869,1.976553,0.588,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.826",0.9,30.0,0,30
9,1.807563,2.041420,0.593,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.812",0.9,30.0,1,34
10,1.786054,2.068013,0.603,0.354,0.1000,kl_2_3v,"0.000, 0.000, 1.784",0.9,30.0,2,37
11,1.765903,2.064714,0.614,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.743",0.9,30.0,0,41
12,1.752491,2.038443,0.617,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.755",0.9,30.0,0,45
13,1.744823,2.175118,0.621,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.732",0.9,30.0,1,49
14,1.730573,2.060919,0.631,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.722",0.9,30.0,2,53
15,1.724462,1.956264,0.633,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.724",0.9,30.0,3,56
16,1.712079,2.171197,0.635,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.726",0.9,30.0,0,60
17,1.699505,1.951826,0.641,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.704",0.9,30.0,1,64
18,1.697795,2.014391,0.643,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.704",0.9,30.0,0,68
19,1.693918,1.953409,0.644,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.9,30.0,0,71
20,1.685831,2.034808,0.647,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.683",0.9,30.0,1,75
21,1.678244,1.950896,0.649,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.681",0.9,30.0,2,79
22,1.671317,2.020896,0.653,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.681",0.9,30.0,0,83
23,1.670419,1.916431,0.654,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.675",0.9,30.0,0,87
24,1.668407,2.018405,0.654,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.668",0.9,30.0,1,90
25,1.654292,1.855192,0.657,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.640",0.9,30.0,0,94
26,1.654638,1.989594,0.658,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,1,98
27,1.654510,1.825286,0.660,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.658",0.9,30.0,0,102
28,1.649002,1.894148,0.665,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,1,105
29,1.646430,2.055824,0.662,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,2,109
30,1.636855,1.890064,0.667,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.636",0.9,30.0,3,113
31,1.637035,1.990120,0.668,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.640",0.9,30.0,4,117
32,1.635263,1.960701,0.663,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.646",0.9,30.0,5,121
