_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.391089,2.732691,0.328,0.199,0.1000,kl_2_3v,"0.000, 0.000, 2.298",0.9,30.0,0,3
2,2.204625,2.709431,0.432,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.152",0.9,30.0,0,7
3,2.090752,2.863157,0.493,0.291,0.1000,kl_2_3v,"0.000, 0.000, 2.071",0.9,30.0,0,11
4,2.017957,2.724652,0.525,0.295,0.1000,kl_2_3v,"0.000, 0.000, 2.004",0.9,30.0,0,15
5,1.962191,2.457208,0.551,0.301,0.1000,kl_2_3v,"0.000, 0.000, 1.947",0.9,30.0,0,18
6,1.920021,2.363758,0.571,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.905",0.9,30.0,0,22
7,1.896435,2.398661,0.585,0.340,0.1000,kl_2_3v,"0.000, 0.000, 1.888",0.9,30.0,1,26
8,1.869350,2.293652,0.596,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.864",0.9,30.0,2,30
9,1.842738,2.232193,0.609,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.825",0.9,30.0,0,33
10,1.830198,2.243332,0.616,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.822",0.9,30.0,0,37
11,1.810512,2.344468,0.620,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.815",0.9,30.0,1,41
12,1.799928,2.226125,0.627,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,0,45
13,1.792061,2.215957,0.632,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,1,48
14,1.771621,2.211766,0.638,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.773",0.9,30.0,0,52
15,1.766847,2.185497,0.640,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.767",0.9,30.0,0,56
16,1.759103,2.217202,0.644,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.748",0.9,30.0,0,60
17,1.755986,2.228434,0.649,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.760",0.9,30.0,1,64
18,1.742161,2.032185,0.653,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.745",0.9,30.0,0,67
19,1.737098,2.180206,0.655,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.750",0.9,30.0,1,71
20,1.731048,2.127847,0.658,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.730",0.9,30.0,2,75
21,1.725609,2.220268,0.660,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.727",0.9,30.0,3,79
22,1.722964,2.207989,0.660,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.721",0.9,30.0,0,82
23,1.712471,2.166041,0.664,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.718",0.9,30.0,1,86
24,1.717881,2.164641,0.662,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.729",0.9,30.0,2,90
25,1.713800,2.216455,0.663,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.722",0.9,30.0,3,94
26,1.704723,2.166195,0.666,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.706",0.9,30.0,4,98
27,1.699828,2.142110,0.671,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.706",0.9,30.0,5,101
28,1.697035,2.154058,0.672,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.705",0.9,30.0,0,105
29,1.695805,2.107506,0.668,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.695",0.9,30.0,0,109
30,1.693420,2.084746,0.672,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.708",0.9,30.0,1,113
31,1.687043,2.210621,0.675,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.694",0.9,30.0,2,116
32,1.689583,2.075096,0.676,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.703",0.9,30.0,3,120
33,1.685519,2.180232,0.675,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,4,124
34,1.675917,2.028316,0.678,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.683",0.9,30.0,0,128
35,1.676747,2.003606,0.677,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.694",0.9,30.0,1,132
36,1.676438,2.123581,0.681,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.681",0.9,30.0,2,135
37,1.673713,2.220354,0.681,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.680",0.9,30.0,3,139
38,1.674603,2.225194,0.678,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.677",0.9,30.0,4,143
39,1.666947,2.105439,0.684,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.667",0.9,30.0,0,147
40,1.667436,1.956146,0.681,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.689",0.9,30.0,1,151
41,1.664362,2.144352,0.686,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.675",0.9,30.0,2,154
42,1.669676,2.055009,0.682,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.690",0.9,30.0,0,158
43,1.661703,2.120891,0.686,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.681",0.9,30.0,1,162
44,1.659690,1.984074,0.686,0.486,0.1000,kl_2_3v,"0.000, 0.000, 1.656",0.9,30.0,0,166
45,1.658017,2.363858,0.687,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.665",0.9,30.0,1,170
46,1.654399,2.154342,0.685,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.663",0.9,30.0,2,174
47,1.658601,1.972733,0.686,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,3,177
48,1.651111,2.195528,0.691,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.658",0.9,30.0,4,181
49,1.645875,2.207075,0.691,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,5,185
50,1.650515,2.232428,0.687,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.659",0.9,30.0,6,189
51,1.646496,1.992981,0.692,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,7,192
52,1.648429,2.052412,0.690,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.642",0.9,30.0,8,196
53,1.644367,2.001633,0.690,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.664",0.9,30.0,9,200
54,1.634442,2.123935,0.693,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.622",0.9,30.0,10,204
55,1.643717,2.034742,0.690,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.660",0.9,30.0,11,207
56,1.638242,2.247458,0.696,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,12,211
57,1.637622,2.083788,0.693,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.651",0.9,30.0,13,215
58,1.634231,1.933120,0.694,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.639",0.9,30.0,14,219
59,1.638261,2.078028,0.695,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.658",0.9,30.0,15,223
60,1.633314,1.981090,0.697,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,16,226
61,1.634238,2.060938,0.696,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.646",0.9,30.0,17,230
62,1.630966,2.100889,0.696,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,18,234
63,1.635632,2.197398,0.693,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.647",0.9,30.0,19,238
64,1.630240,2.057796,0.698,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.626",0.9,30.0,20,242
