_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.435938,2.441865,0.318,0.225,0.1000,kl_2_3v,"0.000, 0.000, 2.367",0.9,30.0,0,3
2,2.284153,2.345851,0.406,0.268,0.1000,kl_2_3v,"0.000, 0.000, 2.247",0.9,30.0,0,7
3,2.185001,2.415231,0.460,0.281,0.1000,kl_2_3v,"0.000, 0.000, 2.157",0.9,30.0,0,11
4,2.126810,2.207485,0.490,0.312,0.1000,kl_2_3v,"0.000, 0.000, 2.101",0.9,30.0,0,15
5,2.074658,2.157393,0.518,0.314,0.1000,kl_2_3v,"0.000, 0.000, 2.058",0.9,30.0,0,19
6,2.045419,1.953228,0.533,0.342,0.1000,kl_2_3v,"0.000, 0.000, 2.054",0.9,30.0,0,23
7,2.006545,2.075385,0.549,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.988",0.9,30.0,0,27
8,1.990649,2.070729,0.564,0.355,0.1000,kl_2_3v,"0.000, 0.000, 1.988",0.9,30.0,0,31
9,1.962271,2.041255,0.571,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.970",0.9,30.0,0,34
10,1.947426,1.951922,0.581,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.940",0.9,30.0,0,38
11,1.935092,1.891564,0.589,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.939",0.9,30.0,1,42
12,1.920808,1.971871,0.597,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.905",0.9,30.0,0,46
13,1.909247,1.894976,0.601,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.919",0.9,30.0,0,50
14,1.900140,1.903315,0.607,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.894",0.9,30.0,0,54
15,1.896952,1.837572,0.613,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.904",0.9,30.0,0,58
16,1.889438,1.867766,0.614,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,0,62
17,1.878847,1.882300,0.619,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.884",0.9,30.0,1,66
18,1.872201,2.005442,0.621,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.876",0.9,30.0,0,69
19,1.867500,1.848940,0.623,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.876",0.9,30.0,1,73
20,1.863520,1.751666,0.626,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.854",0.9,30.0,0,77
21,1.860162,1.925667,0.631,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.868",0.9,30.0,1,81
22,1.854644,1.698760,0.631,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.848",0.9,30.0,0,85
23,1.851126,1.758169,0.633,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.857",0.9,30.0,1,89
24,1.839441,1.822128,0.638,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.848",0.9,30.0,2,93
25,1.843387,1.906354,0.636,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.852",0.9,30.0,3,97
26,1.840534,1.831798,0.635,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.849",0.9,30.0,4,100
27,1.834154,1.836784,0.637,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.852",0.9,30.0,0,104
28,1.829972,1.806976,0.641,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.840",0.9,30.0,1,108
29,1.827270,1.876889,0.643,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.834",0.9,30.0,2,112
30,1.820955,1.846528,0.647,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.831",0.9,30.0,3,116
31,1.817376,1.870976,0.648,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.828",0.9,30.0,4,120
32,1.814899,1.926856,0.646,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.829",0.9,30.0,5,124
33,1.812571,1.736546,0.652,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.811",0.9,30.0,0,128
34,1.814747,1.847972,0.652,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.813",0.9,30.0,1,131
35,1.813831,1.736594,0.650,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.831",0.9,30.0,2,135
36,1.808138,1.798491,0.652,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.820",0.9,30.0,3,139
37,1.803424,1.837170,0.653,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.817",0.9,30.0,4,143
38,1.804513,1.871227,0.653,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.818",0.9,30.0,5,147
39,1.798792,1.781155,0.657,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.796",0.9,30.0,6,151
40,1.800286,1.834092,0.656,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.795",0.9,30.0,7,155
41,1.791029,1.844817,0.657,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.801",0.9,30.0,8,159
42,1.799926,2.020804,0.654,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.795",0.9,30.0,9,163
43,1.792679,1.639301,0.659,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.805",0.9,30.0,0,166
44,1.791756,1.954521,0.659,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.806",0.9,30.0,1,170
45,1.790403,1.804474,0.659,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.788",0.9,30.0,2,174
46,1.789907,1.759768,0.660,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.800",0.9,30.0,3,178
47,1.786682,1.811915,0.663,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.797",0.9,30.0,4,182
48,1.789071,1.701640,0.657,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.798",0.9,30.0,5,186
49,1.782257,1.958761,0.663,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.770",0.9,30.0,6,190
50,1.786471,1.766027,0.661,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.797",0.9,30.0,7,194
51,1.785581,1.829904,0.663,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.803",0.9,30.0,8,197
52,1.779000,1.881289,0.664,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.777",0.9,30.0,9,201
53,1.776114,1.776115,0.664,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.780",0.9,30.0,10,205
54,1.776259,1.688133,0.664,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.780",0.9,30.0,0,209
55,1.777232,1.803394,0.667,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.776",0.9,30.0,1,213
56,1.777668,1.753831,0.669,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.790",0.9,30.0,2,217
57,1.774930,1.676267,0.665,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.776",0.9,30.0,3,221
58,1.778589,1.714053,0.665,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.776",0.9,30.0,4,224
59,1.774498,1.839704,0.667,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,5,228
