_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.445765,2.446067,0.316,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.367",0.9,30.0,0,3
2,2.296043,2.603093,0.411,0.250,0.1000,kl_2_3v,"0.000, 0.000, 2.249",0.9,30.0,1,7
3,2.210982,2.606122,0.470,0.297,0.1000,kl_2_3v,"0.000, 0.000, 2.181",0.9,30.0,0,11
4,2.145916,2.236922,0.502,0.297,0.1000,kl_2_3v,"0.000, 0.000, 2.127",0.9,30.0,0,15
5,2.108991,2.377054,0.527,0.322,0.1000,kl_2_3v,"0.000, 0.000, 2.098",0.9,30.0,0,18
6,2.076595,2.288453,0.544,0.324,0.1000,kl_2_3v,"0.000, 0.000, 2.076",0.9,30.0,0,22
7,2.050058,2.125508,0.561,0.352,0.1000,kl_2_3v,"0.000, 0.000, 2.050",0.9,30.0,0,26
8,2.026432,2.028047,0.573,0.381,0.1000,kl_2_3v,"0.000, 0.000, 2.001",0.9,30.0,0,30
9,2.006951,1.945890,0.583,0.381,0.1000,kl_2_3v,"0.000, 0.000, 2.004",0.9,30.0,0,34
10,1.987247,2.182351,0.593,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.983",0.9,30.0,1,37
11,1.974504,2.181839,0.599,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.974",0.9,30.0,2,41
12,1.966076,2.140942,0.608,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.965",0.9,30.0,0,45
13,1.955404,2.029846,0.608,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.959",0.9,30.0,0,49
14,1.950432,1.920178,0.611,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.950",0.9,30.0,1,52
15,1.932279,1.979097,0.620,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.929",0.9,30.0,2,56
16,1.930826,1.842049,0.623,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.926",0.9,30.0,3,60
17,1.918481,2.043747,0.629,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.919",0.9,30.0,4,64
18,1.914746,1.930767,0.629,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.918",0.9,30.0,5,68
19,1.914900,2.085858,0.633,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.914",0.9,30.0,6,71
20,1.907231,2.064391,0.635,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.911",0.9,30.0,7,75
21,1.903123,2.060309,0.636,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.904",0.9,30.0,8,79
22,1.899204,1.894633,0.640,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.908",0.9,30.0,9,83
23,1.897389,1.989043,0.642,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.903",0.9,30.0,10,87
24,1.889797,1.976604,0.642,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.883",0.9,30.0,0,90
25,1.887971,1.863212,0.645,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.893",0.9,30.0,0,94
26,1.887690,1.937921,0.647,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.893",0.9,30.0,0,98
27,1.875454,1.961244,0.648,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.875",0.9,30.0,1,102
