_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.455451,2.701801,0.310,0.215,0.1000,kl_2_3v,"0.000, 0.000, 2.379",0.9,30.0,0,3
2,2.304696,2.431693,0.407,0.250,0.1000,kl_2_3v,"0.000, 0.000, 2.269",0.9,30.0,0,7
3,2.217956,2.368203,0.464,0.277,0.1000,kl_2_3v,"0.000, 0.000, 2.193",0.9,30.0,0,11
4,2.157280,2.165986,0.496,0.324,0.1000,kl_2_3v,"0.000, 0.000, 2.137",0.9,30.0,0,15
5,2.113386,2.145283,0.522,0.324,0.1000,kl_2_3v,"0.000, 0.000, 2.106",0.9,30.0,0,18
6,2.078840,2.402665,0.546,0.330,0.1000,kl_2_3v,"0.000, 0.000, 2.065",0.9,30.0,0,22
7,2.051595,2.040550,0.560,0.354,0.1000,kl_2_3v,"0.000, 0.000, 2.047",0.9,30.0,0,26
8,2.022663,2.165321,0.570,0.352,0.1000,kl_2_3v,"0.000, 0.000, 2.010",0.9,30.0,1,30
9,2.011301,2.036372,0.581,0.373,0.1000,kl_2_3v,"0.000, 0.000, 2.006",0.9,30.0,0,34
10,1.994935,2.130646,0.590,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.990",0.9,30.0,1,37
11,1.977931,2.061940,0.599,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.973",0.9,30.0,0,41
12,1.965479,2.093819,0.600,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.961",0.9,30.0,0,45
13,1.955009,2.141154,0.608,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.955",0.9,30.0,0,49
14,1.952060,2.063136,0.612,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.947",0.9,30.0,1,52
15,1.937140,2.159605,0.619,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.944",0.9,30.0,2,56
16,1.931486,1.966009,0.621,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.934",0.9,30.0,0,60
17,1.922215,1.966752,0.628,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.927",0.9,30.0,0,64
18,1.915967,1.897934,0.630,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.919",0.9,30.0,0,68
19,1.914494,1.942890,0.635,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.922",0.9,30.0,1,71
20,1.910136,1.864641,0.636,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.914",0.9,30.0,0,75
21,1.905239,1.903374,0.636,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.902",0.9,30.0,1,79
22,1.899178,2.044606,0.639,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,2,83
23,1.895492,1.994755,0.641,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.903",0.9,30.0,3,87
24,1.892367,1.945463,0.641,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.889",0.9,30.0,4,90
25,1.885344,1.900619,0.644,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.887",0.9,30.0,5,94
26,1.884541,1.976570,0.644,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.896",0.9,30.0,6,98
27,1.878379,1.998609,0.646,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.872",0.9,30.0,7,102
28,1.883704,2.003235,0.645,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.885",0.9,30.0,8,105
29,1.878019,1.775892,0.648,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.871",0.9,30.0,9,109
30,1.870106,2.010027,0.649,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.883",0.9,30.0,10,113
31,1.871689,2.025734,0.652,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.885",0.9,30.0,11,117
32,1.865009,1.847037,0.655,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.874",0.9,30.0,12,120
33,1.861608,1.895963,0.657,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.881",0.9,30.0,0,124
34,1.862058,2.019739,0.655,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.860",0.9,30.0,1,128
35,1.862333,1.969595,0.656,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.865",0.9,30.0,2,132
36,1.856615,1.905033,0.659,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.880",0.9,30.0,3,136
37,1.852720,1.928788,0.660,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.866",0.9,30.0,4,139
38,1.850524,1.957459,0.663,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.848",0.9,30.0,5,143
39,1.850300,2.016047,0.662,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.850",0.9,30.0,6,147
