_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.430738,2.521773,0.320,0.252,0.1000,kl_2_3v,"0.000, 0.000, 2.334",0.9,30.0,0,4
2,2.274534,2.424885,0.408,0.271,0.1000,kl_2_3v,"0.000, 0.000, 2.230",0.9,30.0,0,8
3,2.187910,2.323267,0.457,0.285,0.1000,kl_2_3v,"0.000, 0.000, 2.163",0.9,30.0,0,12
4,2.122662,2.343936,0.494,0.309,0.1000,kl_2_3v,"0.000, 0.000, 2.102",0.9,30.0,0,15
5,2.075704,2.238433,0.516,0.311,0.1000,kl_2_3v,"0.000, 0.000, 2.065",0.9,30.0,0,19
6,2.041093,2.231361,0.535,0.355,0.1000,kl_2_3v,"0.000, 0.000, 2.033",0.9,30.0,0,23
7,2.013971,2.038333,0.550,0.350,0.1000,kl_2_3v,"0.000, 0.000, 2.005",0.9,30.0,1,27
8,1.987775,1.963756,0.562,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.991",0.9,30.0,2,31
9,1.968362,2.025638,0.575,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.972",0.9,30.0,0,35
10,1.950190,1.914345,0.583,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.953",0.9,30.0,0,39
11,1.930970,1.949641,0.589,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.927",0.9,30.0,0,43
12,1.920426,2.049360,0.595,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.936",0.9,30.0,1,47
13,1.911574,1.837107,0.601,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.914",0.9,30.0,2,51
14,1.901567,1.964386,0.610,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.882",0.9,30.0,0,55
15,1.896401,1.856455,0.609,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.893",0.9,30.0,1,59
16,1.885000,1.850110,0.615,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.882",0.9,30.0,2,63
17,1.874572,1.829498,0.620,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.866",0.9,30.0,3,67
18,1.872783,2.064904,0.622,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.880",0.9,30.0,4,71
19,1.861808,1.958673,0.622,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.870",0.9,30.0,5,75
20,1.860038,1.775334,0.625,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.855",0.9,30.0,0,79
21,1.854479,1.810787,0.630,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.856",0.9,30.0,0,83
22,1.850655,1.856294,0.632,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.847",0.9,30.0,1,87
23,1.848125,1.801441,0.631,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.856",0.9,30.0,2,91
24,1.847938,1.800601,0.637,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.853",0.9,30.0,3,95
25,1.838477,1.833579,0.639,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.847",0.9,30.0,0,99
26,1.832689,1.779789,0.643,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.842",0.9,30.0,0,103
27,1.832313,1.798144,0.641,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.850",0.9,30.0,0,107
28,1.824609,1.787239,0.644,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.823",0.9,30.0,0,111
29,1.828906,1.864032,0.644,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.817",0.9,30.0,1,115
30,1.819529,1.826469,0.646,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.820",0.9,30.0,2,119
31,1.812204,1.678445,0.647,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.815",0.9,30.0,3,123
32,1.817833,1.727395,0.644,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.831",0.9,30.0,0,126
33,1.815655,1.833329,0.648,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.813",0.9,30.0,1,130
34,1.806469,1.763974,0.654,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.813",0.9,30.0,2,134
35,1.811199,1.866040,0.649,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.803",0.9,30.0,3,138
36,1.803591,1.775241,0.653,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.807",0.9,30.0,0,142
37,1.800737,1.735487,0.656,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.798",0.9,30.0,1,146
38,1.802974,1.704992,0.656,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.801",0.9,30.0,0,150
39,1.799570,1.825142,0.656,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.809",0.9,30.0,1,154
40,1.800264,1.698001,0.657,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.808",0.9,30.0,0,158
41,1.793036,1.708085,0.656,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.803",0.9,30.0,1,162
42,1.795570,1.881703,0.658,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.784",0.9,30.0,2,166
43,1.789664,1.760695,0.659,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.789",0.9,30.0,3,170
44,1.789303,1.845456,0.662,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.798",0.9,30.0,4,174
45,1.787301,1.688116,0.661,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.785",0.9,30.0,5,178
46,1.789095,1.777673,0.661,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.792",0.9,30.0,6,182
47,1.785357,1.716959,0.661,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.791",0.9,30.0,7,186
48,1.781840,1.884508,0.662,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.791",0.9,30.0,8,190
49,1.783015,1.843970,0.663,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.799",0.9,30.0,9,194
50,1.779615,1.781217,0.664,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.796",0.9,30.0,10,198
51,1.783934,1.836065,0.664,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,11,202
52,1.777629,1.674945,0.664,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.770",0.9,30.0,0,206
53,1.775568,1.707044,0.665,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.775",0.9,30.0,0,210
54,1.776008,1.720136,0.667,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.782",0.9,30.0,1,214
55,1.779303,1.802301,0.665,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.788",0.9,30.0,2,217
