_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.610926,2.626689,0.285,0.209,0.1000,kl_2_3a,"0.000, 0.000, 1.470",0.9,30.0,0,3
2,1.344242,2.641691,0.387,0.229,0.1000,kl_2_3a,"0.000, 0.000, 1.278",0.9,30.0,0,7
3,1.185664,2.287608,0.445,0.248,0.1000,kl_2_3a,"0.000, 0.000, 1.146",0.9,30.0,0,11
4,1.092135,2.201462,0.482,0.295,0.1000,kl_2_3a,"0.000, 0.000, 1.054",0.9,30.0,0,15
5,1.019090,2.149835,0.508,0.287,0.1000,kl_2_3a,"0.000, 0.000, 1.003",0.9,30.0,1,19
6,0.970910,2.009342,0.529,0.338,0.1000,kl_2_3a,"0.000, 0.000, 0.979",0.9,30.0,0,23
7,0.937859,2.006703,0.541,0.367,0.1000,kl_2_3a,"0.000, 0.000, 0.927",0.9,30.0,0,27
8,0.898115,2.046660,0.553,0.324,0.1000,kl_2_3a,"0.000, 0.000, 0.898",0.9,30.0,1,31
9,0.880624,1.896629,0.565,0.357,0.1000,kl_2_3a,"0.000, 0.000, 0.872",0.9,30.0,2,34
10,0.860208,2.012459,0.575,0.354,0.1000,kl_2_3a,"0.000, 0.000, 0.859",0.9,30.0,3,38
11,0.847027,1.836094,0.576,0.369,0.1000,kl_2_3a,"0.000, 0.000, 0.858",0.9,30.0,0,42
12,0.830552,1.756682,0.583,0.371,0.1000,kl_2_3a,"0.000, 0.000, 0.825",0.9,30.0,0,46
13,0.819233,1.785690,0.590,0.389,0.1000,kl_2_3a,"0.000, 0.000, 0.821",0.9,30.0,0,50
14,0.810127,1.826376,0.594,0.373,0.1000,kl_2_3a,"0.000, 0.000, 0.813",0.9,30.0,1,54
15,0.798248,1.824914,0.600,0.385,0.1000,kl_2_3a,"0.000, 0.000, 0.802",0.9,30.0,2,58
16,0.787944,1.871784,0.601,0.381,0.1000,kl_2_3a,"0.000, 0.000, 0.800",0.9,30.0,3,62
17,0.784478,1.789830,0.604,0.396,0.1000,kl_2_3a,"0.000, 0.000, 0.785",0.9,30.0,0,65
18,0.775951,1.780998,0.607,0.387,0.1000,kl_2_3a,"0.000, 0.000, 0.771",0.9,30.0,1,69
19,0.772585,1.754125,0.607,0.402,0.1000,kl_2_3a,"0.000, 0.000, 0.788",0.9,30.0,0,73
20,0.765164,1.829521,0.611,0.400,0.1000,kl_2_3a,"0.000, 0.000, 0.768",0.9,30.0,1,77
21,0.762397,1.788808,0.615,0.393,0.1000,kl_2_3a,"0.000, 0.000, 0.767",0.9,30.0,2,81
22,0.758560,1.870755,0.616,0.389,0.1000,kl_2_3a,"0.000, 0.000, 0.754",0.9,30.0,3,85
23,0.750771,1.733785,0.620,0.391,0.1000,kl_2_3a,"0.000, 0.000, 0.754",0.9,30.0,4,89
24,0.753057,1.787125,0.618,0.393,0.1000,kl_2_3a,"0.000, 0.000, 0.763",0.9,30.0,5,93
25,0.750526,1.650541,0.622,0.395,0.1000,kl_2_3a,"0.000, 0.000, 0.756",0.9,30.0,6,96
26,0.746136,1.943167,0.622,0.387,0.1000,kl_2_3a,"0.000, 0.000, 0.761",0.9,30.0,7,100
27,0.739093,1.734327,0.624,0.410,0.1000,kl_2_3a,"0.000, 0.000, 0.741",0.9,30.0,0,104
28,0.739845,1.643874,0.623,0.436,0.1000,kl_2_3a,"0.000, 0.000, 0.746",0.9,30.0,0,108
29,0.735127,1.727600,0.627,0.410,0.1000,kl_2_3a,"0.000, 0.000, 0.734",0.9,30.0,1,112
30,0.731261,1.883352,0.629,0.400,0.1000,kl_2_3a,"0.000, 0.000, 0.724",0.9,30.0,2,116
31,0.727715,1.859460,0.629,0.414,0.1000,kl_2_3a,"0.000, 0.000, 0.730",0.9,30.0,3,120
