_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.518662,2.135471,0.221,0.230,0.1000,kl_2_3v,"0.000, 0.000, 2.452",0.9,30.0,0,3
2,2.409616,2.287999,0.261,0.266,0.1000,kl_2_3v,"0.000, 0.000, 2.391",0.9,30.0,0,7
3,2.347044,2.137073,0.287,0.299,0.1000,kl_2_3v,"0.000, 0.000, 2.330",0.9,30.0,0,10
4,2.286504,2.195778,0.313,0.301,0.1000,kl_2_3v,"0.000, 0.000, 2.269",0.9,30.0,0,14
5,2.248696,2.125071,0.333,0.318,0.1000,kl_2_3v,"0.000, 0.000, 2.234",0.9,30.0,0,17
6,2.207754,2.022881,0.350,0.352,0.1000,kl_2_3v,"0.000, 0.000, 2.197",0.9,30.0,0,21
7,2.180268,2.026005,0.363,0.336,0.1000,kl_2_3v,"0.000, 0.000, 2.176",0.9,30.0,1,24
8,2.152077,2.035968,0.377,0.332,0.1000,kl_2_3v,"0.000, 0.000, 2.133",0.9,30.0,2,28
9,2.124385,1.797293,0.390,0.393,0.1000,kl_2_3v,"0.000, 0.000, 2.119",0.9,30.0,0,32
10,2.106778,1.885496,0.399,0.391,0.1000,kl_2_3v,"0.000, 0.000, 2.101",0.9,30.0,1,35
11,2.087002,2.055686,0.408,0.379,0.1000,kl_2_3v,"0.000, 0.000, 2.090",0.9,30.0,2,39
12,2.069772,1.945621,0.416,0.381,0.1000,kl_2_3v,"0.000, 0.000, 2.060",0.9,30.0,3,42
13,2.055980,1.860037,0.423,0.393,0.1000,kl_2_3v,"0.000, 0.000, 2.051",0.9,30.0,0,46
14,2.041862,1.895553,0.429,0.412,0.1000,kl_2_3v,"0.000, 0.000, 2.044",0.9,30.0,0,49
15,2.030405,1.684197,0.434,0.436,0.1000,kl_2_3v,"0.000, 0.000, 2.030",0.9,30.0,0,53
16,2.015256,1.834518,0.439,0.408,0.1000,kl_2_3v,"0.000, 0.000, 2.003",0.9,30.0,1,56
17,2.004771,1.750771,0.446,0.436,0.1000,kl_2_3v,"0.000, 0.000, 2.013",0.9,30.0,0,60
18,1.991645,1.827245,0.450,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.988",0.9,30.0,1,63
19,1.984097,1.904189,0.451,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.982",0.9,30.0,2,67
20,1.970903,1.749169,0.455,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.966",0.9,30.0,3,71
21,1.966132,1.843563,0.458,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.986",0.9,30.0,4,74
22,1.965759,1.660622,0.459,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.970",0.9,30.0,0,78
23,1.948442,1.829408,0.466,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.966",0.9,30.0,1,81
24,1.945395,1.879464,0.469,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.962",0.9,30.0,2,85
25,1.932995,1.856592,0.470,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.935",0.9,30.0,3,88
26,1.928714,1.831551,0.473,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.928",0.9,30.0,4,92
27,1.918440,1.790173,0.476,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.928",0.9,30.0,5,95
28,1.914029,1.813204,0.479,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.924",0.9,30.0,6,99
29,1.906929,1.748045,0.479,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.917",0.9,30.0,7,102
30,1.899296,1.839646,0.480,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.926",0.9,30.0,8,106
31,1.901202,1.791500,0.485,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.920",0.9,30.0,9,110
32,1.896481,1.754200,0.486,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.904",0.9,30.0,10,113
33,1.882352,1.734644,0.491,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.886",0.9,30.0,11,117
34,1.887824,1.699468,0.490,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.886",0.9,30.0,12,120
35,1.876616,1.848987,0.494,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.895",0.9,30.0,13,124
36,1.870958,1.742010,0.496,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,14,127
37,1.862740,1.683630,0.495,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.869",0.9,30.0,0,131
38,1.861654,1.908754,0.497,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.865",0.9,30.0,1,134
39,1.850692,1.806548,0.502,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.875",0.9,30.0,2,138
40,1.844226,1.857135,0.499,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.837",0.9,30.0,3,141
41,1.839802,1.858705,0.507,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.841",0.9,30.0,4,145
42,1.849877,1.804413,0.502,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.870",0.9,30.0,5,149
43,1.841633,1.780742,0.503,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.856",0.9,30.0,6,152
44,1.837809,1.738064,0.509,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.838",0.9,30.0,7,156
45,1.832115,1.699498,0.510,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.830",0.9,30.0,0,159
46,1.822485,1.754176,0.510,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.832",0.9,30.0,0,163
47,1.831778,1.694681,0.510,0.486,0.1000,kl_2_3v,"0.000, 0.000, 1.843",0.9,30.0,0,166
48,1.818161,1.866493,0.513,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.839",0.9,30.0,1,170
49,1.825408,1.802534,0.511,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.831",0.9,30.0,2,173
50,1.820868,1.653461,0.514,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.833",0.9,30.0,3,177
51,1.807173,1.794566,0.517,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.818",0.9,30.0,4,180
52,1.807558,1.804328,0.517,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.816",0.9,30.0,5,184
53,1.810181,1.654611,0.515,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.806",0.9,30.0,6,188
54,1.807384,1.797780,0.517,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.830",0.9,30.0,7,191
55,1.805282,1.692272,0.519,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.807",0.9,30.0,8,195
56,1.801291,1.747910,0.521,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.819",0.9,30.0,9,198
57,1.802219,1.634050,0.521,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.793",0.9,30.0,10,202
58,1.798080,1.698938,0.522,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.813",0.9,30.0,11,205
59,1.791935,1.736035,0.522,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.794",0.9,30.0,12,209
