_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.316141,3.019825,0.346,0.223,0.1000,kl_2_3v,"0.000, 0.000, 2.209",0.9,30.0,0,3
2,2.084462,2.936836,0.449,0.242,0.1000,kl_2_3v,"0.000, 0.000, 2.023",0.9,30.0,0,7
3,1.959864,2.682309,0.505,0.273,0.1000,kl_2_3v,"0.000, 0.000, 1.925",0.9,30.0,0,11
4,1.873875,2.682999,0.544,0.320,0.1000,kl_2_3v,"0.000, 0.000, 1.838",0.9,30.0,0,15
5,1.814363,2.661324,0.566,0.322,0.1000,kl_2_3v,"0.000, 0.000, 1.798",0.9,30.0,0,18
6,1.763145,2.420329,0.583,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.756",0.9,30.0,0,22
7,1.733844,2.193959,0.596,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.730",0.9,30.0,0,26
8,1.698151,2.183465,0.607,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.721",0.9,30.0,0,30
9,1.675284,2.213010,0.614,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.672",0.9,30.0,1,34
10,1.650341,2.090040,0.626,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.639",0.9,30.0,0,37
11,1.631435,2.362078,0.631,0.385,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,0,41
12,1.621569,2.121394,0.634,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.620",0.9,30.0,0,45
13,1.607165,2.464571,0.640,0.361,0.1000,kl_2_3v,"0.000, 0.000, 1.603",0.9,30.0,1,49
14,1.592143,2.233058,0.640,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,0,52
15,1.583171,2.310169,0.647,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.584",0.9,30.0,0,56
16,1.569741,2.097997,0.649,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.567",0.9,30.0,0,60
17,1.562827,2.195298,0.653,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.566",0.9,30.0,1,64
18,1.555679,2.284795,0.655,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.556",0.9,30.0,2,68
19,1.552730,2.044860,0.660,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.558",0.9,30.0,3,71
20,1.541636,2.215278,0.661,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.553",0.9,30.0,4,75
21,1.538916,2.104535,0.664,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.528",0.9,30.0,0,79
22,1.531534,2.223874,0.665,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.531",0.9,30.0,1,83
23,1.523330,2.288373,0.667,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.519",0.9,30.0,0,86
24,1.527761,2.090529,0.667,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.537",0.9,30.0,0,90
25,1.516586,1.984192,0.670,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.526",0.9,30.0,0,94
26,1.507860,2.094233,0.672,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.513",0.9,30.0,1,98
27,1.502854,1.996129,0.674,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.507",0.9,30.0,0,101
28,1.504948,2.109125,0.675,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.520",0.9,30.0,1,105
29,1.496057,2.062623,0.679,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.502",0.9,30.0,2,109
30,1.490675,2.077103,0.679,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.494",0.9,30.0,3,113
31,1.495159,2.014185,0.680,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.500",0.9,30.0,4,117
32,1.483772,2.337336,0.681,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.493",0.9,30.0,5,120
33,1.481572,2.295254,0.683,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.485",0.9,30.0,6,124
34,1.482722,2.076095,0.681,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.487",0.9,30.0,7,128
35,1.479917,2.063318,0.683,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.490",0.9,30.0,0,132
36,1.477531,2.157961,0.684,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.489",0.9,30.0,1,135
37,1.470935,2.032062,0.684,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.489",0.9,30.0,2,139
38,1.464610,2.158924,0.687,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.481",0.9,30.0,3,143
39,1.468100,2.025252,0.685,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.462",0.9,30.0,4,147
40,1.466699,2.087133,0.691,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.478",0.9,30.0,5,150
41,1.463474,2.112043,0.690,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.477",0.9,30.0,6,154
42,1.463115,2.184803,0.688,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.472",0.9,30.0,7,158
43,1.459948,2.064352,0.689,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.468",0.9,30.0,8,162
44,1.455688,2.055701,0.695,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.476",0.9,30.0,9,166
45,1.452900,2.131564,0.694,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.483",0.9,30.0,10,169
46,1.453726,2.154189,0.693,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.469",0.9,30.0,11,173
47,1.451519,2.034060,0.692,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.451",0.9,30.0,12,177
48,1.448942,1.894014,0.692,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.468",0.9,30.0,13,181
49,1.449037,2.051853,0.694,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.450",0.9,30.0,14,184
50,1.450000,2.099590,0.696,0.486,0.1000,kl_2_3v,"0.000, 0.000, 1.452",0.9,30.0,0,188
