_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,0.836584,2.462927,0.356,0.240,0.1000,kl_2_3v,"0.000, 0.000, 0.750",0.9,30.0,0,3
2,0.689200,2.651775,0.446,0.266,0.1000,kl_2_3v,"0.000, 0.000, 0.659",0.9,30.0,0,7
3,0.623380,2.316951,0.494,0.305,0.1000,kl_2_3v,"0.000, 0.000, 0.607",0.9,30.0,0,11
4,0.582058,2.226578,0.521,0.326,0.1000,kl_2_3v,"0.000, 0.000, 0.568",0.9,30.0,0,15
5,0.553820,2.068600,0.543,0.346,0.1000,kl_2_3v,"0.000, 0.000, 0.551",0.9,30.0,0,18
6,0.530581,2.234795,0.555,0.334,0.1000,kl_2_3v,"0.000, 0.000, 0.526",0.9,30.0,1,22
7,0.511384,2.102626,0.568,0.363,0.1000,kl_2_3v,"0.000, 0.000, 0.501",0.9,30.0,0,26
8,0.495925,2.000373,0.578,0.391,0.1000,kl_2_3v,"0.000, 0.000, 0.490",0.9,30.0,0,30
9,0.484499,2.010793,0.587,0.377,0.1000,kl_2_3v,"0.000, 0.000, 0.482",0.9,30.0,1,33
10,0.475779,1.893736,0.591,0.389,0.1000,kl_2_3v,"0.000, 0.000, 0.473",0.9,30.0,2,37
11,0.466230,1.758094,0.601,0.391,0.1000,kl_2_3v,"0.000, 0.000, 0.465",0.9,30.0,0,41
12,0.459119,1.864557,0.602,0.414,0.1000,kl_2_3v,"0.000, 0.000, 0.464",0.9,30.0,0,45
13,0.452172,1.933301,0.608,0.385,0.1000,kl_2_3v,"0.000, 0.000, 0.453",0.9,30.0,1,49
14,0.445612,1.859696,0.613,0.416,0.1000,kl_2_3v,"0.000, 0.000, 0.445",0.9,30.0,0,52
15,0.438514,1.918764,0.620,0.412,0.1000,kl_2_3v,"0.000, 0.000, 0.440",0.9,30.0,1,56
16,0.434681,1.789418,0.622,0.424,0.1000,kl_2_3v,"0.000, 0.000, 0.436",0.9,30.0,0,60
