_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,4.013135,3.454386,0.322,0.172,0.1000,kl_2_3v,"0.000, 0.000, 3.413",0.5,30.0,0,3
2,2.983343,3.420437,0.421,0.176,0.1000,kl_2_3v,"0.000, 0.000, 2.771",0.5,30.0,0,7
3,2.383636,3.087723,0.491,0.250,0.1000,kl_2_3v,"0.000, 0.000, 2.244",0.5,30.0,0,11
4,1.994314,3.147196,0.536,0.262,0.1000,kl_2_3v,"0.000, 0.000, 1.877",0.5,30.0,0,15
5,1.758147,2.816439,0.563,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.5,30.0,0,18
6,1.588090,2.682037,0.586,0.334,0.1000,kl_2_3v,"0.000, 0.000, 1.581",0.5,30.0,1,22
7,1.455971,2.613463,0.600,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.426",0.5,30.0,0,26
8,1.380743,2.433196,0.613,0.377,0.1000,kl_2_3v,"0.000, 0.000, 1.380",0.5,30.0,0,30
9,1.318743,2.537562,0.622,0.369,0.1000,kl_2_3v,"0.000, 0.000, 1.337",0.5,30.0,1,34
10,1.263998,2.542329,0.627,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.244",0.5,30.0,0,37
11,1.205749,2.438182,0.635,0.385,0.1000,kl_2_3v,"0.000, 0.000, 1.233",0.5,30.0,1,41
12,1.162844,2.645879,0.640,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.169",0.5,30.0,2,45
13,1.128519,2.344006,0.644,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.125",0.5,30.0,3,49
14,1.104796,2.447481,0.652,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.119",0.5,30.0,0,53
15,1.077405,2.418621,0.655,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.083",0.5,30.0,1,56
16,1.061438,2.288218,0.657,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.080",0.5,30.0,0,60
17,1.024985,2.245813,0.663,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.020",0.5,30.0,0,64
18,1.025293,2.287502,0.663,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.020",0.5,30.0,1,68
19,0.996841,2.087245,0.664,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.004",0.5,30.0,0,71
20,0.983837,2.272142,0.667,0.459,0.1000,kl_2_3v,"0.000, 0.000, 0.987",0.5,30.0,0,75
21,0.972777,2.323810,0.673,0.426,0.1000,kl_2_3v,"0.000, 0.000, 0.993",0.5,30.0,1,79
22,0.956953,2.326957,0.672,0.426,0.1000,kl_2_3v,"0.000, 0.000, 0.974",0.5,30.0,2,83
23,0.949046,2.152455,0.674,0.453,0.1000,kl_2_3v,"0.000, 0.000, 0.973",0.5,30.0,3,87
24,0.941957,2.257516,0.676,0.410,0.1000,kl_2_3v,"0.000, 0.000, 0.968",0.5,30.0,4,90
25,0.926745,2.243223,0.681,0.449,0.1000,kl_2_3v,"0.000, 0.000, 0.928",0.5,30.0,5,94
26,0.929054,2.387517,0.676,0.434,0.1000,kl_2_3v,"0.000, 0.000, 0.941",0.5,30.0,6,98
27,0.912467,2.211283,0.682,0.449,0.1000,kl_2_3v,"0.000, 0.000, 0.921",0.5,30.0,7,102
28,0.908183,2.358819,0.681,0.451,0.1000,kl_2_3v,"0.000, 0.000, 0.925",0.5,30.0,8,106
29,0.898259,2.151443,0.684,0.447,0.1000,kl_2_3v,"0.000, 0.000, 0.912",0.5,30.0,9,109
30,0.887173,2.284981,0.685,0.434,0.1000,kl_2_3v,"0.000, 0.000, 0.914",0.5,30.0,10,113
31,0.872627,2.130233,0.686,0.453,0.1000,kl_2_3v,"0.000, 0.000, 0.894",0.5,30.0,11,117
32,0.883413,2.205223,0.686,0.434,0.1000,kl_2_3v,"0.000, 0.000, 0.898",0.5,30.0,12,121
33,0.878366,2.190598,0.688,0.451,0.1000,kl_2_3v,"0.000, 0.000, 0.870",0.5,30.0,13,124
34,0.875244,2.162157,0.685,0.436,0.1000,kl_2_3v,"0.000, 0.000, 0.885",0.5,30.0,14,128
