_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.521588,2.276531,0.212,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.465",0.9,30.0,0,6
2,2.415338,2.221490,0.251,0.283,0.1000,kl_2_3v,"0.000, 0.000, 2.374",0.9,30.0,0,12
3,2.346922,2.025693,0.280,0.316,0.1000,kl_2_3v,"0.000, 0.000, 2.330",0.9,30.0,0,18
4,2.300458,2.000098,0.301,0.295,0.1000,kl_2_3v,"0.000, 0.000, 2.293",0.9,30.0,1,24
5,2.270140,2.291257,0.319,0.260,0.1000,kl_2_3v,"0.000, 0.000, 2.274",0.9,30.0,2,30
6,2.239580,2.056650,0.329,0.326,0.1000,kl_2_3v,"0.000, 0.000, 2.225",0.9,30.0,0,36
7,2.217996,1.969315,0.339,0.330,0.1000,kl_2_3v,"0.000, 0.000, 2.208",0.9,30.0,0,42
8,2.200516,1.858553,0.350,0.357,0.1000,kl_2_3v,"0.000, 0.000, 2.188",0.9,30.0,0,48
9,2.178088,1.901141,0.359,0.365,0.1000,kl_2_3v,"0.000, 0.000, 2.171",0.9,30.0,0,55
10,2.165616,1.902104,0.368,0.365,0.1000,kl_2_3v,"0.000, 0.000, 2.167",0.9,30.0,0,61
11,2.151135,1.873025,0.375,0.355,0.1000,kl_2_3v,"0.000, 0.000, 2.151",0.9,30.0,1,67
12,2.147939,1.799454,0.380,0.389,0.1000,kl_2_3v,"0.000, 0.000, 2.142",0.9,30.0,0,73
13,2.134676,1.787981,0.385,0.389,0.1000,kl_2_3v,"0.000, 0.000, 2.132",0.9,30.0,0,79
14,2.127563,1.850996,0.387,0.391,0.1000,kl_2_3v,"0.000, 0.000, 2.124",0.9,30.0,0,85
15,2.116174,1.791527,0.394,0.414,0.1000,kl_2_3v,"0.000, 0.000, 2.113",0.9,30.0,0,91
16,2.106712,1.704111,0.400,0.404,0.1000,kl_2_3v,"0.000, 0.000, 2.126",0.9,30.0,1,97
17,2.105319,1.718619,0.401,0.406,0.1000,kl_2_3v,"0.000, 0.000, 2.095",0.9,30.0,2,103
18,2.100857,1.724871,0.401,0.396,0.1000,kl_2_3v,"0.000, 0.000, 2.100",0.9,30.0,3,109
19,2.095980,1.777527,0.405,0.414,0.1000,kl_2_3v,"0.000, 0.000, 2.101",0.9,30.0,0,115
20,2.093408,1.686751,0.408,0.395,0.1000,kl_2_3v,"0.000, 0.000, 2.095",0.9,30.0,1,122
