_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.346879,2.704930,0.349,0.193,0.1000,kl_2_3v,"0.000, 0.000, 2.239",0.9,30.0,0,3
2,2.089799,2.768961,0.444,0.193,0.1000,kl_2_3v,"0.000, 0.000, 2.024",0.9,30.0,0,7
3,1.910045,2.546520,0.482,0.250,0.1000,kl_2_3v,"0.000, 0.000, 1.889",0.9,30.0,0,11
4,1.795430,3.216267,0.509,0.221,0.1000,kl_2_3v,"0.000, 0.000, 1.769",0.9,30.0,1,15
5,1.709134,2.856547,0.528,0.244,0.1000,kl_2_3v,"0.000, 0.000, 1.696",0.9,30.0,2,18
6,1.658726,2.256598,0.545,0.271,0.1000,kl_2_3v,"0.000, 0.000, 1.636",0.9,30.0,0,22
7,1.618057,2.385151,0.556,0.246,0.1000,kl_2_3v,"0.000, 0.000, 1.609",0.9,30.0,1,26
8,1.593366,2.333942,0.567,0.297,0.1000,kl_2_3v,"0.000, 0.000, 1.574",0.9,30.0,0,30
9,1.567737,2.591768,0.573,0.283,0.1000,kl_2_3v,"0.000, 0.000, 1.555",0.9,30.0,1,34
10,1.544320,2.319372,0.579,0.303,0.1000,kl_2_3v,"0.000, 0.000, 1.529",0.9,30.0,0,37
11,1.519003,2.338925,0.591,0.307,0.1000,kl_2_3v,"0.000, 0.000, 1.503",0.9,30.0,0,41
12,1.505588,2.355324,0.595,0.322,0.1000,kl_2_3v,"0.000, 0.000, 1.510",0.9,30.0,0,45
13,1.497520,2.130881,0.601,0.338,0.1000,kl_2_3v,"0.000, 0.000, 1.507",0.9,30.0,0,49
14,1.483529,2.258190,0.602,0.348,0.1000,kl_2_3v,"0.000, 0.000, 1.485",0.9,30.0,0,53
15,1.476224,2.462171,0.608,0.295,0.1000,kl_2_3v,"0.000, 0.000, 1.490",0.9,30.0,1,56
16,1.463610,2.190646,0.613,0.328,0.1000,kl_2_3v,"0.000, 0.000, 1.469",0.9,30.0,2,60
17,1.454632,2.249673,0.616,0.332,0.1000,kl_2_3v,"0.000, 0.000, 1.458",0.9,30.0,3,64
18,1.441758,2.385600,0.619,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.456",0.9,30.0,4,68
