_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,nan,nan,0.104,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
1,nan,nan,0.101,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
3,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,11
4,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,15
5,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,18
1,4.594356,2.329533,0.271,0.168,0.1000,kl_2_3v,"0.000, 0.000, 4.292",0.9,30.0,0,3
2,4.089564,2.339950,0.366,0.164,0.1000,kl_2_3v,"0.000, 0.000, 4.000",0.9,30.0,1,7
1,2.318956,2.435838,0.342,0.201,0.1000,kl_2_3v,"0.000, 0.000, 2.233",0.9,30.0,0,3
2,2.115965,2.521118,0.441,0.250,0.1000,kl_2_3v,"0.000, 0.000, 2.075",0.9,30.0,0,7
3,1.977478,2.482785,0.500,0.271,0.1000,kl_2_3v,"0.000, 0.000, 1.951",0.9,30.0,0,11
4,1.892037,2.171234,0.535,0.301,0.1000,kl_2_3v,"0.000, 0.000, 1.864",0.9,30.0,0,15
5,1.834934,2.159747,0.559,0.309,0.1000,kl_2_3v,"0.000, 0.000, 1.796",0.9,30.0,0,18
6,1.791850,2.235239,0.576,0.344,0.1000,kl_2_3v,"0.000, 0.000, 1.780",0.9,30.0,0,22
7,1.752280,1.987350,0.591,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.749",0.9,30.0,0,26
8,1.727088,2.075361,0.602,0.346,0.1000,kl_2_3v,"0.000, 0.000, 1.731",0.9,30.0,1,30
9,1.701347,2.158512,0.612,0.361,0.1000,kl_2_3v,"0.000, 0.000, 1.696",0.9,30.0,0,34
10,1.679204,2.187316,0.620,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.668",0.9,30.0,0,37
11,1.657229,2.024910,0.629,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,0,41
12,1.644646,2.018757,0.632,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.646",0.9,30.0,0,45
13,1.631223,1.886102,0.640,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,1,49
14,1.618163,1.915574,0.647,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.624",0.9,30.0,2,52
15,1.609624,1.940370,0.648,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,3,56
16,1.597774,1.873213,0.650,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,0,60
17,1.586034,1.833373,0.656,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,0,64
18,1.583283,2.193175,0.654,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.586",0.9,30.0,1,68
19,1.574141,1.813308,0.660,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.577",0.9,30.0,0,71
20,1.567743,2.103887,0.665,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.576",0.9,30.0,1,75
21,1.559602,1.894742,0.665,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.555",0.9,30.0,2,79
22,1.558758,1.861216,0.666,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.570",0.9,30.0,3,83
23,1.548663,1.899597,0.670,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.556",0.9,30.0,4,86
24,1.539323,1.880123,0.670,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.548",0.9,30.0,5,90
25,1.538773,1.948619,0.673,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.548",0.9,30.0,6,94
26,1.535248,1.992818,0.673,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.535",0.9,30.0,7,98
27,1.528734,1.867681,0.678,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.542",0.9,30.0,0,102
28,1.524271,1.992128,0.679,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.527",0.9,30.0,1,105
29,1.518864,1.975438,0.682,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.534",0.9,30.0,0,109
30,1.522507,1.918389,0.679,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.532",0.9,30.0,1,113
31,1.513896,1.916614,0.680,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.522",0.9,30.0,2,117
32,1.509891,1.870042,0.683,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.503",0.9,30.0,3,120
33,1.510149,1.895838,0.684,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.520",0.9,30.0,4,124
34,1.501259,1.868269,0.688,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.498",0.9,30.0,5,128
35,1.499139,1.883718,0.687,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.511",0.9,30.0,6,132
36,1.498365,2.199764,0.686,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.513",0.9,30.0,7,136
37,1.498021,1.962414,0.689,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.505",0.9,30.0,8,139
38,1.495675,2.021643,0.691,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.501",0.9,30.0,9,143
39,1.494236,2.010534,0.689,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.487",0.9,30.0,10,147
40,1.489503,1.870261,0.689,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.495",0.9,30.0,11,151
41,1.485016,1.850593,0.694,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.491",0.9,30.0,12,154
42,1.483501,1.901005,0.693,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.483",0.9,30.0,13,158
43,1.478578,1.870224,0.695,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.479",0.9,30.0,14,162
44,1.481200,1.864809,0.696,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.499",0.9,30.0,15,166
45,1.478253,1.760834,0.696,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.480",0.9,30.0,16,170
46,1.477089,1.882017,0.696,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.493",0.9,30.0,17,173
47,1.471687,1.849623,0.698,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.475",0.9,30.0,18,177
48,1.473138,1.997528,0.698,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.470",0.9,30.0,19,181
49,1.471607,1.812127,0.700,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.494",0.9,30.0,0,185
50,1.463687,2.007449,0.699,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.478",0.9,30.0,1,189
51,1.471627,1.907411,0.699,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.487",0.9,30.0,2,192
52,1.467038,1.873496,0.700,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.481",0.9,30.0,3,196
53,1.460567,2.063484,0.701,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.468",0.9,30.0,4,200
54,1.461971,1.852735,0.702,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.480",0.9,30.0,5,204
55,1.460239,1.895362,0.705,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.458",0.9,30.0,6,207
56,1.459833,1.835357,0.705,0.482,0.1000,kl_2_3v,"0.000, 0.000, 1.476",0.9,30.0,0,211
57,1.459860,1.813132,0.701,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.480",0.9,30.0,1,215
58,1.458663,2.021353,0.701,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.470",0.9,30.0,2,219
59,1.456494,1.845473,0.704,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.460",0.9,30.0,3,223
60,1.456942,1.908079,0.703,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.464",0.9,30.0,4,226
61,1.447143,1.872679,0.706,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.464",0.9,30.0,5,230
62,1.447982,1.842990,0.706,0.488,0.1000,kl_2_3v,"0.000, 0.000, 1.469",0.9,30.0,0,234
63,1.454336,1.960870,0.704,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.464",0.9,30.0,1,238
64,1.447740,1.837283,0.707,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.440",0.9,30.0,2,241
65,1.446168,1.964019,0.707,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.450",0.9,30.0,3,245
66,1.452381,1.943995,0.706,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.468",0.9,30.0,4,249
67,1.443109,1.854259,0.710,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.444",0.9,30.0,5,253
68,1.446748,1.867976,0.705,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.460",0.9,30.0,6,257
69,1.445844,1.833675,0.708,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.460",0.9,30.0,7,260
70,1.443103,1.919989,0.709,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.450",0.9,30.0,8,264
71,1.442999,1.717661,0.706,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.454",0.9,30.0,9,268
72,1.446373,1.838413,0.706,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.457",0.9,30.0,10,272
73,1.440827,1.795272,0.707,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.448",0.9,30.0,11,276
74,1.443348,1.836012,0.708,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.454",0.9,30.0,12,279
75,1.439703,1.812862,0.709,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.445",0.9,30.0,13,283
76,1.311226,1.673184,0.749,0.516,0.0100,kl_2_3v,"0.000, 0.000, 1.288",0.9,30.0,0,287
77,1.277716,1.718173,0.754,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.283",0.9,30.0,0,291
78,1.256243,1.694777,0.764,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.249",0.9,30.0,0,294
79,1.251245,1.698449,0.766,0.535,0.0100,kl_2_3v,"0.000, 0.000, 1.249",0.9,30.0,0,298
80,1.239938,1.704151,0.770,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.230",0.9,30.0,1,302
81,1.233744,1.702557,0.770,0.535,0.0100,kl_2_3v,"0.000, 0.000, 1.232",0.9,30.0,0,306
82,1.224247,1.738435,0.775,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.221",0.9,30.0,1,310
83,1.216990,1.771941,0.778,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.229",0.9,30.0,2,313
84,1.212766,1.846708,0.780,0.504,0.0100,kl_2_3v,"0.000, 0.000, 1.209",0.9,30.0,3,317
85,1.207037,1.800072,0.783,0.518,0.0100,kl_2_3v,"0.000, 0.000, 1.198",0.9,30.0,4,321
86,1.201912,1.773879,0.781,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.198",0.9,30.0,5,325
87,1.198308,1.810207,0.785,0.512,0.0100,kl_2_3v,"0.000, 0.000, 1.190",0.9,30.0,6,328
88,1.194747,1.727234,0.787,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.194",0.9,30.0,7,332
89,1.185410,1.827206,0.790,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.182",0.9,30.0,8,336
90,1.180636,1.906136,0.791,0.514,0.0100,kl_2_3v,"0.000, 0.000, 1.188",0.9,30.0,9,340
91,1.154257,1.770224,0.797,0.531,0.0010,kl_2_3v,"0.000, 0.000, 1.145",0.9,30.0,10,344
92,1.148985,1.820523,0.800,0.541,0.0010,kl_2_3v,"0.000, 0.000, 1.145",0.9,30.0,0,347
93,1.143070,1.853107,0.800,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.147",0.9,30.0,1,351
94,1.137295,1.786627,0.803,0.531,0.0010,kl_2_3v,"0.000, 0.000, 1.138",0.9,30.0,2,355
95,1.139701,1.847898,0.801,0.520,0.0010,kl_2_3v,"0.000, 0.000, 1.130",0.9,30.0,3,359
96,1.137067,1.857686,0.802,0.518,0.0010,kl_2_3v,"0.000, 0.000, 1.134",0.9,30.0,4,363
97,1.135867,1.877523,0.803,0.518,0.0010,kl_2_3v,"0.000, 0.000, 1.134",0.9,30.0,5,366
98,1.134833,1.840462,0.803,0.521,0.0010,kl_2_3v,"0.000, 0.000, 1.124",0.9,30.0,6,370
99,1.134576,1.817417,0.804,0.535,0.0010,kl_2_3v,"0.000, 0.000, 1.147",0.9,30.0,7,374
100,1.134618,1.861446,0.803,0.520,0.0010,kl_2_3v,"0.000, 0.000, 1.146",0.9,30.0,8,378
101,1.129862,1.837789,0.804,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.129",0.9,30.0,9,381
102,1.130101,1.802687,0.804,0.518,0.0001,kl_2_3v,"0.000, 0.000, 1.132",0.9,30.0,10,385
103,1.128332,1.800924,0.807,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.125",0.9,30.0,11,389
104,1.130692,1.870779,0.804,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.137",0.9,30.0,12,393
105,1.126121,1.854170,0.807,0.523,0.0001,kl_2_3v,"0.000, 0.000, 1.119",0.9,30.0,13,397
106,1.128886,1.828577,0.805,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.136",0.9,30.0,14,400
107,1.123917,1.786366,0.806,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.122",0.9,30.0,15,404
108,1.124216,1.876763,0.805,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.120",0.9,30.0,16,408
109,1.125625,1.793262,0.807,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.117",0.9,30.0,17,412
110,1.122727,1.851823,0.808,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.118",0.9,30.0,18,416
111,1.124142,1.854818,0.807,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.136",0.9,30.0,19,419
112,1.127462,1.834516,0.804,0.529,0.0001,kl_2_3v,"0.000, 0.000, 1.131",0.9,30.0,20,423
113,1.126415,1.811090,0.808,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.116",0.9,30.0,21,427
114,1.127901,1.862442,0.803,0.516,0.0001,kl_2_3v,"0.000, 0.000, 1.123",0.9,30.0,22,431
115,1.124825,1.840440,0.808,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.129",0.9,30.0,23,434
116,1.124620,1.915467,0.808,0.520,0.0001,kl_2_3v,"0.000, 0.000, 1.130",0.9,30.0,24,438
117,1.122324,1.854241,0.807,0.520,0.0001,kl_2_3v,"0.000, 0.000, 1.129",0.9,30.0,25,442
118,1.122156,1.854455,0.808,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.112",0.9,30.0,26,446
119,1.122007,1.877444,0.807,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.123",0.9,30.0,27,450
120,1.119537,1.926939,0.810,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.116",0.9,30.0,28,453
121,1.125976,1.870701,0.807,0.520,0.0001,kl_2_3v,"0.000, 0.000, 1.127",0.9,30.0,29,457
122,1.123273,1.846235,0.807,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.122",0.9,30.0,30,461
123,1.127289,1.777475,0.805,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.124",0.9,30.0,31,465
