_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.336122,2.828340,0.343,0.227,0.1000,kl_2_3v,"0.000, 0.000, 2.227",0.9,30.0,0,3
2,2.122610,2.955225,0.443,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.070",0.9,30.0,0,7
3,1.999523,2.505768,0.502,0.305,0.1000,kl_2_3v,"0.000, 0.000, 1.957",0.9,30.0,0,11
4,1.926204,2.342746,0.530,0.332,0.1000,kl_2_3v,"0.000, 0.000, 1.909",0.9,30.0,0,15
5,1.867119,2.285547,0.555,0.297,0.1000,kl_2_3v,"0.000, 0.000, 1.850",0.9,30.0,1,18
6,1.818978,2.328248,0.579,0.338,0.1000,kl_2_3v,"0.000, 0.000, 1.810",0.9,30.0,0,22
7,1.789362,2.340877,0.590,0.357,0.1000,kl_2_3v,"0.000, 0.000, 1.768",0.9,30.0,0,26
8,1.757740,2.121834,0.599,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.745",0.9,30.0,0,30
9,1.736712,2.191469,0.610,0.385,0.1000,kl_2_3v,"0.000, 0.000, 1.722",0.9,30.0,0,34
10,1.717427,2.326606,0.619,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.716",0.9,30.0,1,37
11,1.705834,2.062218,0.624,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.705",0.9,30.0,0,41
12,1.688609,2.146763,0.631,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.695",0.9,30.0,1,45
13,1.674042,2.083003,0.634,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.686",0.9,30.0,0,49
14,1.660490,2.086070,0.642,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.672",0.9,30.0,0,52
15,1.649962,2.120719,0.645,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.644",0.9,30.0,0,56
16,1.645120,2.170430,0.647,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.641",0.9,30.0,1,60
17,1.632393,2.152986,0.650,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,2,64
18,1.626830,2.098267,0.655,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,0,68
19,1.620818,2.093631,0.654,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.621",0.9,30.0,0,71
20,1.613879,2.092179,0.658,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.615",0.9,30.0,1,75
21,1.611168,2.023269,0.661,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,2,79
22,1.604132,2.004038,0.663,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,3,83
23,1.596865,2.128692,0.665,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,4,86
24,1.590036,2.158357,0.666,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.609",0.9,30.0,0,90
25,1.586886,2.000224,0.671,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,0,94
