_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.358339,2.744850,0.338,0.230,0.1000,kl_2_3v,"0.000, 0.000, 2.265",0.9,30.0,0,3
2,2.164956,2.810076,0.430,0.254,0.1000,kl_2_3v,"0.000, 0.000, 2.116",0.9,30.0,0,7
3,2.047849,2.480471,0.485,0.266,0.1000,kl_2_3v,"0.000, 0.000, 2.024",0.9,30.0,0,11
4,1.973425,2.362451,0.520,0.301,0.1000,kl_2_3v,"0.000, 0.000, 1.959",0.9,30.0,0,15
5,1.921682,2.452606,0.544,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.913",0.9,30.0,0,19
6,1.880618,2.207244,0.568,0.369,0.1000,kl_2_3v,"0.000, 0.000, 1.877",0.9,30.0,0,23
7,1.850449,2.119520,0.576,0.344,0.1000,kl_2_3v,"0.000, 0.000, 1.850",0.9,30.0,1,26
8,1.820722,2.263023,0.587,0.355,0.1000,kl_2_3v,"0.000, 0.000, 1.819",0.9,30.0,2,30
9,1.802827,2.204749,0.595,0.377,0.1000,kl_2_3v,"0.000, 0.000, 1.788",0.9,30.0,0,34
10,1.785432,2.087869,0.606,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.783",0.9,30.0,0,38
11,1.767633,2.240768,0.610,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.771",0.9,30.0,1,42
12,1.754720,2.121656,0.615,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.757",0.9,30.0,0,46
13,1.742147,1.951463,0.623,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.732",0.9,30.0,0,49
14,1.724919,1.950303,0.629,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.725",0.9,30.0,0,53
15,1.717995,1.981613,0.630,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.716",0.9,30.0,1,57
16,1.714315,2.054815,0.634,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.700",0.9,30.0,0,61
17,1.709544,2.131753,0.636,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.704",0.9,30.0,0,65
18,1.696468,2.079378,0.642,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.695",0.9,30.0,1,69
19,1.693923,2.059400,0.642,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.709",0.9,30.0,2,73
20,1.683333,1.956990,0.646,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.679",0.9,30.0,3,76
21,1.676429,1.985139,0.650,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.686",0.9,30.0,0,80
22,1.674821,1.937453,0.654,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.675",0.9,30.0,0,84
23,1.670039,2.090982,0.650,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.677",0.9,30.0,1,88
24,1.660008,1.885202,0.655,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,0,92
25,1.655269,2.004674,0.659,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.667",0.9,30.0,1,96
26,1.655955,1.858573,0.656,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,2,99
27,1.651971,1.965256,0.658,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.657",0.9,30.0,3,103
28,1.641192,1.973294,0.663,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,4,107
