_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
3,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,11
4,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,14
5,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,18
6,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,22
7,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,26
8,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,29
9,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,33
10,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,37
11,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,41
12,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,44
13,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,48
14,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,52
15,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,56
16,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,59
17,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,63
18,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,67
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
3,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,11
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
3,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,11
1,2.376435,2.455954,0.330,0.213,0.1000,kl_2_3v,"0.000, 0.000, 2.289",0.9,30.0,0,3
2,2.185625,2.323886,0.428,0.279,0.1000,kl_2_3v,"0.000, 0.000, 2.134",0.9,30.0,0,7
3,2.079946,2.273092,0.483,0.273,0.1000,kl_2_3v,"0.000, 0.000, 2.062",0.9,30.0,1,11
4,2.016251,2.232980,0.514,0.314,0.1000,kl_2_3v,"0.000, 0.000, 2.006",0.9,30.0,0,15
5,1.967936,2.226493,0.539,0.328,0.1000,kl_2_3v,"0.000, 0.000, 1.955",0.9,30.0,0,18
6,1.924104,2.158664,0.559,0.330,0.1000,kl_2_3v,"0.000, 0.000, 1.923",0.9,30.0,0,22
7,1.898551,1.988551,0.572,0.352,0.1000,kl_2_3v,"0.000, 0.000, 1.880",0.9,30.0,0,26
8,1.870015,1.930667,0.588,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.865",0.9,30.0,0,30
9,1.851497,2.090748,0.596,0.369,0.1000,kl_2_3v,"0.000, 0.000, 1.851",0.9,30.0,1,34
10,1.833838,2.054393,0.603,0.357,0.1000,kl_2_3v,"0.000, 0.000, 1.835",0.9,30.0,2,37
11,1.818046,2.000111,0.611,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.824",0.9,30.0,0,41
12,1.808271,1.880616,0.616,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.815",0.9,30.0,0,45
13,1.794267,1.827083,0.621,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.794",0.9,30.0,0,49
14,1.777737,1.922989,0.630,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.796",0.9,30.0,1,53
15,1.776332,1.829110,0.632,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.781",0.9,30.0,2,56
16,1.692718,1.926929,0.637,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.695",0.9,30.0,0,60
17,1.681584,1.965259,0.644,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.673",0.9,30.0,1,64
18,1.668943,2.034023,0.649,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.669",0.9,30.0,0,68
19,1.661760,1.982378,0.651,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.667",0.9,30.0,1,71
20,1.652696,1.943890,0.651,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.653",0.9,30.0,0,75
21,1.644814,1.856522,0.656,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.641",0.9,30.0,1,79
22,1.641409,1.865761,0.659,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,2,83
23,1.636338,2.046913,0.662,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.641",0.9,30.0,0,87
