_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.357396,3.611414,0.335,0.191,0.1000,kl_2_3v,"0.000, 0.000, 2.261",0.9,30.0,0,3
2,2.166313,2.506801,0.431,0.230,0.1000,kl_2_3v,"0.000, 0.000, 2.124",0.9,30.0,0,7
3,2.049269,2.370824,0.489,0.258,0.1000,kl_2_3v,"0.000, 0.000, 2.002",0.9,30.0,0,11
4,1.973978,2.401798,0.521,0.311,0.1000,kl_2_3v,"0.000, 0.000, 1.958",0.9,30.0,0,15
5,1.919076,2.330555,0.546,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,0,18
6,1.885993,2.431827,0.561,0.334,0.1000,kl_2_3v,"0.000, 0.000, 1.874",0.9,30.0,0,22
7,1.844371,2.282406,0.578,0.355,0.1000,kl_2_3v,"0.000, 0.000, 1.832",0.9,30.0,0,26
8,1.821983,2.354463,0.589,0.336,0.1000,kl_2_3v,"0.000, 0.000, 1.833",0.9,30.0,1,30
9,1.798790,2.097812,0.597,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.797",0.9,30.0,0,34
10,1.782029,2.103983,0.605,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.789",0.9,30.0,0,37
11,1.766390,2.056642,0.613,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.775",0.9,30.0,1,41
12,1.754564,2.049772,0.618,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.757",0.9,30.0,2,45
13,1.732697,2.141915,0.627,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.731",0.9,30.0,3,49
14,1.724606,2.060402,0.624,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.729",0.9,30.0,0,53
15,1.715978,2.028833,0.635,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.716",0.9,30.0,1,56
16,1.709928,2.171409,0.637,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.713",0.9,30.0,2,60
17,1.696464,2.100295,0.641,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.711",0.9,30.0,3,64
18,1.695352,1.908671,0.642,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.690",0.9,30.0,4,68
19,1.688355,1.978427,0.645,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,30.0,0,71
20,1.684721,1.991550,0.645,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.689",0.9,30.0,1,75
21,1.682193,2.130068,0.646,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.673",0.9,30.0,2,79
22,1.675874,2.137347,0.650,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.675",0.9,30.0,3,83
23,1.674581,1.984677,0.649,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.676",0.9,30.0,0,87
24,1.662576,2.033005,0.656,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.665",0.9,30.0,1,90
25,1.658441,1.938859,0.657,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,0,94
26,1.655713,2.100614,0.661,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,1,98
27,1.653340,1.959454,0.658,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.644",0.9,30.0,2,102
28,1.650602,1.977122,0.661,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,0,106
29,1.645905,2.219750,0.664,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.662",0.9,30.0,1,109
30,1.635271,2.025388,0.666,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,2,113
31,1.642662,1.948395,0.664,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.657",0.9,30.0,3,117
32,1.630607,1.812306,0.668,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,4,121
33,1.632410,1.891007,0.666,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.636",0.9,30.0,0,125
34,1.624785,1.866868,0.667,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.638",0.9,30.0,1,128
35,1.625294,1.954525,0.672,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.648",0.9,30.0,2,132
36,1.620034,1.964482,0.671,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,3,136
37,1.622410,1.956468,0.673,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.622",0.9,30.0,4,140
38,1.614657,1.862372,0.674,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,0,144
39,1.611380,1.943637,0.675,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.622",0.9,30.0,1,147
40,1.610244,1.904470,0.678,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.611",0.9,30.0,2,151
41,1.605121,2.011159,0.674,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,3,155
42,1.608886,1.837436,0.678,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.615",0.9,30.0,4,159
43,1.605240,2.016998,0.681,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.603",0.9,30.0,5,162
44,1.602195,1.986428,0.679,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,6,166
45,1.599904,1.952226,0.681,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,7,170
46,1.602935,1.917599,0.676,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,8,174
47,1.601966,1.927182,0.680,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,9,178
48,1.596047,1.957912,0.685,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,10,181
49,1.593674,2.124277,0.680,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,11,185
50,1.594729,2.122159,0.682,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.598",0.9,30.0,12,189
51,1.589647,1.968007,0.684,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.611",0.9,30.0,13,193
52,1.596360,1.811253,0.684,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.598",0.9,30.0,14,197
53,1.592761,1.956864,0.683,0.498,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,0,200
54,1.587211,2.042768,0.686,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.603",0.9,30.0,1,204
55,1.587492,1.894809,0.686,0.488,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,2,208
56,1.583468,1.955331,0.686,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,3,212
57,1.587157,1.936978,0.682,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.599",0.9,30.0,4,216
58,1.582603,1.939589,0.685,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,5,219
59,1.582013,1.954423,0.686,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.603",0.9,30.0,6,223
60,1.584601,1.887776,0.688,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,7,227
61,1.578433,2.064892,0.688,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,8,231
62,1.582517,1.948599,0.689,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.581",0.9,30.0,9,234
63,1.578877,1.842488,0.689,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,10,238
64,1.577156,1.899788,0.687,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.594",0.9,30.0,11,242
65,1.577181,1.885060,0.689,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,12,246
66,1.581856,1.872423,0.688,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,13,250
67,1.573266,1.832752,0.689,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.594",0.9,30.0,14,253
68,1.576194,1.883348,0.688,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.598",0.9,30.0,15,257
69,1.573098,1.966899,0.687,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,16,261
70,1.578333,1.900008,0.691,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.590",0.9,30.0,17,265
71,1.574089,1.891879,0.689,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.576",0.9,30.0,18,269
72,1.570474,1.813504,0.692,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,19,272
73,1.570352,1.861312,0.692,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.559",0.9,30.0,20,276
74,1.566566,1.832359,0.692,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.567",0.9,30.0,21,280
75,1.570281,1.933522,0.692,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,22,284
76,1.449224,1.744946,0.727,0.527,0.0100,kl_2_3v,"0.000, 0.000, 1.428",0.9,30.0,0,288
77,1.413345,1.676478,0.739,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.420",0.9,30.0,0,291
78,1.399061,1.750607,0.744,0.514,0.0100,kl_2_3v,"0.000, 0.000, 1.403",0.9,30.0,1,295
79,1.393235,1.734849,0.747,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.391",0.9,30.0,2,299
80,1.379762,1.770929,0.750,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.385",0.9,30.0,3,303
81,1.375199,1.741458,0.752,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.386",0.9,30.0,0,306
82,1.367781,1.738636,0.753,0.537,0.0100,kl_2_3v,"0.000, 0.000, 1.380",0.9,30.0,0,310
83,1.354091,1.719723,0.758,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.371",0.9,30.0,1,314
84,1.359785,1.763560,0.757,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.362",0.9,30.0,2,318
85,1.350427,1.742827,0.760,0.512,0.0100,kl_2_3v,"0.000, 0.000, 1.353",0.9,30.0,3,322
86,1.344963,1.760889,0.761,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.339",0.9,30.0,4,325
87,1.346736,1.786999,0.761,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.347",0.9,30.0,5,329
88,1.339412,1.741313,0.764,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.352",0.9,30.0,6,333
89,1.333126,1.720653,0.767,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.332",0.9,30.0,7,337
90,1.332761,1.757445,0.766,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.333",0.9,30.0,8,341
91,1.308267,1.711290,0.773,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.319",0.9,30.0,9,344
92,1.299978,1.731609,0.776,0.535,0.0010,kl_2_3v,"0.000, 0.000, 1.311",0.9,30.0,10,348
93,1.294355,1.780951,0.778,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.292",0.9,30.0,11,352
94,1.297178,1.773228,0.772,0.521,0.0010,kl_2_3v,"0.000, 0.000, 1.311",0.9,30.0,12,356
95,1.293070,1.758833,0.777,0.541,0.0010,kl_2_3v,"0.000, 0.000, 1.298",0.9,30.0,0,360
96,1.294854,1.798196,0.775,0.533,0.0010,kl_2_3v,"0.000, 0.000, 1.296",0.9,30.0,1,363
97,1.288901,1.784343,0.778,0.512,0.0010,kl_2_3v,"0.000, 0.000, 1.289",0.9,30.0,2,367
98,1.290900,1.745368,0.778,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.302",0.9,30.0,3,371
99,1.287865,1.754431,0.778,0.525,0.0010,kl_2_3v,"0.000, 0.000, 1.284",0.9,30.0,4,375
100,1.284540,1.769888,0.779,0.537,0.0010,kl_2_3v,"0.000, 0.000, 1.285",0.9,30.0,5,379
101,1.283846,1.817667,0.778,0.543,0.0001,kl_2_3v,"0.000, 0.000, 1.289",0.9,30.0,0,382
102,1.279098,1.727840,0.781,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.282",0.9,30.0,1,386
103,1.279231,1.822604,0.781,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.280",0.9,30.0,2,390
104,1.276203,1.860899,0.782,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.282",0.9,30.0,3,394
105,1.285000,1.814271,0.781,0.549,0.0001,kl_2_3v,"0.000, 0.000, 1.285",0.9,30.0,0,397
106,1.278796,1.825163,0.782,0.518,0.0001,kl_2_3v,"0.000, 0.000, 1.284",0.9,30.0,1,401
107,1.280977,1.804620,0.781,0.512,0.0001,kl_2_3v,"0.000, 0.000, 1.290",0.9,30.0,2,405
108,1.272264,1.843463,0.783,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.251",0.9,30.0,3,409
109,1.276142,1.848176,0.782,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.294",0.9,30.0,4,413
110,1.282126,1.744393,0.779,0.555,0.0001,kl_2_3v,"0.000, 0.000, 1.303",0.9,30.0,0,416
111,1.273715,1.770219,0.784,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.261",0.9,30.0,1,420
112,1.276179,1.796437,0.779,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,2,424
113,1.277938,1.815320,0.780,0.514,0.0001,kl_2_3v,"0.000, 0.000, 1.280",0.9,30.0,3,428
114,1.274353,1.750387,0.781,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.276",0.9,30.0,4,432
115,1.277048,1.767542,0.780,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.269",0.9,30.0,5,435
116,1.278781,1.743180,0.780,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.279",0.9,30.0,6,439
117,1.275451,1.764553,0.782,0.543,0.0001,kl_2_3v,"0.000, 0.000, 1.279",0.9,30.0,7,443
118,1.276528,1.799405,0.780,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.270",0.9,30.0,8,447
119,1.276511,1.810953,0.781,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.273",0.9,30.0,9,450
120,1.273726,1.823161,0.782,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.270",0.9,30.0,10,454
121,1.275882,1.789417,0.781,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.277",0.9,30.0,11,458
122,1.279963,1.828557,0.781,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.276",0.9,30.0,12,462
123,1.273579,1.815324,0.781,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.275",0.9,30.0,13,466
124,1.278264,1.864653,0.783,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.276",0.9,30.0,14,469
125,1.281660,1.747140,0.782,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.293",0.9,30.0,15,473
126,1.273214,1.800386,0.781,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.268",0.9,30.0,16,477
127,1.279843,1.812738,0.779,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,17,481
128,1.278396,1.826000,0.783,0.549,0.0001,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,18,485
129,1.270685,1.760686,0.784,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.268",0.9,30.0,19,488
130,1.279446,1.840879,0.781,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.285",0.9,30.0,20,492
131,1.272192,1.799822,0.784,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.265",0.9,30.0,21,496
132,1.271359,1.840363,0.784,0.508,0.0001,kl_2_3v,"0.000, 0.000, 1.260",0.9,30.0,22,500
133,1.274910,1.832732,0.785,0.529,0.0001,kl_2_3v,"0.000, 0.000, 1.276",0.9,30.0,23,504
134,1.278640,1.784668,0.781,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,24,507
135,1.275113,1.841612,0.782,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.277",0.9,30.0,25,511
136,1.276112,1.830141,0.781,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.277",0.9,30.0,26,515
