_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.328909,2.932093,0.340,0.197,0.1000,kl_2_3v,"0.000, 0.000, 2.204",0.9,30.0,0,4
2,2.097883,2.911529,0.448,0.244,0.1000,kl_2_3v,"0.000, 0.000, 2.048",0.9,30.0,0,8
3,1.964805,2.609186,0.502,0.283,0.1000,kl_2_3v,"0.000, 0.000, 1.939",0.9,30.0,0,12
4,1.883775,2.552965,0.538,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.868",0.9,30.0,0,16
5,1.823331,2.500560,0.563,0.330,0.1000,kl_2_3v,"0.000, 0.000, 1.809",0.9,30.0,0,20
6,1.769872,2.257236,0.581,0.354,0.1000,kl_2_3v,"0.000, 0.000, 1.765",0.9,30.0,0,24
7,1.732853,2.250353,0.595,0.361,0.1000,kl_2_3v,"0.000, 0.000, 1.710",0.9,30.0,0,29
8,1.706875,2.368215,0.603,0.361,0.1000,kl_2_3v,"0.000, 0.000, 1.694",0.9,30.0,0,33
9,1.682779,2.275750,0.611,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.676",0.9,30.0,0,37
10,1.656395,2.308637,0.621,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.655",0.9,30.0,0,41
11,1.639350,2.251837,0.625,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,1,45
12,1.626954,2.054006,0.632,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.628",0.9,30.0,0,49
13,1.607757,2.143456,0.637,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.620",0.9,30.0,1,54
14,1.592988,2.160236,0.647,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.581",0.9,30.0,2,58
15,1.584985,2.218129,0.646,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.594",0.9,30.0,3,62
16,1.572539,2.080435,0.645,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,4,66
17,1.566371,2.056120,0.653,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.561",0.9,30.0,5,70
18,1.554996,2.046370,0.655,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.559",0.9,30.0,0,74
19,1.547151,2.195389,0.657,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.546",0.9,30.0,1,79
20,1.538000,2.189036,0.663,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.536",0.9,30.0,2,83
21,1.538947,2.102422,0.661,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.547",0.9,30.0,3,87
22,1.532367,2.230661,0.665,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.542",0.9,30.0,4,91
23,1.523131,2.256186,0.670,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.546",0.9,30.0,0,95
24,1.514305,2.171683,0.668,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.525",0.9,30.0,1,99
25,1.513597,2.247590,0.670,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.534",0.9,30.0,0,104
26,1.510896,2.320227,0.670,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.507",0.9,30.0,0,108
27,1.504274,2.146089,0.676,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.514",0.9,30.0,0,112
28,1.502936,2.271144,0.676,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.500",0.9,30.0,1,116
29,1.496701,2.136319,0.679,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.495",0.9,30.0,0,120
30,1.494449,1.936470,0.678,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.508",0.9,30.0,0,124
31,1.492585,2.131357,0.676,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.503",0.9,30.0,1,129
32,1.484691,2.100528,0.681,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.503",0.9,30.0,2,133
33,1.481519,1.996575,0.685,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.486",0.9,30.0,3,137
34,1.483632,2.077621,0.680,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.495",0.9,30.0,4,141
35,1.480128,2.081058,0.683,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.479",0.9,30.0,5,145
36,1.474234,2.175185,0.684,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.480",0.9,30.0,6,149
37,1.472683,1.994464,0.684,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.483",0.9,30.0,7,154
38,1.467602,2.042420,0.689,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.470",0.9,30.0,8,158
39,1.466915,2.081393,0.687,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.474",0.9,30.0,9,162
40,1.460644,2.163736,0.690,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.455",0.9,30.0,10,166
41,1.461845,2.075567,0.689,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.479",0.9,30.0,11,170
42,1.461921,2.155176,0.688,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.471",0.9,30.0,12,174
43,1.456265,2.136518,0.689,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.461",0.9,30.0,13,179
44,1.454916,2.237811,0.690,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.456",0.9,30.0,14,183
45,1.455050,2.092153,0.691,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.464",0.9,30.0,15,187
46,1.450265,2.130685,0.692,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.455",0.9,30.0,16,191
47,1.451011,2.164467,0.695,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.470",0.9,30.0,17,195
48,1.445027,2.113497,0.694,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.449",0.9,30.0,18,199
49,1.447991,1.893034,0.698,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.456",0.9,30.0,19,203
50,1.443249,2.126548,0.698,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.457",0.9,30.0,20,208
51,1.443076,2.167168,0.697,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.453",0.9,30.0,21,212
52,1.447436,1.946209,0.696,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.470",0.9,30.0,22,216
53,1.439822,2.054330,0.699,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.456",0.9,30.0,23,220
54,1.439762,2.162883,0.699,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.456",0.9,30.0,24,224
55,1.429590,2.236683,0.699,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.435",0.9,30.0,25,228
56,1.440287,2.077345,0.701,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.447",0.9,30.0,26,232
57,1.436645,2.057038,0.699,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.436",0.9,30.0,27,237
58,1.432249,2.088615,0.699,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.447",0.9,30.0,28,241
59,1.434871,1.974819,0.699,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.448",0.9,30.0,29,245
60,1.432642,1.902723,0.699,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.443",0.9,30.0,0,249
61,1.430055,2.053663,0.702,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.439",0.9,30.0,1,253
62,1.429660,2.181972,0.702,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.454",0.9,30.0,2,257
63,1.424387,2.073216,0.702,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.443",0.9,30.0,3,262
64,1.433074,2.004625,0.700,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.447",0.9,30.0,4,266
65,1.425865,2.092998,0.703,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.433",0.9,30.0,5,270
66,1.420042,1.995661,0.702,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.426",0.9,30.0,6,274
67,1.425494,1.996201,0.703,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.434",0.9,30.0,7,278
68,1.418202,2.075426,0.706,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.420",0.9,30.0,8,282
69,1.422203,2.299534,0.704,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.448",0.9,30.0,9,286
70,1.417467,2.057838,0.706,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.435",0.9,30.0,10,291
71,1.416379,2.094774,0.707,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.432",0.9,30.0,11,295
72,1.415807,2.047244,0.705,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.410",0.9,30.0,12,299
73,1.419665,2.039043,0.706,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.430",0.9,30.0,13,303
74,1.414592,1.943844,0.705,0.486,0.1000,kl_2_3v,"0.000, 0.000, 1.423",0.9,30.0,0,307
75,1.418123,2.075290,0.705,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.427",0.9,30.0,1,311
76,1.290450,1.861946,0.741,0.508,0.0100,kl_2_3v,"0.000, 0.000, 1.265",0.9,30.0,0,315
77,1.243313,1.865047,0.755,0.514,0.0100,kl_2_3v,"0.000, 0.000, 1.238",0.9,30.0,0,320
78,1.226660,1.862644,0.763,0.512,0.0100,kl_2_3v,"0.000, 0.000, 1.219",0.9,30.0,1,324
79,1.216413,1.939279,0.764,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.210",0.9,30.0,0,328
80,1.206977,1.924249,0.767,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.207",0.9,30.0,0,332
81,1.198263,1.877105,0.769,0.518,0.0100,kl_2_3v,"0.000, 0.000, 1.204",0.9,30.0,1,336
82,1.190637,1.958586,0.773,0.516,0.0100,kl_2_3v,"0.000, 0.000, 1.187",0.9,30.0,2,340
83,1.186377,1.934460,0.772,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.187",0.9,30.0,3,345
84,1.180266,2.040737,0.779,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.178",0.9,30.0,4,349
85,1.177884,1.961031,0.777,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.185",0.9,30.0,0,353
86,1.170475,1.926242,0.777,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.169",0.9,30.0,1,357
87,1.163561,1.955646,0.781,0.506,0.0100,kl_2_3v,"0.000, 0.000, 1.170",0.9,30.0,2,361
88,1.160729,1.972617,0.782,0.518,0.0100,kl_2_3v,"0.000, 0.000, 1.162",0.9,30.0,3,365
89,1.159635,1.886927,0.782,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.163",0.9,30.0,0,369
90,1.149851,1.934880,0.787,0.521,0.0100,kl_2_3v,"0.000, 0.000, 1.157",0.9,30.0,1,374
91,1.126604,1.990490,0.791,0.516,0.0010,kl_2_3v,"0.000, 0.000, 1.120",0.9,30.0,2,378
92,1.117116,2.016605,0.793,0.539,0.0010,kl_2_3v,"0.000, 0.000, 1.112",0.9,30.0,0,382
93,1.109544,2.049351,0.797,0.529,0.0010,kl_2_3v,"0.000, 0.000, 1.098",0.9,30.0,1,386
94,1.109156,2.044143,0.797,0.539,0.0010,kl_2_3v,"0.000, 0.000, 1.106",0.9,30.0,0,390
95,1.105950,2.038890,0.795,0.527,0.0010,kl_2_3v,"0.000, 0.000, 1.117",0.9,30.0,1,394
96,1.106246,1.893588,0.799,0.531,0.0010,kl_2_3v,"0.000, 0.000, 1.101",0.9,30.0,2,398
97,1.107141,1.963048,0.796,0.529,0.0010,kl_2_3v,"0.000, 0.000, 1.112",0.9,30.0,3,403
98,1.104927,2.010490,0.798,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.110",0.9,30.0,4,407
99,1.101383,2.010230,0.799,0.518,0.0010,kl_2_3v,"0.000, 0.000, 1.096",0.9,30.0,5,411
100,1.100084,2.035880,0.799,0.516,0.0010,kl_2_3v,"0.000, 0.000, 1.103",0.9,30.0,6,415
101,1.095369,1.957429,0.799,0.543,0.0001,kl_2_3v,"0.000, 0.000, 1.092",0.9,30.0,0,419
102,1.093650,2.045387,0.802,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.085",0.9,30.0,1,423
103,1.094822,2.024994,0.801,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.092",0.9,30.0,2,427
104,1.093144,1.996754,0.803,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.096",0.9,30.0,3,432
105,1.092543,1.974468,0.802,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.098",0.9,30.0,4,436
106,1.093733,1.997641,0.803,0.549,0.0001,kl_2_3v,"0.000, 0.000, 1.095",0.9,30.0,0,440
107,1.096066,1.960484,0.800,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.094",0.9,30.0,1,444
108,1.091498,1.984841,0.803,0.551,0.0001,kl_2_3v,"0.000, 0.000, 1.092",0.9,30.0,0,448
109,1.093141,2.001946,0.803,0.529,0.0001,kl_2_3v,"0.000, 0.000, 1.094",0.9,30.0,1,452
110,1.091118,2.021802,0.802,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.098",0.9,30.0,2,457
111,1.093035,2.020559,0.802,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.096",0.9,30.0,3,461
112,1.091918,1.993394,0.803,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.096",0.9,30.0,4,465
113,1.094423,1.981542,0.801,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.092",0.9,30.0,5,469
114,1.094340,1.978131,0.800,0.543,0.0001,kl_2_3v,"0.000, 0.000, 1.081",0.9,30.0,6,473
115,1.092058,2.007320,0.802,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.089",0.9,30.0,7,477
116,1.089198,1.969346,0.805,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.100",0.9,30.0,8,481
117,1.092801,2.008134,0.802,0.523,0.0001,kl_2_3v,"0.000, 0.000, 1.098",0.9,30.0,9,486
118,1.093172,2.005621,0.802,0.520,0.0001,kl_2_3v,"0.000, 0.000, 1.100",0.9,30.0,10,490
119,1.093489,1.986399,0.802,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.095",0.9,30.0,11,494
120,1.094861,1.991768,0.801,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.092",0.9,30.0,12,498
121,1.090131,1.960360,0.802,0.539,0.0001,kl_2_3v,"0.000, 0.000, 1.088",0.9,30.0,13,502
122,1.094100,2.027070,0.801,0.529,0.0001,kl_2_3v,"0.000, 0.000, 1.098",0.9,30.0,14,506
