_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.374800,2.610382,0.326,0.217,0.1000,kl_2_3v,"0.000, 0.000, 2.271",0.9,30.0,0,4
2,2.170096,2.501824,0.430,0.242,0.1000,kl_2_3v,"0.000, 0.000, 2.124",0.9,30.0,0,8
3,2.053425,2.470901,0.485,0.289,0.1000,kl_2_3v,"0.000, 0.000, 2.022",0.9,30.0,0,12
4,1.976413,2.245064,0.518,0.301,0.1000,kl_2_3v,"0.000, 0.000, 1.951",0.9,30.0,0,16
5,1.921309,2.387639,0.544,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.900",0.9,30.0,0,20
6,1.882654,2.206666,0.562,0.340,0.1000,kl_2_3v,"0.000, 0.000, 1.872",0.9,30.0,0,24
7,1.851566,2.122451,0.576,0.338,0.1000,kl_2_3v,"0.000, 0.000, 1.829",0.9,30.0,1,29
8,1.825658,2.155567,0.587,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.818",0.9,30.0,0,33
9,1.804189,2.250163,0.597,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.811",0.9,30.0,1,37
10,1.775508,2.134941,0.609,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.761",0.9,30.0,0,41
11,1.763380,2.197384,0.613,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.761",0.9,30.0,1,45
12,1.751667,1.981718,0.617,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.771",0.9,30.0,0,49
13,1.742827,1.995066,0.621,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.753",0.9,30.0,1,54
14,1.727837,2.041500,0.629,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.733",0.9,30.0,2,58
15,1.722417,2.038706,0.632,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.727",0.9,30.0,0,62
16,1.715797,2.021015,0.633,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.719",0.9,30.0,0,66
17,1.707430,1.958340,0.638,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.720",0.9,30.0,1,70
18,1.694233,2.029303,0.641,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.688",0.9,30.0,0,74
19,1.690412,2.118485,0.645,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.706",0.9,30.0,1,79
20,1.687256,1.921497,0.644,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.697",0.9,30.0,2,83
21,1.676511,1.948696,0.649,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,30.0,3,87
22,1.672853,1.907897,0.651,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,4,91
23,1.670450,1.957300,0.653,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.664",0.9,30.0,5,95
24,1.666355,1.985646,0.655,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.668",0.9,30.0,6,100
25,1.660906,1.999156,0.656,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.656",0.9,30.0,7,104
26,1.653841,1.988639,0.659,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.660",0.9,30.0,8,108
27,1.660029,1.716012,0.657,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.677",0.9,30.0,0,112
28,1.653616,1.786587,0.659,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.676",0.9,30.0,0,116
29,1.648943,1.963953,0.665,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.647",0.9,30.0,1,120
30,1.643466,1.919826,0.663,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.654",0.9,30.0,2,125
31,1.639966,1.823038,0.664,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.651",0.9,30.0,3,129
32,1.637036,1.987656,0.667,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.647",0.9,30.0,0,133
33,1.633074,2.136924,0.669,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.641",0.9,30.0,1,137
34,1.630190,1.929697,0.668,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,2,141
35,1.633929,1.945722,0.668,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,3,145
36,1.625339,1.948111,0.670,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.634",0.9,30.0,4,150
37,1.625027,1.918190,0.672,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.634",0.9,30.0,0,154
38,1.619822,1.943863,0.672,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.629",0.9,30.0,1,158
39,1.620821,1.959891,0.673,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,2,162
40,1.611586,1.934419,0.675,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,3,166
41,1.616275,1.950606,0.674,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.622",0.9,30.0,4,170
42,1.614742,1.807886,0.677,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.626",0.9,30.0,5,175
43,1.609320,2.050489,0.678,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,6,179
44,1.610138,1.967692,0.676,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,7,183
45,1.601505,1.900154,0.678,0.484,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,0,187
46,1.601983,1.885347,0.678,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,1,191
47,1.602521,1.999071,0.679,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.610",0.9,30.0,2,195
48,1.602522,1.826809,0.682,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,3,200
49,1.595158,1.891713,0.684,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,4,204
50,1.595992,1.878652,0.686,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,5,208
51,1.598415,1.858275,0.682,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,6,212
52,1.593373,1.966254,0.682,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,7,216
53,1.602786,2.093887,0.680,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.610",0.9,30.0,8,220
54,1.592098,2.024254,0.683,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,9,225
55,1.595398,2.049883,0.686,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.590",0.9,30.0,10,229
56,1.589282,1.912051,0.683,0.482,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,11,233
57,1.585949,1.935272,0.685,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.589",0.9,30.0,12,237
58,1.588046,1.922629,0.684,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.591",0.9,30.0,13,241
59,1.587958,1.929813,0.686,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.597",0.9,30.0,14,245
60,1.589422,1.796361,0.685,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,15,250
61,1.588552,1.793994,0.684,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,16,254
62,1.579363,1.847277,0.686,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,17,258
63,1.588360,1.827651,0.686,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.590",0.9,30.0,18,262
64,1.577266,1.879334,0.688,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,19,266
65,1.582051,1.900383,0.688,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,20,270
66,1.581652,1.857537,0.688,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,21,274
67,1.581995,2.117342,0.686,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,22,279
68,1.576241,1.862163,0.690,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.584",0.9,30.0,23,283
69,1.575389,1.921269,0.690,0.482,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,24,287
70,1.578159,1.852831,0.691,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.591",0.9,30.0,25,291
71,1.577505,1.850107,0.687,0.482,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,26,295
72,1.571422,1.906284,0.690,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,27,299
73,1.579040,2.009889,0.688,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,28,304
74,1.579259,1.825366,0.689,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,29,308
75,1.568200,1.958203,0.691,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.573",0.9,30.0,30,312
76,1.456250,1.634035,0.727,0.506,0.0100,kl_2_3v,"0.000, 0.000, 1.442",0.9,30.0,0,316
