_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.371630,2.475735,0.328,0.219,0.1000,kl_2_3v,"0.000, 0.000, 2.276",0.9,30.0,0,3
2,2.163478,2.547061,0.434,0.242,0.1000,kl_2_3v,"0.000, 0.000, 2.117",0.9,30.0,0,7
3,2.051096,2.700809,0.486,0.301,0.1000,kl_2_3v,"0.000, 0.000, 2.017",0.9,30.0,0,11
4,1.974802,2.560593,0.521,0.301,0.1000,kl_2_3v,"0.000, 0.000, 1.950",0.9,30.0,0,15
5,1.921703,2.241891,0.546,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.909",0.9,30.0,0,18
6,1.875130,2.248570,0.565,0.352,0.1000,kl_2_3v,"0.000, 0.000, 1.874",0.9,30.0,0,22
7,1.849825,2.130605,0.577,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.865",0.9,30.0,1,26
8,1.824442,2.305629,0.587,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.833",0.9,30.0,2,30
9,1.795017,2.146546,0.597,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.795",0.9,30.0,0,33
10,1.775931,2.105299,0.608,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.782",0.9,30.0,0,37
11,1.767175,2.267024,0.612,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.760",0.9,30.0,1,41
12,1.747630,2.160538,0.618,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.769",0.9,30.0,2,45
13,1.740386,2.087781,0.624,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.747",0.9,30.0,3,49
14,1.728914,2.017652,0.628,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.729",0.9,30.0,4,52
15,1.720449,2.061816,0.634,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.710",0.9,30.0,5,56
16,1.707249,1.976247,0.637,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.710",0.9,30.0,6,60
17,1.706556,1.975318,0.635,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.698",0.9,30.0,7,64
18,1.694096,2.058308,0.644,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.9,30.0,8,67
19,1.691865,2.067728,0.646,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.698",0.9,30.0,0,71
20,1.687025,1.996285,0.645,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.688",0.9,30.0,0,75
21,1.681566,1.955029,0.647,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,30.0,1,79
22,1.669878,2.020506,0.652,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,2,83
23,1.667919,2.064103,0.653,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.668",0.9,30.0,3,86
24,1.655857,2.019939,0.659,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.657",0.9,30.0,4,90
25,1.654735,1.939321,0.659,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.663",0.9,30.0,5,94
26,1.653992,1.963348,0.660,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.659",0.9,30.0,0,98
27,1.643360,1.896954,0.663,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.641",0.9,30.0,0,101
28,1.648237,2.061118,0.660,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.638",0.9,30.0,1,105
29,1.640023,1.860727,0.665,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,0,109
30,1.639090,1.883896,0.667,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,1,113
31,1.631305,1.997145,0.668,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.638",0.9,30.0,2,116
32,1.631066,1.839676,0.669,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,0,120
33,1.626125,1.836281,0.669,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.647",0.9,30.0,1,124
34,1.625040,1.891771,0.670,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,2,128
35,1.621610,1.982587,0.673,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,3,132
36,1.619646,1.848900,0.672,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.611",0.9,30.0,0,135
37,1.623982,1.909300,0.674,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.620",0.9,30.0,1,139
38,1.619594,1.956495,0.672,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.633",0.9,30.0,2,143
39,1.607730,1.844211,0.677,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.590",0.9,30.0,3,147
40,1.611482,1.862907,0.680,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.603",0.9,30.0,4,150
41,1.611525,1.962586,0.675,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.612",0.9,30.0,5,154
42,1.610002,1.886064,0.677,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.633",0.9,30.0,6,158
43,1.607753,1.997974,0.676,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.612",0.9,30.0,7,162
44,1.604709,2.042735,0.678,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.611",0.9,30.0,8,165
45,1.600815,2.074596,0.680,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,9,169
46,1.604403,2.057236,0.678,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,10,173
47,1.598345,1.835286,0.682,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.599",0.9,30.0,11,177
48,1.606010,2.000426,0.680,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,12,181
49,1.599358,1.791756,0.679,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,13,184
50,1.596866,1.972897,0.681,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.597",0.9,30.0,14,188
51,1.590835,1.755939,0.685,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,15,192
52,1.593763,2.004113,0.682,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,16,196
53,1.595326,1.879360,0.682,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.628",0.9,30.0,0,199
54,1.595314,1.928550,0.683,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,1,203
55,1.586218,1.934675,0.683,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,2,207
56,1.583313,1.925609,0.687,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,3,211
57,1.589093,1.832135,0.682,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,4,214
58,1.585570,1.857666,0.685,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.584",0.9,30.0,5,218
59,1.586079,1.974735,0.685,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,6,222
60,1.583537,1.854511,0.687,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,7,226
61,1.575196,1.910148,0.687,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,8,230
62,1.580783,1.817040,0.689,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,9,233
63,1.576867,1.890927,0.690,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,10,237
64,1.579789,1.790439,0.690,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,11,241
65,1.578347,1.875606,0.689,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,12,245
66,1.575494,1.946018,0.689,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.589",0.9,30.0,13,248
67,1.580186,1.772878,0.692,0.482,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,0,252
68,1.571640,1.864132,0.692,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,1,256
69,1.571273,1.861536,0.693,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,2,260
70,1.575123,2.077617,0.689,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,3,264
71,1.573064,1.939944,0.689,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,4,267
72,1.571668,1.921409,0.690,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.573",0.9,30.0,5,271
73,1.571750,1.894096,0.691,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,6,275
74,1.569335,1.860722,0.694,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,7,279
75,1.571847,2.004446,0.690,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.583",0.9,30.0,8,282
