_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,5
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
1,nan,nan,0.099,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
1,0.107782,2.337296,0.106,0.033,0.1000,kl_2_3v,"0.000, 0.000, 0.102",0.9,30.0,0,3
2,0.101195,2.328698,0.110,0.111,0.1000,kl_2_3v,"0.000, 0.000, 0.101",0.9,30.0,0,7
3,0.100929,2.310316,0.110,0.098,0.1000,kl_2_3v,"0.000, 0.000, 0.101",0.9,30.0,1,11
4,0.100930,2.319497,0.110,0.098,0.1000,kl_2_3v,"0.000, 0.000, 0.101",0.9,30.0,2,15
1,1.065985,5.841975,0.101,0.098,0.1000,kl_2_3v,"0.000, 0.000, 1.007",0.9,30.0,0,3
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
2,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,7
1,nan,nan,0.100,0.117,0.1000,kl_2_3v,"0.000, 0.000, nan",0.9,30.0,0,3
