_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.378156,2.788765,0.328,0.240,0.1000,kl_2_3v,"0.000, 0.000, 2.282",0.9,30.0,0,3
2,2.177178,2.576264,0.425,0.240,0.1000,kl_2_3v,"0.000, 0.000, 2.127",0.9,30.0,0,7
3,2.065010,2.557605,0.480,0.295,0.1000,kl_2_3v,"0.000, 0.000, 2.038",0.9,30.0,0,11
4,1.981504,2.830831,0.518,0.287,0.1000,kl_2_3v,"0.000, 0.000, 1.955",0.9,30.0,1,15
5,1.923075,2.510752,0.544,0.332,0.1000,kl_2_3v,"0.000, 0.000, 1.913",0.9,30.0,0,18
6,1.883462,2.429407,0.560,0.311,0.1000,kl_2_3v,"0.000, 0.000, 1.874",0.9,30.0,1,22
7,1.846807,2.153722,0.575,0.332,0.1000,kl_2_3v,"0.000, 0.000, 1.846",0.9,30.0,0,26
8,1.824214,2.218366,0.588,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.815",0.9,30.0,0,30
9,1.803445,2.242234,0.594,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.794",0.9,30.0,0,33
10,1.781392,2.146383,0.607,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.783",0.9,30.0,1,37
11,1.767740,2.180776,0.613,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.773",0.9,30.0,0,41
12,1.752076,2.056979,0.617,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.751",0.9,30.0,1,45
13,1.741611,2.072491,0.624,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.754",0.9,30.0,2,49
14,1.730882,1.979783,0.630,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.739",0.9,30.0,0,52
15,1.716666,2.064030,0.631,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.719",0.9,30.0,1,56
16,1.710756,2.109265,0.637,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.707",0.9,30.0,2,60
17,1.698201,1.922882,0.641,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.710",0.9,30.0,0,64
18,1.696307,2.119878,0.642,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.714",0.9,30.0,1,67
19,1.690843,1.925885,0.646,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.9,30.0,2,71
20,1.678670,1.909714,0.647,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.686",0.9,30.0,3,75
21,1.676911,1.981659,0.645,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.672",0.9,30.0,4,79
22,1.672909,2.038198,0.652,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.685",0.9,30.0,5,83
23,1.663395,2.177968,0.652,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.663",0.9,30.0,6,86
