_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.378757,2.669669,0.325,0.252,0.1000,kl_2_3v,"0.000, 0.000, 2.291",0.9,30.0,0,3
2,2.180873,2.610121,0.420,0.219,0.1000,kl_2_3v,"0.000, 0.000, 2.133",0.9,30.0,1,7
3,2.062786,2.373007,0.478,0.299,0.1000,kl_2_3v,"0.000, 0.000, 2.022",0.9,30.0,0,11
4,1.987439,2.330516,0.514,0.309,0.1000,kl_2_3v,"0.000, 0.000, 1.967",0.9,30.0,0,15
5,1.937379,2.488217,0.537,0.316,0.1000,kl_2_3v,"0.000, 0.000, 1.926",0.9,30.0,0,19
6,1.888983,2.318321,0.560,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.866",0.9,30.0,0,22
7,1.862667,2.384338,0.570,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.858",0.9,30.0,0,26
8,1.830052,2.116198,0.585,0.367,0.1000,kl_2_3v,"0.000, 0.000, 1.823",0.9,30.0,0,30
9,1.811059,2.238551,0.594,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.802",0.9,30.0,1,34
10,1.786255,2.093921,0.605,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.774",0.9,30.0,2,38
11,1.770434,2.049572,0.611,0.379,0.1000,kl_2_3v,"0.000, 0.000, 1.761",0.9,30.0,0,41
12,1.752747,1.991457,0.617,0.393,0.1000,kl_2_3v,"0.000, 0.000, 1.751",0.9,30.0,0,45
13,1.739136,2.076458,0.622,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.715",0.9,30.0,0,49
14,1.729952,2.169292,0.625,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.740",0.9,30.0,0,53
15,1.725996,1.933927,0.630,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.732",0.9,30.0,1,57
16,1.712451,2.116799,0.635,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.718",0.9,30.0,2,60
17,1.700769,2.008001,0.638,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.701",0.9,30.0,0,64
18,1.697616,1.821731,0.638,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.9,30.0,0,68
19,1.690153,2.015545,0.645,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.9,30.0,1,72
20,1.686614,2.077198,0.648,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.673",0.9,30.0,0,76
