_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.371807,2.492230,0.334,0.215,0.1000,kl_2_3v,"0.000, 0.000, 2.281",0.9,30.0,0,3
2,2.184500,2.564032,0.431,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.133",0.9,30.0,0,7
3,2.067711,2.632329,0.479,0.277,0.1000,kl_2_3v,"0.000, 0.000, 2.033",0.9,30.0,0,11
4,1.984475,2.366727,0.519,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.951",0.9,30.0,0,15
5,1.919751,2.337042,0.542,0.309,0.1000,kl_2_3v,"0.000, 0.000, 1.928",0.9,30.0,1,18
6,1.875690,2.373321,0.565,0.328,0.1000,kl_2_3v,"0.000, 0.000, 1.865",0.9,30.0,0,22
7,1.857509,2.206790,0.579,0.346,0.1000,kl_2_3v,"0.000, 0.000, 1.859",0.9,30.0,0,26
8,1.844885,2.197631,0.585,0.357,0.1000,kl_2_3v,"0.000, 0.000, 1.841",0.9,30.0,0,30
9,1.792055,2.141659,0.596,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.788",0.9,30.0,0,33
10,1.777563,2.120827,0.605,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.770",0.9,30.0,0,37
11,1.784017,1.967174,0.609,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.802",0.9,30.0,1,41
12,1.742439,2.193267,0.619,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.752",0.9,30.0,2,45
13,1.740011,2.162758,0.622,0.365,0.1000,kl_2_3v,"0.000, 0.000, 1.749",0.9,30.0,3,49
14,1.752071,2.112791,0.628,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.743",0.9,30.0,0,52
15,1.742649,2.011829,0.629,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.754",0.9,30.0,0,56
16,1.756294,1.976555,0.631,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.746",0.9,30.0,0,60
17,1.692448,1.964360,0.637,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.694",0.9,30.0,0,64
18,1.693500,2.025266,0.642,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.698",0.9,30.0,1,67
19,1.680983,2.028594,0.644,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.682",0.9,30.0,2,71
20,1.696088,1.846013,0.644,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.696",0.9,30.0,3,75
21,1.665914,1.986702,0.647,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.670",0.9,30.0,0,79
22,1.674134,2.176358,0.648,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,30.0,1,82
23,1.697956,1.908343,0.650,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.697",0.9,30.0,0,86
24,1.670547,1.862900,0.653,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.674",0.9,30.0,1,90
25,1.697966,1.846492,0.656,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.704",0.9,30.0,0,94
26,1.681407,1.888465,0.659,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.693",0.9,30.0,0,98
27,1.655148,1.907215,0.657,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.658",0.9,30.0,0,101
28,1.640130,2.040032,0.661,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.646",0.9,30.0,1,105
29,1.694559,2.135445,0.660,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.691",0.9,30.0,2,109
30,1.638547,2.107114,0.660,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,3,113
31,1.634965,2.193839,0.662,0.391,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,4,116
32,1.635324,2.049517,0.668,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.634",0.9,30.0,5,120
33,1.625009,2.175515,0.667,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,6,124
34,1.675106,1.866828,0.667,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.692",0.9,30.0,0,128
35,1.682315,1.867924,0.669,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.703",0.9,30.0,1,131
36,1.653796,1.856553,0.669,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.655",0.9,30.0,2,135
37,1.691527,1.813166,0.671,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.707",0.9,30.0,3,139
38,1.631426,1.939481,0.673,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.639",0.9,30.0,4,143
39,1.691019,1.782513,0.673,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.705",0.9,30.0,5,147
40,1.662840,1.914592,0.672,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.671",0.9,30.0,6,150
41,1.608776,2.107951,0.675,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,7,154
42,1.642119,1.845385,0.671,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.650",0.9,30.0,0,158
43,1.656484,1.898653,0.674,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.659",0.9,30.0,1,162
44,1.603770,1.939700,0.675,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.598",0.9,30.0,2,165
45,1.600358,1.978445,0.677,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,3,169
46,1.607455,2.009931,0.677,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,4,173
47,1.592273,2.004318,0.678,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.604",0.9,30.0,5,177
