_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.366582,2.650279,0.328,0.225,0.1000,kl_2_3v,"0.000, 0.000, 2.272",0.9,30.0,0,3
2,2.168847,2.445186,0.429,0.225,0.1000,kl_2_3v,"0.000, 0.000, 2.121",0.9,30.0,0,7
3,2.059289,2.517863,0.480,0.303,0.1000,kl_2_3v,"0.000, 0.000, 2.047",0.9,30.0,0,11
4,1.978970,2.434975,0.519,0.305,0.1000,kl_2_3v,"0.000, 0.000, 1.949",0.9,30.0,0,15
5,1.923753,2.174945,0.545,0.330,0.1000,kl_2_3v,"0.000, 0.000, 1.904",0.9,30.0,0,18
6,1.881362,2.307666,0.561,0.355,0.1000,kl_2_3v,"0.000, 0.000, 1.869",0.9,30.0,0,22
7,1.846909,2.371944,0.578,0.322,0.1000,kl_2_3v,"0.000, 0.000, 1.841",0.9,30.0,1,26
8,1.824468,2.322581,0.588,0.352,0.1000,kl_2_3v,"0.000, 0.000, 1.814",0.9,30.0,2,30
9,1.801210,2.192135,0.596,0.377,0.1000,kl_2_3v,"0.000, 0.000, 1.787",0.9,30.0,0,33
10,1.780720,2.061583,0.603,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.764",0.9,30.0,1,37
11,1.762996,1.980884,0.615,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.765",0.9,30.0,0,41
12,1.754987,2.045738,0.616,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.762",0.9,30.0,0,45
13,1.733148,1.926399,0.626,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.727",0.9,30.0,0,49
14,1.724785,1.961517,0.627,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.721",0.9,30.0,1,52
15,1.720927,2.087496,0.629,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.725",0.9,30.0,2,56
16,1.711125,2.037656,0.636,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.731",0.9,30.0,3,60
17,1.700561,1.988212,0.640,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.706",0.9,30.0,0,64
18,1.694870,2.082934,0.642,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.695",0.9,30.0,1,67
19,1.696120,2.155008,0.642,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.700",0.9,30.0,2,71
20,1.682958,1.963169,0.648,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,30.0,3,75
21,1.677350,1.942291,0.648,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.687",0.9,30.0,4,79
22,1.673288,1.925131,0.651,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.680",0.9,30.0,5,82
23,1.664112,2.144669,0.652,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.682",0.9,30.0,6,86
24,1.665581,2.043332,0.654,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.666",0.9,30.0,7,90
25,1.657818,2.113197,0.657,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,8,94
26,1.655408,2.013054,0.657,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.653",0.9,30.0,9,98
27,1.645544,2.143257,0.661,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.643",0.9,30.0,10,101
28,1.646356,2.103931,0.661,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,11,105
29,1.638657,1.896187,0.664,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.637",0.9,30.0,0,109
30,1.638301,1.957911,0.659,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.629",0.9,30.0,1,113
31,1.631965,2.031161,0.669,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.646",0.9,30.0,2,116
32,1.628428,2.063235,0.667,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.644",0.9,30.0,3,120
33,1.634772,1.909364,0.668,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.659",0.9,30.0,0,124
34,1.628885,1.995451,0.669,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.632",0.9,30.0,1,128
35,1.622166,2.010771,0.672,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,2,132
36,1.615910,1.974675,0.671,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,3,135
37,1.618739,1.867050,0.672,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.633",0.9,30.0,4,139
38,1.611841,1.890892,0.675,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,0,143
39,1.617784,1.996420,0.674,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.634",0.9,30.0,1,147
40,1.607436,1.960075,0.675,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.618",0.9,30.0,2,150
41,1.611821,1.891541,0.675,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.609",0.9,30.0,0,154
42,1.609786,2.023791,0.677,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.617",0.9,30.0,1,158
43,1.606457,1.958537,0.681,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.626",0.9,30.0,2,162
44,1.610374,1.830526,0.675,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.601",0.9,30.0,0,165
45,1.601256,1.983483,0.681,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.607",0.9,30.0,1,169
46,1.601599,1.817129,0.679,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,0,173
47,1.598539,1.965628,0.681,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,0,177
48,1.600160,2.008275,0.682,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,1,181
49,1.600449,1.909164,0.680,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,2,184
50,1.591528,2.002725,0.683,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,3,188
51,1.588274,1.907345,0.686,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,4,192
52,1.590845,1.998592,0.681,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,0,196
53,1.592070,1.893518,0.682,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,1,199
54,1.590662,1.985426,0.684,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,2,203
55,1.582553,1.784124,0.684,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.590",0.9,30.0,3,207
56,1.583986,1.792323,0.685,0.490,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,0,211
57,1.586723,1.900897,0.684,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.605",0.9,30.0,1,215
58,1.589100,1.871482,0.684,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.609",0.9,30.0,2,218
59,1.579608,2.021708,0.689,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.578",0.9,30.0,3,222
60,1.575561,1.968476,0.689,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.586",0.9,30.0,4,226
61,1.580074,1.981914,0.689,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,5,230
62,1.582383,1.956650,0.688,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,6,233
63,1.577948,1.873366,0.688,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.577",0.9,30.0,7,237
64,1.571906,1.921104,0.691,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.564",0.9,30.0,8,241
65,1.575033,1.874370,0.689,0.484,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,9,245
66,1.572067,1.889252,0.691,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,10,248
67,1.570962,1.953553,0.691,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,11,252
68,1.570087,1.844615,0.691,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.577",0.9,30.0,12,256
69,1.575900,2.001467,0.690,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.577",0.9,30.0,13,260
70,1.571995,1.879492,0.692,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.570",0.9,30.0,14,264
71,1.570948,1.855381,0.692,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,15,267
72,1.570477,2.034249,0.690,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,16,271
73,1.567748,1.884950,0.691,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,17,275
74,1.565249,1.801169,0.695,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.573",0.9,30.0,18,279
75,1.568928,2.220922,0.692,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.584",0.9,30.0,19,282
76,1.452211,1.732184,0.729,0.508,0.0100,kl_2_3v,"0.000, 0.000, 1.434",0.9,30.0,0,286
77,1.408003,1.749896,0.740,0.516,0.0100,kl_2_3v,"0.000, 0.000, 1.398",0.9,30.0,0,290
78,1.393214,1.752970,0.745,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.385",0.9,30.0,0,294
79,1.385419,1.736786,0.749,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.388",0.9,30.0,0,298
80,1.375666,1.710139,0.752,0.512,0.0100,kl_2_3v,"0.000, 0.000, 1.375",0.9,30.0,1,301
81,1.374363,1.700575,0.751,0.523,0.0100,kl_2_3v,"0.000, 0.000, 1.384",0.9,30.0,2,305
82,1.362482,1.757158,0.757,0.510,0.0100,kl_2_3v,"0.000, 0.000, 1.359",0.9,30.0,3,309
83,1.356868,1.716099,0.758,0.539,0.0100,kl_2_3v,"0.000, 0.000, 1.354",0.9,30.0,0,313
84,1.350325,1.740549,0.759,0.543,0.0100,kl_2_3v,"0.000, 0.000, 1.353",0.9,30.0,0,316
85,1.348982,1.743343,0.760,0.518,0.0100,kl_2_3v,"0.000, 0.000, 1.357",0.9,30.0,1,320
86,1.342236,1.750340,0.762,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.355",0.9,30.0,2,324
87,1.338717,1.721561,0.761,0.547,0.0100,kl_2_3v,"0.000, 0.000, 1.337",0.9,30.0,0,328
88,1.340429,1.755890,0.765,0.529,0.0100,kl_2_3v,"0.000, 0.000, 1.333",0.9,30.0,1,331
89,1.332418,1.721244,0.766,0.539,0.0100,kl_2_3v,"0.000, 0.000, 1.331",0.9,30.0,2,335
90,1.324658,1.738107,0.768,0.527,0.0100,kl_2_3v,"0.000, 0.000, 1.319",0.9,30.0,3,339
91,1.299754,1.735481,0.777,0.547,0.0010,kl_2_3v,"0.000, 0.000, 1.301",0.9,30.0,0,343
92,1.288889,1.798320,0.777,0.531,0.0010,kl_2_3v,"0.000, 0.000, 1.293",0.9,30.0,1,347
93,1.292175,1.773362,0.776,0.531,0.0010,kl_2_3v,"0.000, 0.000, 1.301",0.9,30.0,2,350
94,1.291477,1.783778,0.777,0.535,0.0010,kl_2_3v,"0.000, 0.000, 1.300",0.9,30.0,3,354
95,1.284267,1.763122,0.781,0.543,0.0010,kl_2_3v,"0.000, 0.000, 1.285",0.9,30.0,4,358
96,1.290580,1.782617,0.778,0.521,0.0010,kl_2_3v,"0.000, 0.000, 1.286",0.9,30.0,5,362
97,1.279511,1.793278,0.781,0.525,0.0010,kl_2_3v,"0.000, 0.000, 1.277",0.9,30.0,6,365
98,1.285472,1.790150,0.781,0.533,0.0010,kl_2_3v,"0.000, 0.000, 1.306",0.9,30.0,7,369
99,1.280648,1.790747,0.783,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.280",0.9,30.0,8,373
100,1.280463,1.817386,0.781,0.523,0.0010,kl_2_3v,"0.000, 0.000, 1.290",0.9,30.0,9,377
101,1.275381,1.800107,0.783,0.541,0.0001,kl_2_3v,"0.000, 0.000, 1.274",0.9,30.0,10,381
102,1.276205,1.793776,0.782,0.531,0.0001,kl_2_3v,"0.000, 0.000, 1.284",0.9,30.0,11,384
103,1.276838,1.772694,0.782,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.267",0.9,30.0,12,388
