_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.369119,2.790447,0.332,0.217,0.1000,kl_2_3v,"0.000, 0.000, 2.272",0.9,30.0,0,3
2,2.160650,2.587488,0.431,0.275,0.1000,kl_2_3v,"0.000, 0.000, 2.107",0.9,30.0,0,7
3,2.046786,2.702125,0.487,0.268,0.1000,kl_2_3v,"0.000, 0.000, 2.010",0.9,30.0,1,11
4,1.973751,2.428565,0.519,0.295,0.1000,kl_2_3v,"0.000, 0.000, 1.947",0.9,30.0,0,15
5,1.921672,2.426412,0.542,0.316,0.1000,kl_2_3v,"0.000, 0.000, 1.893",0.9,30.0,0,18
6,1.877709,2.314191,0.561,0.363,0.1000,kl_2_3v,"0.000, 0.000, 1.856",0.9,30.0,0,22
7,1.845367,2.283570,0.577,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.845",0.9,30.0,1,26
8,1.813197,2.079622,0.592,0.389,0.1000,kl_2_3v,"0.000, 0.000, 1.803",0.9,30.0,0,30
9,1.796330,2.092089,0.597,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.782",0.9,30.0,1,34
10,1.772054,2.213802,0.609,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.772",0.9,30.0,2,37
11,1.757023,2.037150,0.612,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.756",0.9,30.0,0,41
12,1.742605,2.050517,0.618,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.731",0.9,30.0,1,45
13,1.725250,2.014429,0.626,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.724",0.9,30.0,2,49
14,1.721553,2.039731,0.630,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.719",0.9,30.0,0,52
15,1.711786,2.140599,0.634,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.711",0.9,30.0,1,56
16,1.696746,1.912361,0.641,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.699",0.9,30.0,0,60
17,1.691877,2.032458,0.641,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.700",0.9,30.0,1,64
18,1.683983,1.939217,0.645,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.681",0.9,30.0,0,68
19,1.676880,2.054847,0.647,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.679",0.9,30.0,1,71
20,1.668205,2.026996,0.650,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.674",0.9,30.0,0,75
21,1.664159,2.022743,0.653,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.664",0.9,30.0,1,79
22,1.659662,2.040564,0.654,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.652",0.9,30.0,2,83
23,1.653149,2.188084,0.656,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.660",0.9,30.0,3,87
24,1.653921,2.125651,0.657,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.657",0.9,30.0,0,90
25,1.641754,2.114968,0.661,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.648",0.9,30.0,1,94
26,1.641701,2.006779,0.661,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.632",0.9,30.0,2,98
27,1.640507,2.052474,0.662,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.646",0.9,30.0,3,102
28,1.638424,2.139665,0.662,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.644",0.9,30.0,4,105
29,1.629210,1.949107,0.666,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,0,109
30,1.633134,1.895632,0.667,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.641",0.9,30.0,1,113
31,1.627270,1.881819,0.668,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,2,117
32,1.622180,2.120406,0.668,0.430,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,3,121
33,1.617072,2.062816,0.669,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.621",0.9,30.0,4,124
34,1.616628,1.899135,0.670,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.620",0.9,30.0,0,128
35,1.616435,1.854192,0.670,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.617",0.9,30.0,0,132
36,1.615128,1.880249,0.673,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,0,136
37,1.603822,1.921218,0.677,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,1,139
38,1.603535,2.091123,0.677,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.618",0.9,30.0,2,143
39,1.602509,1.955870,0.675,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,3,147
40,1.598558,2.040746,0.677,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.610",0.9,30.0,4,151
41,1.599153,1.810182,0.680,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,0,155
42,1.601720,2.141438,0.677,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.624",0.9,30.0,1,158
43,1.599661,2.039041,0.678,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,2,162
44,1.588955,1.869444,0.682,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,0,166
45,1.595045,1.809741,0.678,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.599",0.9,30.0,1,170
46,1.586393,1.914115,0.685,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,2,173
47,1.581368,1.901113,0.684,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.576",0.9,30.0,3,177
48,1.583874,1.938467,0.681,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.600",0.9,30.0,4,181
49,1.586154,1.914304,0.683,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.589",0.9,30.0,5,185
50,1.579618,1.948119,0.685,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,6,189
51,1.579057,1.828559,0.685,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.585",0.9,30.0,0,192
52,1.581116,2.022053,0.685,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.571",0.9,30.0,1,196
53,1.585508,1.922912,0.683,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,2,200
54,1.576925,1.850405,0.684,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.578",0.9,30.0,3,204
55,1.572647,1.776918,0.689,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.565",0.9,30.0,4,207
56,1.574656,2.055814,0.688,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,5,211
57,1.568862,1.905906,0.688,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.572",0.9,30.0,6,215
58,1.580055,1.861773,0.685,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.586",0.9,30.0,0,219
59,1.569405,1.929511,0.690,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.570",0.9,30.0,1,223
60,1.568297,1.976506,0.689,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.563",0.9,30.0,2,226
61,1.569386,1.931937,0.687,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.564",0.9,30.0,3,230
62,1.568586,1.865364,0.691,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.579",0.9,30.0,4,234
63,1.563550,1.901366,0.691,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,5,238
64,1.565670,1.937241,0.691,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.574",0.9,30.0,6,241
65,1.565655,1.957229,0.689,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.574",0.9,30.0,7,245
66,1.559439,1.958550,0.691,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.563",0.9,30.0,8,249
67,1.563438,2.076762,0.690,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.570",0.9,30.0,9,253
68,1.558885,2.000156,0.691,0.475,0.1000,kl_2_3v,"0.000, 0.000, 1.558",0.9,30.0,10,257
69,1.556367,1.939528,0.693,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.554",0.9,30.0,11,260
70,1.557064,1.875482,0.695,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.562",0.9,30.0,12,264
71,1.559320,1.891037,0.691,0.441,0.1000,kl_2_3v,"0.000, 0.000, 1.561",0.9,30.0,13,268
72,1.556193,1.950168,0.695,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.560",0.9,30.0,0,272
73,1.559884,1.982834,0.691,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.568",0.9,30.0,1,275
74,1.558685,1.964063,0.696,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.570",0.9,30.0,2,279
75,1.554205,1.981577,0.693,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.557",0.9,30.0,3,283
76,1.434660,1.776246,0.728,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.412",0.9,30.0,0,287
77,1.398854,1.715082,0.743,0.516,0.0100,kl_2_3v,"0.000, 0.000, 1.402",0.9,30.0,1,291
78,1.382724,1.716421,0.747,0.520,0.0100,kl_2_3v,"0.000, 0.000, 1.387",0.9,30.0,0,294
79,1.372709,1.685451,0.750,0.541,0.0100,kl_2_3v,"0.000, 0.000, 1.372",0.9,30.0,0,298
80,1.367634,1.723886,0.754,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.371",0.9,30.0,1,302
81,1.363042,1.700248,0.755,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.368",0.9,30.0,2,306
82,1.353490,1.768429,0.757,0.537,0.0100,kl_2_3v,"0.000, 0.000, 1.363",0.9,30.0,3,309
83,1.350930,1.761375,0.760,0.516,0.0100,kl_2_3v,"0.000, 0.000, 1.342",0.9,30.0,4,313
84,1.344518,1.751096,0.760,0.510,0.0100,kl_2_3v,"0.000, 0.000, 1.352",0.9,30.0,5,317
85,1.341627,1.751616,0.760,0.508,0.0100,kl_2_3v,"0.000, 0.000, 1.347",0.9,30.0,6,321
86,1.336437,1.817946,0.761,0.535,0.0100,kl_2_3v,"0.000, 0.000, 1.347",0.9,30.0,7,325
87,1.327193,1.779354,0.765,0.533,0.0100,kl_2_3v,"0.000, 0.000, 1.318",0.9,30.0,8,328
88,1.325682,1.822030,0.765,0.508,0.0100,kl_2_3v,"0.000, 0.000, 1.332",0.9,30.0,9,332
89,1.319312,1.796301,0.768,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.324",0.9,30.0,10,336
90,1.320803,1.779279,0.767,0.531,0.0100,kl_2_3v,"0.000, 0.000, 1.320",0.9,30.0,11,340
91,1.289996,1.800388,0.778,0.543,0.0010,kl_2_3v,"0.000, 0.000, 1.278",0.9,30.0,0,343
92,1.279236,1.788836,0.780,0.535,0.0010,kl_2_3v,"0.000, 0.000, 1.280",0.9,30.0,1,347
93,1.273853,1.786724,0.781,0.543,0.0010,kl_2_3v,"0.000, 0.000, 1.271",0.9,30.0,0,351
94,1.273760,1.781368,0.780,0.521,0.0010,kl_2_3v,"0.000, 0.000, 1.277",0.9,30.0,1,355
95,1.275374,1.851606,0.781,0.521,0.0010,kl_2_3v,"0.000, 0.000, 1.274",0.9,30.0,2,359
96,1.273354,1.717554,0.780,0.555,0.0010,kl_2_3v,"0.000, 0.000, 1.281",0.9,30.0,0,362
97,1.272294,1.778691,0.780,0.541,0.0010,kl_2_3v,"0.000, 0.000, 1.273",0.9,30.0,1,366
98,1.269283,1.816738,0.783,0.533,0.0010,kl_2_3v,"0.000, 0.000, 1.273",0.9,30.0,2,370
99,1.271005,1.788322,0.781,0.531,0.0010,kl_2_3v,"0.000, 0.000, 1.276",0.9,30.0,3,374
100,1.265458,1.839230,0.783,0.535,0.0010,kl_2_3v,"0.000, 0.000, 1.267",0.9,30.0,4,377
101,1.267249,1.782103,0.783,0.545,0.0001,kl_2_3v,"0.000, 0.000, 1.262",0.9,30.0,5,381
102,1.265083,1.819045,0.784,0.543,0.0001,kl_2_3v,"0.000, 0.000, 1.264",0.9,30.0,6,385
103,1.265599,1.794747,0.785,0.525,0.0001,kl_2_3v,"0.000, 0.000, 1.271",0.9,30.0,7,389
104,1.260003,1.833620,0.783,0.518,0.0001,kl_2_3v,"0.000, 0.000, 1.253",0.9,30.0,8,393
105,1.263916,1.794949,0.786,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.254",0.9,30.0,9,396
106,1.261071,1.790466,0.784,0.533,0.0001,kl_2_3v,"0.000, 0.000, 1.261",0.9,30.0,10,400
107,1.261817,1.786080,0.783,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.272",0.9,30.0,11,404
108,1.265606,1.787448,0.782,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.267",0.9,30.0,12,408
109,1.261091,1.801272,0.783,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.258",0.9,30.0,13,411
110,1.262757,1.820909,0.784,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.265",0.9,30.0,14,415
111,1.264160,1.810830,0.785,0.541,0.0001,kl_2_3v,"0.000, 0.000, 1.257",0.9,30.0,15,419
112,1.262102,1.793783,0.786,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.260",0.9,30.0,16,423
113,1.261463,1.779569,0.785,0.527,0.0001,kl_2_3v,"0.000, 0.000, 1.256",0.9,30.0,17,427
114,1.265455,1.769594,0.784,0.510,0.0001,kl_2_3v,"0.000, 0.000, 1.268",0.9,30.0,18,430
115,1.263353,1.813635,0.785,0.543,0.0001,kl_2_3v,"0.000, 0.000, 1.271",0.9,30.0,19,434
116,1.262396,1.819559,0.786,0.521,0.0001,kl_2_3v,"0.000, 0.000, 1.253",0.9,30.0,20,438
117,1.261234,1.820829,0.786,0.535,0.0001,kl_2_3v,"0.000, 0.000, 1.265",0.9,30.0,21,442
118,1.261498,1.784080,0.784,0.537,0.0001,kl_2_3v,"0.000, 0.000, 1.258",0.9,30.0,22,445
119,1.262468,1.777124,0.785,0.547,0.0001,kl_2_3v,"0.000, 0.000, 1.258",0.9,30.0,23,449
