_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.371909,2.457325,0.328,0.223,0.1000,kl_2_3v,"0.000, 0.000, 2.284",0.9,30.0,0,4
2,2.173399,2.674263,0.428,0.264,0.1000,kl_2_3v,"0.000, 0.000, 2.118",0.9,30.0,0,9
3,2.060373,2.701769,0.481,0.256,0.1000,kl_2_3v,"0.000, 0.000, 2.033",0.9,30.0,1,14
4,1.982266,2.409730,0.516,0.303,0.1000,kl_2_3v,"0.000, 0.000, 1.969",0.9,30.0,0,19
5,1.926636,2.480583,0.539,0.326,0.1000,kl_2_3v,"0.000, 0.000, 1.904",0.9,30.0,0,24
6,1.889559,2.240964,0.555,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.858",0.9,30.0,0,29
7,1.858443,2.385283,0.572,0.350,0.1000,kl_2_3v,"0.000, 0.000, 1.863",0.9,30.0,0,33
8,1.827343,2.166042,0.587,0.354,0.1000,kl_2_3v,"0.000, 0.000, 1.831",0.9,30.0,0,38
9,1.805491,1.989112,0.596,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.809",0.9,30.0,0,43
10,1.790085,2.312278,0.603,0.375,0.1000,kl_2_3v,"0.000, 0.000, 1.783",0.9,30.0,0,48
11,1.769896,2.175469,0.610,0.406,0.1000,kl_2_3v,"0.000, 0.000, 1.779",0.9,30.0,0,53
12,1.755082,2.052156,0.616,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.763",0.9,30.0,0,57
13,1.734128,2.058129,0.624,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.735",0.9,30.0,1,62
14,1.731916,2.054935,0.623,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.728",0.9,30.0,2,67
15,1.722854,1.989258,0.632,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.727",0.9,30.0,0,72
16,1.716399,1.963492,0.632,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.719",0.9,30.0,1,77
17,1.707728,1.995829,0.639,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.717",0.9,30.0,0,82
18,1.702243,2.132363,0.641,0.398,0.1000,kl_2_3v,"0.000, 0.000, 1.720",0.9,30.0,1,86
19,1.685479,2.016363,0.646,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.701",0.9,30.0,0,91
20,1.684196,2.039958,0.648,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.685",0.9,30.0,1,96
21,1.677786,2.097483,0.650,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.680",0.9,30.0,0,101
22,1.675652,1.992888,0.652,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.678",0.9,30.0,1,106
23,1.670905,2.102615,0.655,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.678",0.9,30.0,2,111
24,1.667138,1.914225,0.652,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.670",0.9,30.0,3,115
25,1.657137,2.036948,0.658,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.667",0.9,30.0,4,120
26,1.656640,1.915878,0.655,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,0,125
27,1.649162,1.966931,0.660,0.422,0.1000,kl_2_3v,"0.000, 0.000, 1.656",0.9,30.0,1,130
28,1.648188,1.889412,0.661,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.656",0.9,30.0,2,135
29,1.640037,1.899997,0.664,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.651",0.9,30.0,0,140
30,1.640103,1.859335,0.666,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.640",0.9,30.0,0,144
31,1.636746,2.016308,0.664,0.424,0.1000,kl_2_3v,"0.000, 0.000, 1.636",0.9,30.0,1,149
32,1.637607,2.085427,0.668,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.631",0.9,30.0,2,154
33,1.631804,1.958947,0.670,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.632",0.9,30.0,3,159
34,1.624512,1.954423,0.670,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,4,164
35,1.621754,1.946669,0.673,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.642",0.9,30.0,5,169
36,1.626495,1.987549,0.672,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.625",0.9,30.0,6,173
37,1.620651,2.005523,0.671,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.618",0.9,30.0,7,178
38,1.618973,1.836039,0.674,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.628",0.9,30.0,8,183
39,1.614462,1.903925,0.674,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.622",0.9,30.0,9,188
40,1.613629,1.842705,0.676,0.488,0.1000,kl_2_3v,"0.000, 0.000, 1.633",0.9,30.0,0,193
41,1.614041,2.012251,0.673,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.629",0.9,30.0,1,198
42,1.611356,1.855906,0.676,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.617",0.9,30.0,2,202
43,1.606658,1.972641,0.678,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,3,207
44,1.609636,1.967540,0.675,0.477,0.1000,kl_2_3v,"0.000, 0.000, 1.612",0.9,30.0,4,212
45,1.606825,1.868049,0.679,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.619",0.9,30.0,5,217
46,1.605930,1.872812,0.676,0.449,0.1000,kl_2_3v,"0.000, 0.000, 1.608",0.9,30.0,6,222
47,1.599141,1.937279,0.681,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.612",0.9,30.0,7,227
48,1.600408,1.888941,0.680,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.618",0.9,30.0,8,231
49,1.599522,1.920264,0.678,0.445,0.1000,kl_2_3v,"0.000, 0.000, 1.617",0.9,30.0,9,236
50,1.595155,1.900845,0.683,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.602",0.9,30.0,10,241
51,1.602654,1.970456,0.681,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.616",0.9,30.0,11,246
52,1.594788,1.903397,0.683,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.606",0.9,30.0,12,251
53,1.589986,1.963643,0.682,0.453,0.1000,kl_2_3v,"0.000, 0.000, 1.596",0.9,30.0,13,256
54,1.590429,1.904949,0.683,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.586",0.9,30.0,14,260
55,1.589686,1.931000,0.685,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.594",0.9,30.0,15,265
56,1.589726,2.010788,0.685,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,16,270
57,1.589213,1.752344,0.686,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.595",0.9,30.0,17,275
58,1.587087,1.833574,0.683,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.592",0.9,30.0,18,280
59,1.583475,1.874777,0.688,0.471,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,19,284
60,1.581614,1.959023,0.688,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.614",0.9,30.0,20,289
61,1.584457,1.887373,0.683,0.465,0.1000,kl_2_3v,"0.000, 0.000, 1.588",0.9,30.0,21,294
62,1.579360,1.912554,0.687,0.467,0.1000,kl_2_3v,"0.000, 0.000, 1.589",0.9,30.0,22,299
63,1.578534,1.807419,0.688,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.590",0.9,30.0,23,304
64,1.581883,2.050570,0.687,0.473,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,24,309
65,1.578362,1.965385,0.688,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.573",0.9,30.0,25,313
66,1.578316,1.944465,0.690,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.578",0.9,30.0,26,318
67,1.576405,1.869271,0.690,0.451,0.1000,kl_2_3v,"0.000, 0.000, 1.575",0.9,30.0,27,323
68,1.578952,1.988198,0.687,0.463,0.1000,kl_2_3v,"0.000, 0.000, 1.580",0.9,30.0,28,328
69,1.574706,1.951778,0.690,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.589",0.9,30.0,29,333
70,1.579642,1.925444,0.688,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.593",0.9,30.0,30,338
71,1.569481,1.844548,0.693,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.582",0.9,30.0,31,342
72,1.575082,1.734769,0.689,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.591",0.9,30.0,32,347
73,1.574901,1.896426,0.689,0.482,0.1000,kl_2_3v,"0.000, 0.000, 1.587",0.9,30.0,33,352
74,1.568608,2.090305,0.691,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.569",0.9,30.0,34,357
75,1.570690,1.753281,0.691,0.480,0.1000,kl_2_3v,"0.000, 0.000, 1.577",0.9,30.0,35,362
76,1.458361,1.723097,0.726,0.512,0.0100,kl_2_3v,"0.000, 0.000, 1.442",0.9,30.0,0,367
77,1.411954,1.738860,0.741,0.525,0.0100,kl_2_3v,"0.000, 0.000, 1.415",0.9,30.0,0,371
