_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.368780,2.932685,0.333,0.236,0.1000,kl_2_3v,"0.000, 0.000, 2.265",0.9,30.0,0,3
2,2.161874,2.756158,0.432,0.260,0.1000,kl_2_3v,"0.000, 0.000, 2.126",0.9,30.0,0,7
3,2.054319,2.555013,0.487,0.293,0.1000,kl_2_3v,"0.000, 0.000, 2.029",0.9,30.0,0,11
4,1.971822,2.387676,0.521,0.299,0.1000,kl_2_3v,"0.000, 0.000, 1.935",0.9,30.0,0,15
5,1.918370,2.554177,0.546,0.291,0.1000,kl_2_3v,"0.000, 0.000, 1.899",0.9,30.0,1,19
6,1.881603,2.172809,0.564,0.318,0.1000,kl_2_3v,"0.000, 0.000, 1.871",0.9,30.0,0,22
7,1.841316,2.243125,0.578,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.831",0.9,30.0,0,26
8,1.818293,2.231299,0.588,0.371,0.1000,kl_2_3v,"0.000, 0.000, 1.817",0.9,30.0,0,30
9,1.792502,2.193329,0.598,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.782",0.9,30.0,0,34
10,1.780233,2.158649,0.604,0.359,0.1000,kl_2_3v,"0.000, 0.000, 1.756",0.9,30.0,1,38
11,1.760309,2.145542,0.617,0.383,0.1000,kl_2_3v,"0.000, 0.000, 1.746",0.9,30.0,0,42
12,1.749677,2.014180,0.618,0.385,0.1000,kl_2_3v,"0.000, 0.000, 1.736",0.9,30.0,0,45
13,1.737795,1.942600,0.627,0.396,0.1000,kl_2_3v,"0.000, 0.000, 1.748",0.9,30.0,0,49
14,1.724194,2.205603,0.628,0.395,0.1000,kl_2_3v,"0.000, 0.000, 1.720",0.9,30.0,1,53
15,1.715405,1.987583,0.636,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.716",0.9,30.0,0,57
16,1.708429,2.109023,0.637,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.721",0.9,30.0,0,61
17,1.695185,1.835199,0.642,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.705",0.9,30.0,0,64
18,1.697094,1.955467,0.642,0.438,0.1000,kl_2_3v,"0.000, 0.000, 1.710",0.9,30.0,0,68
19,1.687160,2.182215,0.646,0.408,0.1000,kl_2_3v,"0.000, 0.000, 1.706",0.9,30.0,1,72
20,1.681835,1.907904,0.648,0.447,0.1000,kl_2_3v,"0.000, 0.000, 1.700",0.9,30.0,0,76
21,1.670722,1.978007,0.652,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.661",0.9,30.0,1,80
22,1.669724,1.941761,0.653,0.443,0.1000,kl_2_3v,"0.000, 0.000, 1.668",0.9,30.0,2,84
23,1.665009,1.969812,0.656,0.436,0.1000,kl_2_3v,"0.000, 0.000, 1.676",0.9,30.0,3,87
24,1.658950,2.039678,0.653,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.648",0.9,30.0,4,91
25,1.659123,1.993819,0.657,0.432,0.1000,kl_2_3v,"0.000, 0.000, 1.651",0.9,30.0,5,95
26,1.654722,1.903858,0.657,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.663",0.9,30.0,6,99
27,1.649997,2.055502,0.662,0.416,0.1000,kl_2_3v,"0.000, 0.000, 1.639",0.9,30.0,7,103
28,1.647159,1.847967,0.661,0.461,0.1000,kl_2_3v,"0.000, 0.000, 1.659",0.9,30.0,0,106
29,1.643621,2.025876,0.661,0.412,0.1000,kl_2_3v,"0.000, 0.000, 1.642",0.9,30.0,1,110
30,1.639066,2.109568,0.664,0.434,0.1000,kl_2_3v,"0.000, 0.000, 1.647",0.9,30.0,2,114
31,1.637126,2.007365,0.664,0.439,0.1000,kl_2_3v,"0.000, 0.000, 1.649",0.9,30.0,3,118
32,1.638166,1.864925,0.667,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.645",0.9,30.0,4,122
33,1.630634,2.127211,0.670,0.426,0.1000,kl_2_3v,"0.000, 0.000, 1.626",0.9,30.0,5,126
34,1.631050,1.877725,0.668,0.469,0.1000,kl_2_3v,"0.000, 0.000, 1.643",0.9,30.0,0,129
35,1.617861,1.899392,0.673,0.479,0.1000,kl_2_3v,"0.000, 0.000, 1.620",0.9,30.0,0,133
36,1.624121,1.928590,0.669,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.635",0.9,30.0,1,137
37,1.616405,1.939466,0.674,0.428,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,2,141
38,1.617836,2.023851,0.675,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.627",0.9,30.0,3,145
39,1.616090,1.971444,0.673,0.455,0.1000,kl_2_3v,"0.000, 0.000, 1.623",0.9,30.0,4,149
40,1.616417,1.858502,0.672,0.459,0.1000,kl_2_3v,"0.000, 0.000, 1.613",0.9,30.0,5,152
41,1.614160,1.951242,0.676,0.457,0.1000,kl_2_3v,"0.000, 0.000, 1.618",0.9,30.0,6,156
