_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,2.374244,2.849986,0.333,0.232,0.1000,kl_2_3a,"0.000, 0.000, 2.279",0.9,30.0,0,3
2,2.167470,2.599350,0.430,0.244,0.1000,kl_2_3a,"0.000, 0.000, 2.116",0.9,30.0,0,7
3,2.057834,2.502962,0.479,0.291,0.1000,kl_2_3a,"0.000, 0.000, 2.042",0.9,30.0,0,11
4,1.985305,2.377821,0.513,0.303,0.1000,kl_2_3a,"0.000, 0.000, 1.969",0.9,30.0,0,15
5,1.924833,2.388033,0.542,0.320,0.1000,kl_2_3a,"0.000, 0.000, 1.912",0.9,30.0,0,19
6,1.883283,2.194708,0.561,0.352,0.1000,kl_2_3a,"0.000, 0.000, 1.863",0.9,30.0,0,22
7,1.853025,2.130267,0.578,0.340,0.1000,kl_2_3a,"0.000, 0.000, 1.854",0.9,30.0,1,26
8,1.822615,2.160364,0.588,0.371,0.1000,kl_2_3a,"0.000, 0.000, 1.809",0.9,30.0,0,30
9,1.802405,2.077997,0.597,0.369,0.1000,kl_2_3a,"0.000, 0.000, 1.815",0.9,30.0,1,34
10,1.781586,2.147523,0.605,0.371,0.1000,kl_2_3a,"0.000, 0.000, 1.781",0.9,30.0,0,38
11,1.765247,2.152314,0.611,0.400,0.1000,kl_2_3a,"0.000, 0.000, 1.771",0.9,30.0,0,42
12,1.754801,2.079322,0.616,0.402,0.1000,kl_2_3a,"0.000, 0.000, 1.750",0.9,30.0,0,45
13,1.736751,2.022010,0.624,0.410,0.1000,kl_2_3a,"0.000, 0.000, 1.726",0.9,30.0,0,49
14,1.728402,2.139753,0.630,0.389,0.1000,kl_2_3a,"0.000, 0.000, 1.725",0.9,30.0,1,53
15,1.725094,2.119097,0.634,0.377,0.1000,kl_2_3a,"0.000, 0.000, 1.727",0.9,30.0,2,57
16,1.713737,1.973462,0.635,0.400,0.1000,kl_2_3a,"0.000, 0.000, 1.723",0.9,30.0,3,61
17,1.702333,1.992206,0.640,0.439,0.1000,kl_2_3a,"0.000, 0.000, 1.703",0.9,30.0,0,65
18,1.700850,2.166309,0.641,0.432,0.1000,kl_2_3a,"0.000, 0.000, 1.700",0.9,30.0,1,68
19,1.685418,2.152426,0.644,0.412,0.1000,kl_2_3a,"0.000, 0.000, 1.685",0.9,30.0,2,72
20,1.685079,1.934206,0.645,0.439,0.1000,kl_2_3a,"0.000, 0.000, 1.700",0.9,30.0,0,76
21,1.681835,1.976484,0.647,0.420,0.1000,kl_2_3a,"0.000, 0.000, 1.686",0.9,30.0,1,80
22,1.672545,1.957056,0.651,0.412,0.1000,kl_2_3a,"0.000, 0.000, 1.674",0.9,30.0,2,84
23,1.664396,1.969423,0.655,0.428,0.1000,kl_2_3a,"0.000, 0.000, 1.668",0.9,30.0,3,87
24,1.663001,1.998628,0.656,0.451,0.1000,kl_2_3a,"0.000, 0.000, 1.676",0.9,30.0,0,91
25,1.653903,1.900658,0.659,0.438,0.1000,kl_2_3a,"0.000, 0.000, 1.682",0.9,30.0,1,95
26,1.651942,2.061640,0.658,0.438,0.1000,kl_2_3a,"0.000, 0.000, 1.662",0.9,30.0,2,99
27,1.656597,1.956976,0.659,0.436,0.1000,kl_2_3a,"0.000, 0.000, 1.653",0.9,30.0,3,103
28,1.651962,2.005841,0.657,0.412,0.1000,kl_2_3a,"0.000, 0.000, 1.646",0.9,30.0,4,107
29,1.645961,1.952478,0.663,0.447,0.1000,kl_2_3a,"0.000, 0.000, 1.648",0.9,30.0,5,110
30,1.647212,2.061303,0.661,0.439,0.1000,kl_2_3a,"0.000, 0.000, 1.643",0.9,30.0,6,114
31,1.636528,2.002161,0.667,0.424,0.1000,kl_2_3a,"0.000, 0.000, 1.645",0.9,30.0,7,118
32,1.639206,1.961210,0.664,0.439,0.1000,kl_2_3a,"0.000, 0.000, 1.657",0.9,30.0,8,122
33,1.631067,1.945267,0.669,0.439,0.1000,kl_2_3a,"0.000, 0.000, 1.647",0.9,30.0,9,126
34,1.628976,1.986876,0.668,0.416,0.1000,kl_2_3a,"0.000, 0.000, 1.618",0.9,30.0,10,130
35,1.627408,1.889519,0.669,0.451,0.1000,kl_2_3a,"0.000, 0.000, 1.623",0.9,30.0,0,133
36,1.624426,2.019025,0.672,0.447,0.1000,kl_2_3a,"0.000, 0.000, 1.613",0.9,30.0,1,137
37,1.620943,1.973609,0.672,0.420,0.1000,kl_2_3a,"0.000, 0.000, 1.626",0.9,30.0,2,141
38,1.617203,1.989069,0.675,0.455,0.1000,kl_2_3a,"0.000, 0.000, 1.619",0.9,30.0,0,145
39,1.615381,2.065822,0.675,0.447,0.1000,kl_2_3a,"0.000, 0.000, 1.615",0.9,30.0,1,149
40,1.616808,1.812958,0.673,0.463,0.1000,kl_2_3a,"0.000, 0.000, 1.607",0.9,30.0,0,153
41,1.612338,2.024765,0.676,0.428,0.1000,kl_2_3a,"0.000, 0.000, 1.618",0.9,30.0,1,156
42,1.608910,1.914971,0.675,0.443,0.1000,kl_2_3a,"0.000, 0.000, 1.611",0.9,30.0,2,160
43,1.610889,1.905941,0.676,0.434,0.1000,kl_2_3a,"0.000, 0.000, 1.619",0.9,30.0,3,164
44,1.609595,1.792124,0.675,0.463,0.1000,kl_2_3a,"0.000, 0.000, 1.624",0.9,30.0,0,168
45,1.604882,1.810660,0.679,0.484,0.1000,kl_2_3a,"0.000, 0.000, 1.611",0.9,30.0,0,172
46,1.604985,1.972018,0.680,0.455,0.1000,kl_2_3a,"0.000, 0.000, 1.601",0.9,30.0,1,175
47,1.603162,1.924130,0.680,0.436,0.1000,kl_2_3a,"0.000, 0.000, 1.610",0.9,30.0,2,179
48,1.603663,1.900058,0.677,0.461,0.1000,kl_2_3a,"0.000, 0.000, 1.601",0.9,30.0,3,183
49,1.598679,2.175566,0.682,0.457,0.1000,kl_2_3a,"0.000, 0.000, 1.610",0.9,30.0,4,187
50,1.596756,1.851210,0.681,0.451,0.1000,kl_2_3a,"0.000, 0.000, 1.604",0.9,30.0,5,191
51,1.593955,1.790469,0.681,0.473,0.1000,kl_2_3a,"0.000, 0.000, 1.596",0.9,30.0,6,195
52,1.585999,1.999640,0.686,0.449,0.1000,kl_2_3a,"0.000, 0.000, 1.591",0.9,30.0,7,198
53,1.593351,1.875917,0.682,0.461,0.1000,kl_2_3a,"0.000, 0.000, 1.608",0.9,30.0,8,202
54,1.586490,1.944201,0.685,0.469,0.1000,kl_2_3a,"0.000, 0.000, 1.594",0.9,30.0,9,206
55,1.593190,1.984767,0.683,0.447,0.1000,kl_2_3a,"0.000, 0.000, 1.584",0.9,30.0,10,210
56,1.591726,1.823789,0.684,0.473,0.1000,kl_2_3a,"0.000, 0.000, 1.594",0.9,30.0,11,214
57,1.582640,1.945419,0.686,0.455,0.1000,kl_2_3a,"0.000, 0.000, 1.584",0.9,30.0,12,218
58,1.585543,1.887870,0.684,0.459,0.1000,kl_2_3a,"0.000, 0.000, 1.587",0.9,30.0,13,221
59,1.578831,1.883949,0.689,0.471,0.1000,kl_2_3a,"0.000, 0.000, 1.584",0.9,30.0,14,225
60,1.584085,1.886316,0.687,0.461,0.1000,kl_2_3a,"0.000, 0.000, 1.586",0.9,30.0,15,229
61,1.582633,1.819436,0.689,0.461,0.1000,kl_2_3a,"0.000, 0.000, 1.602",0.9,30.0,16,233
62,1.577842,1.908125,0.688,0.443,0.1000,kl_2_3a,"0.000, 0.000, 1.587",0.9,30.0,17,237
63,1.582163,1.890098,0.687,0.469,0.1000,kl_2_3a,"0.000, 0.000, 1.598",0.9,30.0,18,241
64,1.582457,2.039745,0.688,0.445,0.1000,kl_2_3a,"0.000, 0.000, 1.599",0.9,30.0,19,244
65,1.575896,1.859255,0.691,0.459,0.1000,kl_2_3a,"0.000, 0.000, 1.573",0.9,30.0,20,248
66,1.581313,1.947080,0.689,0.438,0.1000,kl_2_3a,"0.000, 0.000, 1.589",0.9,30.0,21,252
67,1.578448,1.867954,0.688,0.467,0.1000,kl_2_3a,"0.000, 0.000, 1.588",0.9,30.0,22,256
68,1.577598,1.846556,0.690,0.469,0.1000,kl_2_3a,"0.000, 0.000, 1.582",0.9,30.0,23,260
69,1.578843,1.969536,0.686,0.443,0.1000,kl_2_3a,"0.000, 0.000, 1.586",0.9,30.0,24,263
70,1.575973,1.812861,0.689,0.463,0.1000,kl_2_3a,"0.000, 0.000, 1.596",0.9,30.0,25,267
71,1.574252,1.936960,0.690,0.438,0.1000,kl_2_3a,"0.000, 0.000, 1.583",0.9,30.0,26,271
72,1.568865,1.989003,0.693,0.457,0.1000,kl_2_3a,"0.000, 0.000, 1.583",0.9,30.0,27,275
73,1.570671,1.985826,0.689,0.467,0.1000,kl_2_3a,"0.000, 0.000, 1.575",0.9,30.0,28,279
74,1.570001,1.888520,0.693,0.457,0.1000,kl_2_3a,"0.000, 0.000, 1.582",0.9,30.0,29,283
75,1.569782,1.809289,0.693,0.475,0.1000,kl_2_3a,"0.000, 0.000, 1.574",0.9,30.0,30,286
76,1.454032,1.774523,0.725,0.514,0.0100,kl_2_3a,"0.000, 0.000, 1.430",0.9,30.0,0,290
77,1.418024,1.724055,0.739,0.514,0.0100,kl_2_3a,"0.000, 0.000, 1.421",0.9,30.0,0,294
78,1.402386,1.677157,0.744,0.531,0.0100,kl_2_3a,"0.000, 0.000, 1.397",0.9,30.0,0,298
79,1.386929,1.674704,0.749,0.523,0.0100,kl_2_3a,"0.000, 0.000, 1.393",0.9,30.0,1,302
80,1.379811,1.675867,0.749,0.533,0.0100,kl_2_3a,"0.000, 0.000, 1.391",0.9,30.0,0,306
81,1.374978,1.731312,0.753,0.525,0.0100,kl_2_3a,"0.000, 0.000, 1.385",0.9,30.0,1,310
82,1.368451,1.682061,0.752,0.525,0.0100,kl_2_3a,"0.000, 0.000, 1.383",0.9,30.0,2,313
83,1.363260,1.770982,0.756,0.523,0.0100,kl_2_3a,"0.000, 0.000, 1.380",0.9,30.0,3,317
84,1.361521,1.742721,0.755,0.525,0.0100,kl_2_3a,"0.000, 0.000, 1.376",0.9,30.0,4,321
85,1.353852,1.696567,0.758,0.535,0.0100,kl_2_3a,"0.000, 0.000, 1.355",0.9,30.0,0,325
86,1.348382,1.817698,0.761,0.537,0.0100,kl_2_3a,"0.000, 0.000, 1.346",0.9,30.0,0,329
87,1.346367,1.750649,0.760,0.525,0.0100,kl_2_3a,"0.000, 0.000, 1.349",0.9,30.0,1,332
88,1.340446,1.738675,0.765,0.516,0.0100,kl_2_3a,"0.000, 0.000, 1.355",0.9,30.0,2,336
89,1.329443,1.743330,0.768,0.535,0.0100,kl_2_3a,"0.000, 0.000, 1.336",0.9,30.0,3,340
90,1.330617,1.762495,0.764,0.541,0.0100,kl_2_3a,"0.000, 0.000, 1.339",0.9,30.0,0,344
91,1.307649,1.789215,0.772,0.531,0.0010,kl_2_3a,"0.000, 0.000, 1.300",0.9,30.0,1,348
92,1.297410,1.821023,0.776,0.525,0.0010,kl_2_3a,"0.000, 0.000, 1.299",0.9,30.0,2,352
