_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.582393,3.398821,0.469,0.205,0.1000,kl_2_3,"0.000, 0.000, 1.481",0.9,30.0,0,6
2,1.385737,3.128359,0.651,0.266,0.1000,kl_2_3,"0.000, 0.000, 1.348",0.9,30.0,0,12
3,1.289689,3.228962,0.725,0.282,0.1000,kl_2_3,"0.000, 0.000, 1.268",0.9,30.0,0,19
4,1.240213,3.087105,0.757,0.288,0.1000,kl_2_3,"0.000, 0.000, 1.234",0.9,30.0,0,25
5,1.202420,3.144462,0.782,0.322,0.1000,kl_2_3,"0.000, 0.000, 1.193",0.9,30.0,0,31
6,1.170890,3.131663,0.795,0.328,0.1000,kl_2_3,"0.000, 0.000, 1.165",0.9,30.0,0,38
7,1.146363,3.026109,0.805,0.326,0.1000,kl_2_3,"0.000, 0.000, 1.138",0.9,30.0,1,44
8,1.131473,3.365319,0.813,0.344,0.1000,kl_2_3,"0.000, 0.000, 1.128",0.9,30.0,0,50
9,1.114277,3.031632,0.823,0.337,0.1000,kl_2_3,"0.000, 0.000, 1.116",0.9,30.0,1,56
10,1.106475,3.485921,0.831,0.323,0.1000,kl_2_3,"0.000, 0.000, 1.106",0.9,30.0,2,63
11,1.098114,2.974233,0.832,0.347,0.1000,kl_2_3,"0.000, 0.000, 1.098",0.9,30.0,0,69
12,1.081470,3.320754,0.839,0.349,0.1000,kl_2_3,"0.000, 0.000, 1.073",0.9,30.0,0,75
13,1.080770,3.193408,0.841,0.366,0.1000,kl_2_3,"0.000, 0.000, 1.078",0.9,30.0,0,82
14,1.068190,3.010957,0.846,0.357,0.1000,kl_2_3,"0.000, 0.000, 1.069",0.9,30.0,1,88
15,1.073546,3.153663,0.846,0.349,0.1000,kl_2_3,"0.000, 0.000, 1.073",0.9,30.0,2,94
16,1.062574,2.957864,0.850,0.368,0.1000,kl_2_3,"0.000, 0.000, 1.066",0.9,30.0,0,100
17,1.053956,3.099494,0.854,0.369,0.1000,kl_2_3,"0.000, 0.000, 1.059",0.9,30.0,0,107
18,1.052717,3.140428,0.854,0.365,0.1000,kl_2_3,"0.000, 0.000, 1.050",0.9,30.0,1,113
19,1.049552,3.148823,0.857,0.370,0.1000,kl_2_3,"0.000, 0.000, 1.058",0.9,30.0,0,119
20,1.049616,2.936974,0.856,0.374,0.1000,kl_2_3,"0.000, 0.000, 1.049",0.9,30.0,0,126
21,1.044348,3.277811,0.856,0.382,0.1000,kl_2_3,"0.000, 0.000, 1.041",0.9,30.0,0,132
