_epoch,train_loss,valid_loss,acc,val_acc,lr,type,hard_loss,soft_loss,total_loss,alpha,temp,early_stopping,elapsed_time
1,1.569592,2.662427,0.327,0.236,0.1000,kl_2_3v,"0.000, 0.000, 1.511",0.9,30.0,0,5
2,1.467538,2.643798,0.423,0.252,0.1000,kl_2_3v,"0.000, 0.000, 1.450",0.9,30.0,0,11
3,1.414594,2.706214,0.472,0.263,0.1000,kl_2_3v,"0.000, 0.000, 1.402",0.9,30.0,0,17
4,1.379362,2.739776,0.504,0.261,0.1000,kl_2_3v,"0.000, 0.000, 1.367",0.9,30.0,1,23
5,1.351269,2.457596,0.526,0.300,0.1000,kl_2_3v,"0.000, 0.000, 1.350",0.9,30.0,0,29
6,1.331409,2.428466,0.545,0.296,0.1000,kl_2_3v,"0.000, 0.000, 1.334",0.9,30.0,1,35
7,1.311925,2.369480,0.559,0.321,0.1000,kl_2_3v,"0.000, 0.000, 1.313",0.9,30.0,0,41
8,1.292525,2.329021,0.574,0.324,0.1000,kl_2_3v,"0.000, 0.000, 1.288",0.9,30.0,0,47
9,1.282353,2.468296,0.582,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.278",0.9,30.0,0,53
10,1.273445,2.266885,0.591,0.342,0.1000,kl_2_3v,"0.000, 0.000, 1.273",0.9,30.0,0,59
11,1.264034,2.323869,0.595,0.373,0.1000,kl_2_3v,"0.000, 0.000, 1.269",0.9,30.0,0,65
12,1.254047,2.086805,0.606,0.362,0.1000,kl_2_3v,"0.000, 0.000, 1.243",0.9,30.0,1,71
13,1.248335,2.287224,0.613,0.381,0.1000,kl_2_3v,"0.000, 0.000, 1.243",0.9,30.0,0,76
14,1.240255,2.061157,0.615,0.357,0.1000,kl_2_3v,"0.000, 0.000, 1.243",0.9,30.0,1,82
15,1.230428,2.071312,0.623,0.368,0.1000,kl_2_3v,"0.000, 0.000, 1.233",0.9,30.0,2,88
16,1.228205,2.211656,0.624,0.380,0.1000,kl_2_3v,"0.000, 0.000, 1.230",0.9,30.0,3,94
17,1.220804,2.057039,0.628,0.400,0.1000,kl_2_3v,"0.000, 0.000, 1.220",0.9,30.0,0,100
18,1.220597,2.111985,0.632,0.390,0.1000,kl_2_3v,"0.000, 0.000, 1.210",0.9,30.0,1,106
19,1.216927,2.084887,0.634,0.392,0.1000,kl_2_3v,"0.000, 0.000, 1.222",0.9,30.0,2,112
20,1.210765,2.100060,0.639,0.387,0.1000,kl_2_3v,"0.000, 0.000, 1.207",0.9,30.0,3,118
21,1.206105,2.075621,0.641,0.414,0.1000,kl_2_3v,"0.000, 0.000, 1.204",0.9,30.0,0,124
22,1.203629,2.150285,0.640,0.392,0.1000,kl_2_3v,"0.000, 0.000, 1.200",0.9,30.0,1,130
23,1.200342,1.917041,0.645,0.413,0.1000,kl_2_3v,"0.000, 0.000, 1.200",0.9,30.0,2,136
24,1.199738,2.134584,0.647,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.200",0.9,30.0,3,142
25,1.199897,2.211313,0.645,0.385,0.1000,kl_2_3v,"0.000, 0.000, 1.200",0.9,30.0,4,148
26,1.195032,2.044183,0.650,0.405,0.1000,kl_2_3v,"0.000, 0.000, 1.197",0.9,30.0,5,153
27,1.186460,2.080638,0.653,0.404,0.1000,kl_2_3v,"0.000, 0.000, 1.184",0.9,30.0,6,159
28,1.190449,2.057796,0.653,0.402,0.1000,kl_2_3v,"0.000, 0.000, 1.190",0.9,30.0,7,165
29,1.187986,2.108488,0.655,0.410,0.1000,kl_2_3v,"0.000, 0.000, 1.187",0.9,30.0,8,171
30,1.188230,1.917791,0.657,0.415,0.1000,kl_2_3v,"0.000, 0.000, 1.195",0.9,30.0,0,177
31,1.185034,2.061288,0.655,0.403,0.1000,kl_2_3v,"0.000, 0.000, 1.189",0.9,30.0,1,183
32,1.182997,2.052742,0.658,0.409,0.1000,kl_2_3v,"0.000, 0.000, 1.184",0.9,30.0,2,189
33,1.179529,1.985982,0.660,0.418,0.1000,kl_2_3v,"0.000, 0.000, 1.183",0.9,30.0,0,195
34,1.176094,1.958402,0.663,0.420,0.1000,kl_2_3v,"0.000, 0.000, 1.178",0.9,30.0,0,201
35,1.175316,2.038469,0.664,0.415,0.1000,kl_2_3v,"0.000, 0.000, 1.183",0.9,30.0,1,207
