_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,0.000001,2.302272,0.109,0.108,0.1000,NT,0,0
1,0.142459,1.628682,0.475,0.432,0.1000,NT,0,0
2,0.092752,1.064426,0.669,0.644,0.1000,NT,0,1
3,0.071344,0.898586,0.751,0.704,0.1000,NT,0,2
4,0.059646,0.639100,0.792,0.778,0.1000,NT,0,3
5,0.051255,0.672175,0.822,0.782,0.1000,NT,0,4
6,0.046400,0.451627,0.839,0.842,0.1000,NT,0,4
7,0.042497,0.446284,0.852,0.844,0.1000,NT,0,5
8,0.038782,0.448203,0.866,0.848,0.1000,NT,0,6
9,0.036732,0.462623,0.872,0.858,0.1000,NT,0,7
10,0.033844,0.372359,0.882,0.876,0.1000,NT,0,8
11,0.032192,0.340137,0.889,0.880,0.1000,NT,0,8
12,0.030313,0.378255,0.896,0.872,0.1000,NT,1,9
13,0.029546,0.303815,0.898,0.890,0.1000,NT,0,10
14,0.027646,0.396651,0.904,0.874,0.1000,NT,1,11
15,0.026788,0.296329,0.907,0.902,0.1000,NT,0,12
16,0.025198,0.369908,0.913,0.872,0.1000,NT,1,12
17,0.025307,0.287413,0.911,0.904,0.1000,NT,0,13
18,0.024093,0.277377,0.916,0.898,0.1000,NT,1,14
19,0.023576,0.284861,0.918,0.900,0.1000,NT,2,15
20,0.022769,0.284529,0.921,0.902,0.1000,NT,3,15
21,0.022499,0.273649,0.922,0.918,0.1000,NT,0,16
22,0.021838,0.263363,0.925,0.910,0.1000,NT,1,17
23,0.021337,0.280450,0.926,0.900,0.1000,NT,2,18
24,0.021316,0.267645,0.926,0.916,0.1000,NT,3,19
25,0.020651,0.337396,0.928,0.886,0.1000,NT,4,19
26,0.020983,0.317842,0.928,0.902,0.1000,NT,5,20
27,0.019618,0.350373,0.933,0.882,0.1000,NT,6,21
28,0.020287,0.292724,0.930,0.908,0.1000,NT,7,22
29,0.020367,0.284881,0.930,0.902,0.1000,NT,8,23
30,0.019849,0.294632,0.932,0.896,0.1000,NT,9,23
31,0.020291,0.345344,0.931,0.890,0.1000,NT,10,24
32,0.019664,0.311808,0.930,0.900,0.1000,NT,11,25
33,0.019159,0.343919,0.935,0.896,0.1000,NT,12,26
34,0.019282,0.316018,0.933,0.892,0.1000,NT,13,27
35,0.019458,0.369158,0.933,0.876,0.1000,NT,14,27
36,0.018999,0.399077,0.934,0.876,0.1000,NT,15,28
37,0.019318,0.280407,0.933,0.920,0.1000,NT,0,29
38,0.018589,0.312437,0.936,0.902,0.1000,NT,1,30
39,0.018965,0.338157,0.934,0.888,0.1000,NT,2,31
40,0.018283,0.334095,0.937,0.884,0.1000,NT,3,31
41,0.018378,0.357351,0.936,0.896,0.1000,NT,4,32
42,0.017936,0.307448,0.938,0.910,0.1000,NT,5,33
43,0.017466,0.336442,0.941,0.898,0.1000,NT,6,34
44,0.017648,0.335841,0.939,0.896,0.1000,NT,7,35
45,0.017958,0.268068,0.938,0.922,0.1000,NT,0,35
46,0.017534,0.404846,0.939,0.874,0.1000,NT,1,36
47,0.017496,0.286859,0.939,0.914,0.1000,NT,2,37
48,0.017719,0.310570,0.939,0.904,0.1000,NT,3,38
49,0.016904,0.314001,0.941,0.894,0.1000,NT,4,39
50,0.017732,0.346263,0.940,0.910,0.1000,NT,5,39
51,0.017103,0.257635,0.941,0.908,0.1000,NT,6,40
52,0.016715,0.386062,0.942,0.882,0.1000,NT,7,41
53,0.016704,0.284546,0.942,0.906,0.1000,NT,8,42
54,0.017025,0.357082,0.941,0.890,0.1000,NT,9,43
55,0.017443,0.290798,0.940,0.898,0.1000,NT,10,44
56,0.016872,0.281219,0.942,0.894,0.1000,NT,11,44
57,0.016162,0.339123,0.944,0.894,0.1000,NT,12,45
58,0.016298,0.302088,0.944,0.904,0.1000,NT,13,46
59,0.016683,0.270645,0.943,0.922,0.1000,NT,0,47
60,0.016492,0.283635,0.943,0.896,0.1000,NT,1,47
61,0.016185,0.335072,0.944,0.886,0.1000,NT,2,48
62,0.016537,0.271016,0.943,0.912,0.1000,NT,3,49
63,0.016813,0.280945,0.942,0.914,0.1000,NT,4,50
64,0.015855,0.247189,0.946,0.920,0.1000,NT,5,51
65,0.016533,0.308975,0.944,0.888,0.1000,NT,6,51
66,0.015902,0.324648,0.946,0.910,0.1000,NT,7,52
67,0.015669,0.325363,0.946,0.906,0.1000,NT,8,53
68,0.016644,0.266065,0.944,0.908,0.1000,NT,9,54
69,0.016049,0.304531,0.946,0.902,0.1000,NT,10,55
70,0.016122,0.256350,0.944,0.916,0.1000,NT,11,55
71,0.016086,0.299657,0.945,0.904,0.1000,NT,12,56
72,0.015711,0.261489,0.946,0.916,0.1000,NT,13,57
73,0.015959,0.300337,0.945,0.898,0.1000,NT,14,58
74,0.016167,0.314384,0.944,0.896,0.1000,NT,15,59
75,0.015473,0.300220,0.947,0.898,0.1000,NT,16,59
76,0.007964,0.182052,0.974,0.946,0.0100,NT,0,60
77,0.004934,0.182570,0.985,0.954,0.0100,NT,0,61
78,0.003876,0.172052,0.989,0.952,0.0100,NT,1,62
79,0.003179,0.169394,0.991,0.942,0.0100,NT,2,63
80,0.002706,0.178373,0.993,0.956,0.0100,NT,0,63
81,0.002449,0.175692,0.993,0.958,0.0100,NT,0,64
82,0.002143,0.167039,0.994,0.954,0.0100,NT,1,65
83,0.001995,0.149958,0.995,0.954,0.0100,NT,2,66
84,0.001706,0.205196,0.995,0.942,0.0100,NT,3,67
85,0.001709,0.206759,0.996,0.946,0.0100,NT,4,67
86,0.001383,0.177681,0.997,0.954,0.0100,NT,5,68
87,0.001362,0.184930,0.997,0.956,0.0100,NT,6,69
88,0.001278,0.167035,0.997,0.950,0.0100,NT,7,70
89,0.001189,0.141179,0.997,0.962,0.0100,NT,0,71
90,0.001116,0.189823,0.998,0.954,0.0100,NT,1,71
91,0.000990,0.184351,0.998,0.950,0.0010,NT,2,72
92,0.001026,0.169026,0.998,0.952,0.0010,NT,3,73
93,0.000982,0.156057,0.998,0.960,0.0010,NT,4,74
