_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.943373,2.060108,0.311,0.284,0.1000,NT,0,0
2,1.480905,1.414084,0.454,0.479,0.1000,NT,0,0
3,1.232080,1.246080,0.556,0.554,0.1000,NT,0,1
4,1.032054,1.077687,0.632,0.609,0.1000,NT,0,1
5,0.901351,1.373250,0.680,0.558,0.1000,NT,1,2
6,0.785334,1.004684,0.724,0.659,0.1000,NT,0,2
7,0.684419,0.833876,0.760,0.715,0.1000,NT,0,2
8,0.606119,0.617612,0.786,0.788,0.1000,NT,0,3
9,0.551761,0.608412,0.807,0.788,0.1000,NT,0,3
10,0.503551,0.596918,0.826,0.798,0.1000,NT,0,3
11,0.473534,0.618125,0.836,0.789,0.1000,NT,1,4
12,0.441172,0.563271,0.848,0.813,0.1000,NT,0,4
13,0.411118,0.644390,0.857,0.794,0.1000,NT,1,5
14,0.386904,0.483400,0.864,0.837,0.1000,NT,0,5
15,0.372156,0.470043,0.869,0.836,0.1000,NT,1,5
16,0.350040,0.493003,0.879,0.835,0.1000,NT,2,6
17,0.346249,0.472558,0.879,0.839,0.1000,NT,0,6
18,0.328684,0.480052,0.885,0.836,0.1000,NT,1,7
19,0.316580,0.507922,0.889,0.825,0.1000,NT,2,7
20,0.304661,0.442109,0.893,0.851,0.1000,NT,0,7
21,0.294840,0.488739,0.896,0.837,0.1000,NT,1,8
22,0.292624,0.507403,0.898,0.832,0.1000,NT,2,8
23,0.278798,0.522720,0.902,0.828,0.1000,NT,3,9
24,0.272055,0.531580,0.905,0.824,0.1000,NT,4,9
25,0.269332,0.389777,0.905,0.867,0.1000,NT,0,9
26,0.265227,0.486112,0.907,0.844,0.1000,NT,1,10
27,0.255267,0.436920,0.909,0.859,0.1000,NT,2,10
28,0.247862,0.454392,0.912,0.854,0.1000,NT,3,10
29,0.250461,0.381345,0.912,0.872,0.1000,NT,0,11
30,0.235232,0.404955,0.919,0.864,0.1000,NT,1,11
31,0.243829,0.472121,0.915,0.844,0.1000,NT,2,12
32,0.234764,0.409115,0.917,0.867,0.1000,NT,3,12
33,0.229311,0.525109,0.920,0.838,0.1000,NT,4,12
34,0.226743,0.464070,0.921,0.847,0.1000,NT,5,13
35,0.227922,0.421875,0.920,0.862,0.1000,NT,6,13
36,0.222494,0.433968,0.922,0.858,0.1000,NT,7,14
