_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.614938,1.369514,0.404,0.491,0.1000,NT,0,0
2,1.095217,1.076329,0.607,0.610,0.1000,NT,0,0
3,0.840625,1.016112,0.704,0.653,0.1000,NT,0,1
4,0.687502,0.991486,0.761,0.661,0.1000,NT,0,1
5,0.594225,0.630024,0.795,0.784,0.1000,NT,0,2
6,0.532789,0.564096,0.816,0.813,0.1000,NT,0,2
7,0.487806,0.543201,0.831,0.808,0.1000,NT,1,2
8,0.449670,0.553287,0.846,0.806,0.1000,NT,2,3
9,0.418477,0.702498,0.854,0.761,0.1000,NT,3,3
10,0.398457,0.626002,0.863,0.784,0.1000,NT,4,4
11,0.374217,0.455848,0.871,0.850,0.1000,NT,0,4
12,0.359303,0.488821,0.875,0.822,0.1000,NT,1,4
13,0.341195,0.477716,0.882,0.827,0.1000,NT,2,5
14,0.326137,0.524758,0.886,0.839,0.1000,NT,3,5
15,0.316928,0.440714,0.888,0.858,0.1000,NT,0,6
16,0.310232,0.413264,0.892,0.858,0.1000,NT,0,6
17,0.301359,0.392016,0.895,0.870,0.1000,NT,0,7
18,0.291120,0.419892,0.899,0.854,0.1000,NT,1,7
19,0.287401,0.527488,0.900,0.829,0.1000,NT,2,7
20,0.279027,0.397027,0.904,0.865,0.1000,NT,3,8
21,0.268562,0.419668,0.907,0.847,0.1000,NT,4,8
22,0.268913,0.549959,0.906,0.837,0.1000,NT,5,9
23,0.261710,0.388531,0.908,0.859,0.1000,NT,6,9
24,0.257364,0.696543,0.911,0.798,0.1000,NT,7,9
25,0.253665,0.438828,0.911,0.849,0.1000,NT,8,10
26,0.256682,0.496039,0.910,0.849,0.1000,NT,9,10
27,0.247964,0.389145,0.914,0.873,0.1000,NT,0,11
28,0.239999,0.391189,0.917,0.861,0.1000,NT,1,11
29,0.238932,0.369734,0.916,0.877,0.1000,NT,0,11
30,0.230499,0.543473,0.920,0.836,0.1000,NT,1,12
31,0.233026,0.466361,0.919,0.844,0.1000,NT,2,12
32,0.230913,0.412264,0.920,0.863,0.1000,NT,3,13
33,0.223217,0.470709,0.922,0.859,0.1000,NT,4,13
34,0.223969,0.346720,0.922,0.875,0.1000,NT,5,13
35,0.216501,0.403572,0.926,0.868,0.1000,NT,6,14
36,0.219203,0.456314,0.924,0.856,0.1000,NT,7,14
37,0.216564,0.329986,0.924,0.885,0.1000,NT,0,15
38,0.212795,0.369604,0.926,0.885,0.1000,NT,0,15
39,0.214836,0.431801,0.925,0.862,0.1000,NT,1,15
40,0.211975,0.536441,0.925,0.832,0.1000,NT,2,16
41,0.210474,0.359416,0.927,0.890,0.1000,NT,0,16
42,0.206231,0.500840,0.928,0.845,0.1000,NT,1,17
43,0.205776,0.375382,0.929,0.874,0.1000,NT,2,17
44,0.209351,0.355620,0.927,0.885,0.1000,NT,3,18
45,0.200699,0.373878,0.931,0.879,0.1000,NT,4,18
46,0.208191,0.530827,0.927,0.826,0.1000,NT,5,18
47,0.202613,0.453510,0.929,0.856,0.1000,NT,6,19
48,0.196737,0.439389,0.932,0.856,0.1000,NT,7,19
