_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.762696,1.522573,0.351,0.436,0.1000,NT,0,7
2,1.239556,1.282023,0.552,0.551,0.1000,NT,0,14
3,0.932087,1.021998,0.670,0.652,0.1000,NT,0,22
4,0.732514,0.817436,0.745,0.716,0.1000,NT,0,29
5,0.621941,0.610195,0.787,0.783,0.1000,NT,0,36
6,0.544935,0.616546,0.813,0.782,0.1000,NT,1,44
7,0.499048,0.630269,0.828,0.795,0.1000,NT,0,51
8,0.462112,0.639102,0.842,0.784,0.1000,NT,1,59
9,0.433647,0.525181,0.850,0.818,0.1000,NT,0,66
10,0.416679,0.589666,0.856,0.805,0.1000,NT,1,73
11,0.399487,0.595081,0.863,0.798,0.1000,NT,2,81
12,0.390538,0.510223,0.866,0.817,0.1000,NT,3,88
13,0.374015,0.617646,0.871,0.788,0.1000,NT,4,95
14,0.362623,0.655484,0.877,0.780,0.1000,NT,5,102
15,0.358420,0.524196,0.879,0.827,0.1000,NT,0,110
16,0.348522,0.447534,0.881,0.849,0.1000,NT,0,117
17,0.334237,0.732755,0.887,0.783,0.1000,NT,1,125
18,0.331888,0.650487,0.885,0.788,0.1000,NT,2,132
19,0.320106,0.474380,0.891,0.843,0.1000,NT,3,139
20,0.317367,0.467711,0.892,0.856,0.1000,NT,0,146
21,0.306915,0.883092,0.895,0.735,0.1000,NT,1,154
22,0.303821,0.581433,0.897,0.818,0.1000,NT,2,161
23,0.299021,0.487685,0.897,0.827,0.1000,NT,3,168
24,0.292847,0.523095,0.899,0.843,0.1000,NT,4,176
25,0.285764,0.498324,0.902,0.835,0.1000,NT,5,183
26,0.293996,0.546620,0.900,0.825,0.1000,NT,6,190
27,0.280279,0.431913,0.905,0.854,0.1000,NT,7,198
28,0.281035,0.373441,0.904,0.873,0.1000,NT,0,205
29,0.277138,0.414192,0.905,0.854,0.1000,NT,1,212
30,0.279044,0.398690,0.903,0.862,0.1000,NT,2,219
31,0.269976,0.528677,0.909,0.817,0.1000,NT,3,227
32,0.273186,0.403407,0.906,0.879,0.1000,NT,0,234
33,0.267512,0.431954,0.907,0.870,0.1000,NT,1,241
34,0.270015,0.619825,0.908,0.801,0.1000,NT,2,249
35,0.260322,0.458232,0.910,0.835,0.1000,NT,3,256
36,0.260887,0.587479,0.910,0.815,0.1000,NT,4,263
37,0.258495,0.439947,0.911,0.857,0.1000,NT,5,271
38,0.263442,0.400609,0.910,0.853,0.1000,NT,6,278
39,0.254992,0.348314,0.914,0.879,0.1000,NT,0,285
40,0.265364,0.325456,0.908,0.892,0.1000,NT,0,293
41,0.256409,0.447677,0.912,0.839,0.1000,NT,1,300
42,0.252906,0.406588,0.914,0.872,0.1000,NT,2,307
43,0.250639,0.442337,0.914,0.857,0.1000,NT,3,314
44,0.258712,0.378789,0.911,0.865,0.1000,NT,4,322
45,0.248842,0.467548,0.914,0.841,0.1000,NT,5,329
46,0.246955,0.461633,0.915,0.847,0.1000,NT,6,336
47,0.252603,0.663299,0.912,0.799,0.1000,NT,7,344
48,0.252172,0.761683,0.912,0.784,0.1000,NT,8,351
49,0.245963,0.349483,0.917,0.882,0.1000,NT,9,358
50,0.243189,0.556974,0.916,0.815,0.1000,NT,10,365
51,0.243992,0.664638,0.918,0.788,0.1000,NT,11,373
52,0.248794,0.435462,0.914,0.855,0.1000,NT,12,380
53,0.244318,0.643251,0.916,0.791,0.1000,NT,13,387
