_epoch,train_loss,valid_loss,acc,val_acc,lr,type,early_stopping,elapsed_time
1,1.845130,2.458529,0.327,0.256,0.1000,NT,0,7
2,1.372310,1.536237,0.499,0.431,0.1000,NT,0,14
3,1.074695,1.050812,0.618,0.628,0.1000,NT,0,22
4,0.850148,0.745343,0.702,0.745,0.1000,NT,0,29
5,0.696962,0.805194,0.757,0.717,0.1000,NT,1,36
6,0.595053,0.748074,0.794,0.747,0.1000,NT,0,44
7,0.535328,0.771315,0.816,0.743,0.1000,NT,1,51
8,0.483345,0.556861,0.834,0.809,0.1000,NT,0,58
9,0.454082,0.578145,0.843,0.812,0.1000,NT,0,66
10,0.429994,0.585667,0.852,0.794,0.1000,NT,1,73
11,0.404925,0.545271,0.861,0.816,0.1000,NT,0,80
12,0.381435,0.512946,0.869,0.831,0.1000,NT,0,88
13,0.379157,0.580545,0.870,0.802,0.1000,NT,1,95
14,0.370066,0.596922,0.874,0.788,0.1000,NT,2,102
15,0.352281,0.481990,0.880,0.837,0.1000,NT,0,110
16,0.347353,0.817904,0.882,0.735,0.1000,NT,1,117
17,0.342898,0.505407,0.883,0.831,0.1000,NT,2,124
18,0.331573,0.615422,0.887,0.809,0.1000,NT,3,132
19,0.319056,0.746437,0.891,0.783,0.1000,NT,4,139
20,0.322675,0.408741,0.890,0.867,0.1000,NT,0,146
21,0.308474,0.367823,0.896,0.872,0.1000,NT,0,154
22,0.305600,0.442524,0.895,0.862,0.1000,NT,1,161
23,0.296530,0.566479,0.899,0.817,0.1000,NT,2,168
24,0.294742,0.545996,0.900,0.822,0.1000,NT,3,176
25,0.291796,0.425521,0.900,0.867,0.1000,NT,4,183
26,0.286106,0.411595,0.902,0.863,0.1000,NT,5,191
27,0.279519,0.462746,0.904,0.844,0.1000,NT,6,198
28,0.281820,0.500130,0.903,0.826,0.1000,NT,7,205
29,0.277651,0.573201,0.905,0.795,0.1000,NT,8,212
30,0.278795,0.417713,0.904,0.859,0.1000,NT,9,220
31,0.271533,0.420851,0.907,0.857,0.1000,NT,10,227
32,0.261548,0.433267,0.911,0.853,0.1000,NT,11,234
33,0.269620,0.487915,0.906,0.848,0.1000,NT,12,242
34,0.262823,0.557089,0.910,0.820,0.1000,NT,13,249
35,0.263007,0.457064,0.910,0.849,0.1000,NT,14,256
36,0.259788,0.479017,0.911,0.849,0.1000,NT,15,263
37,0.254651,0.427063,0.914,0.854,0.1000,NT,16,271
38,0.261328,0.410483,0.912,0.870,0.1000,NT,17,278
39,0.257308,0.432887,0.911,0.858,0.1000,NT,18,285
40,0.255325,0.382957,0.913,0.877,0.1000,NT,0,293
41,0.250711,0.508719,0.914,0.825,0.1000,NT,1,300
42,0.254020,0.489543,0.913,0.845,0.1000,NT,2,307
43,0.250239,0.480771,0.915,0.845,0.1000,NT,3,314
44,0.255867,0.720267,0.912,0.787,0.1000,NT,4,322
45,0.249141,0.373957,0.914,0.869,0.1000,NT,5,329
46,0.243226,0.502781,0.916,0.838,0.1000,NT,6,336
47,0.249227,0.580744,0.915,0.825,0.1000,NT,7,343
48,0.247160,0.423005,0.915,0.855,0.1000,NT,8,351
49,0.243567,0.472992,0.918,0.841,0.1000,NT,9,358
50,0.247906,0.391270,0.915,0.870,0.1000,NT,10,365
51,0.241481,0.649149,0.917,0.793,0.1000,NT,11,373
52,0.238543,0.434915,0.919,0.859,0.1000,NT,12,380
53,0.245893,0.363118,0.917,0.879,0.1000,NT,0,387
54,0.238048,0.541427,0.919,0.834,0.1000,NT,1,395
55,0.238378,0.422716,0.919,0.873,0.1000,NT,2,402
56,0.247192,0.507575,0.915,0.823,0.1000,NT,3,409
57,0.231183,0.574146,0.920,0.817,0.1000,NT,4,416
58,0.239851,0.431316,0.918,0.857,0.1000,NT,5,424
59,0.237540,0.589169,0.919,0.807,0.1000,NT,6,431
60,0.241275,0.385235,0.917,0.870,0.1000,NT,7,438
61,0.240484,0.424712,0.917,0.859,0.1000,NT,8,445
62,0.236743,0.418457,0.919,0.858,0.1000,NT,9,453
63,0.236420,0.638248,0.919,0.804,0.1000,NT,10,460
64,0.238059,0.483299,0.917,0.833,0.1000,NT,11,467
65,0.238705,0.701081,0.918,0.795,0.1000,NT,12,475
66,0.235894,0.471465,0.918,0.848,0.1000,NT,13,482
67,0.232216,0.418231,0.920,0.862,0.1000,NT,14,489
68,0.235474,0.379270,0.918,0.876,0.1000,NT,15,496
69,0.232681,0.518256,0.920,0.847,0.1000,NT,16,504
70,0.230324,0.542990,0.921,0.839,0.1000,NT,17,511
71,0.232581,0.795927,0.921,0.763,0.1000,NT,18,518
72,0.234611,0.426409,0.919,0.860,0.1000,NT,19,526
73,0.233731,0.339468,0.920,0.885,0.1000,NT,0,533
74,0.225694,0.500678,0.923,0.839,0.1000,NT,1,540
75,0.229475,0.374139,0.922,0.857,0.1000,NT,2,547
76,0.234790,0.328219,0.919,0.898,0.1000,NT,0,555
77,0.234992,0.330915,0.920,0.896,0.1000,NT,1,562
78,0.231818,0.359240,0.920,0.884,0.1000,NT,2,569
